,productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
3800,Celery,2014-06-15,$0.33,$1.60,$1.69,$1.72,$1.99,430.30%
3801,Strawberries,2014-06-15,$1.16,$2.16,$2.79,$2.00,$3.36,122.20%
3802,Carrots,2014-06-08,$0.24,$0.91,$0.87,$0.96,$1.07,296.88%
3803,Red Leaf Lettuce,2014-06-08,$0.32,$2.11,$1.63,$1.57,$1.52,433.59%
3804,Cauliflower,2014-06-08,$1.42,$3.40,$3.93,$3.73,$4.37,171.65%
3805,Romaine Lettuce,2014-06-08,$0.38,$1.96,$1.90,$1.57,$1.70,369.08%
3806,Celery,2014-06-08,$0.34,$1.55,$1.69,$1.72,$1.99,411.03%
3807,Strawberries,2014-06-08,$1.03,$2.50,$2.09,$2.75,$2.99,150.73%
3808,Flame Grapes,2014-06-08,$1.11,$2.29,$1.94,$2.49,$2.99,118.69%
3809,Green Leaf Lettuce,2014-06-08,$0.33,$2.04,$1.42,$1.57,$1.40,387.12%
3810,Honeydews,2014-06-08,$1.45,$2.99,$3.29,$3.69,$5.24,162.24%
3811,Iceberg Lettuce,2014-06-08,$0.61,$1.47,$1.49,$1.54,$1.99,165.98%
3812,Avocados,2014-06-08,$0.84,$1.35,$1.63,$1.18,$1.42,66.07%
3813,Nectarines,2014-06-08,$0.77,$0.00,$1.99,$1.37,$0.00,9.09%
3814,Broccoli Bunches,2014-06-08,$0.88,$2.30,$2.02,$1.52,$2.56,138.64%
3815,Oranges,2014-06-08,$0.53,$1.62,$1.29,$1.39,$2.95,241.98%
3816,Broccoli Crowns,2014-06-08,$0.64,$1.61,$1.75,$1.82,$1.97,179.30%
3817,Peaches,2014-06-08,$0.81,$0.00,$1.94,$1.12,$0.00,-5.56%
3818,Cantaloupe,2014-06-08,$1.08,$2.17,$2.32,$2.03,$3.24,125.93%
3819,Potatoes,2014-06-08,$1.20,$5.59,$3.99,$3.99,$6.99,328.33%
3820,Oranges,2014-06-01,$0.53,$1.57,$1.29,$1.47,$2.05,200.94%
3821,Broccoli Crowns,2014-06-01,$0.50,$1.59,$1.70,$1.82,$2.02,256.50%
3822,Peaches,2014-06-01,$0.83,$0.00,$1.94,$1.87,$0.00,14.76%
3823,Cantaloupe,2014-06-01,$1.08,$2.24,$2.50,$2.33,$3.74,150.23%
3824,Plums,2014-06-01,$0.00,$2.99,$2.49,$2.74,$2.99,0.00%
3825,Carrots,2014-06-01,$0.28,$0.89,$0.87,$0.94,$1.07,236.61%
3826,Potatoes,2014-06-01,$1.20,$5.59,$4.09,$3.99,$4.99,288.75%
3827,Cauliflower,2014-06-01,$1.78,$3.53,$3.43,$3.63,$3.99,104.78%
3828,Red Leaf Lettuce,2014-06-01,$0.45,$1.96,$1.36,$1.59,$1.57,260.00%
3829,Celery,2014-06-01,$0.36,$1.55,$1.69,$1.72,$1.87,374.31%
3830,Romaine Lettuce,2014-06-01,$0.48,$1.84,$1.84,$1.59,$1.70,263.02%
3831,Flame Grapes,2014-06-01,$1.05,$2.59,$1.99,$2.24,$2.11,112.62%
3832,Strawberries,2014-06-01,$0.88,$2.39,$2.17,$2.37,$2.49,167.61%
3833,Green Leaf Lettuce,2014-06-01,$0.54,$1.83,$1.18,$1.59,$1.44,179.63%
3834,Honeydews,2014-06-01,$1.58,$3.32,$3.49,$3.69,$4.99,145.09%
3835,Iceberg Lettuce,2014-06-01,$0.74,$1.47,$1.42,$1.57,$1.87,113.85%
3836,Avocados,2014-06-01,$0.84,$1.28,$1.75,$1.26,$1.76,80.06%
3837,Nectarines,2014-06-01,$0.79,$0.00,$0.00,$1.74,$0.00,-44.94%
3838,Broccoli Bunches,2014-06-01,$0.77,$2.40,$1.93,$1.29,$2.49,163.31%
3839,Honeydews,2014-05-25,$1.87,$3.96,$3.49,$3.41,$5.24,115.24%
3840,Iceberg Lettuce,2014-05-25,$0.69,$1.85,$1.57,$1.54,$1.99,151.81%
3841,Avocados,2014-05-25,$0.81,$1.53,$1.68,$1.18,$1.76,89.81%
3842,Nectarines,2014-05-25,$0.87,$0.00,$1.94,$2.37,$1.99,81.03%
3843,Broccoli Bunches,2014-05-25,$0.74,$2.40,$1.93,$1.59,$2.56,186.49%
3844,Oranges,2014-05-25,$0.53,$1.57,$1.38,$1.32,$1.93,192.45%
3845,Broccoli Crowns,2014-05-25,$0.51,$1.59,$1.83,$1.84,$2.09,260.29%
3846,Peaches,2014-05-25,$0.91,$2.99,$2.19,$2.74,$0.00,117.58%
3847,Cantaloupe,2014-05-25,$0.85,$2.49,$2.37,$1.98,$2.99,189.12%
3848,Potatoes,2014-05-25,$1.20,$5.59,$4.22,$3.99,$6.99,333.13%
3849,Carrots,2014-05-25,$0.28,$0.91,$0.87,$0.96,$1.07,240.18%
3850,Red Leaf Lettuce,2014-05-25,$0.64,$1.99,$1.71,$1.57,$1.52,165.23%
3851,Cauliflower,2014-05-25,$1.48,$3.37,$4.52,$3.63,$4.24,166.22%
3852,Romaine Lettuce,2014-05-25,$0.67,$1.84,$1.90,$1.57,$1.70,161.57%
3853,Celery,2014-05-25,$0.38,$1.55,$1.67,$1.54,$1.92,339.47%
3854,Strawberries,2014-05-25,$0.88,$2.31,$2.07,$2.87,$2.99,190.91%
3855,Flame Grapes,2014-05-25,$1.00,$2.55,$2.36,$1.99,$2.99,147.25%
3856,Green Leaf Lettuce,2014-05-25,$0.69,$1.91,$1.57,$1.57,$1.40,133.70%
3857,Romaine Lettuce,2014-05-18,$0.80,$1.79,$1.90,$1.42,$1.70,112.81%
3858,Strawberries,2014-05-18,$1.13,$2.31,$2.63,$2.37,$3.15,131.42%
3859,Green Leaf Lettuce,2014-05-18,$0.78,$1.83,$1.42,$1.39,$1.50,96.79%
3860,Honeydews,2014-05-18,$1.83,$3.74,$3.92,$3.32,$5.74,128.42%
3861,Iceberg Lettuce,2014-05-18,$0.72,$1.40,$1.30,$1.42,$1.69,101.74%
3862,Oranges,2014-05-18,$0.53,$1.57,$1.28,$1.47,$1.93,194.81%
3863,Peaches,2014-05-18,$1.11,$0.00,$2.06,$2.49,$3.99,92.34%
3864,Potatoes,2014-05-18,$1.20,$5.25,$4.02,$3.99,$6.99,321.88%
3865,Red Leaf Lettuce,2014-05-18,$0.80,$1.79,$1.63,$1.39,$1.63,101.25%
3866,Cauliflower,2014-05-18,$1.60,$3.27,$3.45,$3.63,$4.49,131.88%
3867,Celery,2014-05-18,$0.40,$1.55,$1.67,$1.72,$1.80,321.25%
3868,Flame Grapes,2014-05-18,$1.16,$3.61,$2.49,$1.99,$2.61,130.60%
