,productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
4300,Celery,2013-10-13,$0.58,$1.47,$1.69,$1.77,$1.94,196.12%
4301,Flame Grapes,2013-10-13,$0.90,$1.91,$1.68,$2.49,$2.61,141.39%
4302,Green Leaf Lettuce,2013-10-13,$0.38,$1.51,$1.57,$1.44,$1.65,305.92%
4303,Iceberg Lettuce,2013-10-13,$1.02,$1.47,$1.52,$1.72,$2.16,68.38%
4304,Romaine Lettuce,2013-09-22,$0.47,$1.74,$1.97,$1.49,$2.27,297.34%
4305,Broccoli Crowns,2013-09-22,$1.05,$2.14,$1.70,$1.62,$1.84,73.81%
4306,Strawberries,2013-09-22,$1.38,$3.01,$3.24,$2.72,$4.74,148.37%
4307,Cantaloupe,2013-09-22,$0.98,$2.43,$2.62,$2.54,$2.86,166.58%
4308,Thompson Grapes,2013-09-22,$0.79,$1.76,$2.09,$2.37,$1.74,151.90%
4309,Carrots,2013-09-22,$0.30,$0.92,$0.87,$0.96,$1.44,249.17%
4310,Cauliflower,2013-09-22,$0.99,$3.05,$3.12,$2.48,$3.36,203.28%
4311,Celery,2013-09-22,$0.42,$1.47,$1.69,$1.77,$2.07,316.67%
4312,Flame Grapes,2013-09-22,$0.87,$1.95,$1.59,$1.99,$1.74,108.91%
4313,Green Leaf Lettuce,2013-09-22,$0.37,$1.54,$1.55,$1.49,$1.71,325.00%
4314,Honeydews,2013-09-22,$1.21,$3.19,$3.92,$2.88,$4.74,204.34%
4315,Iceberg Lettuce,2013-09-22,$0.70,$1.47,$1.47,$1.29,$1.60,108.21%
4316,Avocados,2013-09-22,$0.93,$1.33,$1.56,$1.18,$1.87,59.68%
4317,Red Leaf Lettuce,2013-09-22,$0.33,$1.61,$1.68,$1.49,$1.86,403.03%
4318,Broccoli Bunches,2013-09-22,$1.26,$2.54,$2.44,$0.99,$2.45,67.06%
4319,Celery,2013-09-15,$0.48,$1.47,$1.69,$1.77,$2.04,263.02%
4320,Flame Grapes,2013-09-15,$0.87,$1.95,$2.05,$2.37,$2.37,151.15%
4321,Green Leaf Lettuce,2013-09-15,$0.41,$1.64,$1.53,$1.52,$1.71,290.24%
4322,Honeydews,2013-09-15,$0.88,$3.39,$3.92,$2.63,$4.24,302.84%
4323,Iceberg Lettuce,2013-09-15,$0.55,$1.47,$1.47,$1.24,$1.86,174.55%
4324,Avocados,2013-09-15,$0.92,$1.36,$1.63,$0.91,$1.91,57.88%
4325,Red Leaf Lettuce,2013-09-15,$0.33,$1.66,$1.61,$1.52,$1.75,395.45%
4326,Broccoli Bunches,2013-09-15,$1.07,$2.32,$1.99,$1.24,$2.33,84.11%
4327,Romaine Lettuce,2013-09-15,$0.44,$1.84,$1.95,$1.52,$2.43,339.77%
4328,Broccoli Crowns,2013-09-15,$0.84,$2.14,$1.60,$1.62,$1.79,112.80%
4329,Strawberries,2013-09-15,$1.41,$2.89,$3.24,$3.24,$4.24,141.31%
4330,Cantaloupe,2013-09-15,$0.73,$2.12,$2.62,$2.85,$1.86,223.63%
4331,Thompson Grapes,2013-09-15,$0.78,$2.21,$1.72,$2.12,$2.37,169.87%
4332,Carrots,2013-09-15,$0.30,$0.91,$0.87,$0.96,$1.39,244.17%
4333,Cauliflower,2013-09-15,$1.03,$2.93,$3.70,$2.48,$3.12,196.84%
4334,Iceberg Lettuce,2013-09-01,$0.34,$1.62,$1.47,$1.27,$2.12,376.47%
4335,Avocados,2013-09-01,$0.89,$1.11,$1.19,$0.98,$1.91,45.79%
4336,Red Leaf Lettuce,2013-09-01,$0.41,$1.94,$1.68,$1.54,$1.86,328.05%
4337,Broccoli Bunches,2013-09-01,$0.56,$2.49,$1.74,$1.29,$2.32,250.00%
4338,Romaine Lettuce,2013-09-01,$0.43,$2.09,$2.05,$1.54,$2.27,362.21%
4339,Broccoli Crowns,2013-09-01,$0.44,$1.99,$1.70,$1.74,$1.87,314.77%
