,productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
1700,Iceberg Lettuce,2017-03-26,$0.86,$0.94,$1.44,$1.49,$1.54,57.27%
1701,Celery,2017-03-26,$0.82,$1.44,$1.56,$1.94,$1.67,101.52%
1702,Cauliflower,2017-03-26,$2.49,$3.24,$3.49,$3.78,$3.65,42.17%
1703,Carrots,2017-03-26,$0.29,$1.05,$0.82,$0.99,$1.14,244.83%
1704,Broccoli Crowns,2017-03-26,$0.96,$2.31,$2.01,$2.09,$1.88,115.89%
1705,Broccoli Bunches,2017-03-26,$1.13,$2.19,$1.01,$1.49,$1.69,41.15%
1706,Avocados,2017-03-26,$1.06,$1.47,$1.60,$1.75,$2.04,61.79%
1707,Asparagus,2017-03-26,$1.46,$2.66,$2.08,$2.99,$2.04,67.29%
1708,Strawberries,2017-03-19,$1.59,$2.74,$2.66,$2.87,$2.86,75.00%
1709,Romaine Lettuce,2017-03-19,$1.33,$1.42,$1.97,$1.49,$2.16,32.33%
1710,Red Leaf Lettuce,2017-03-19,$0.60,$1.32,$1.57,$1.49,$1.82,158.33%
1711,Oranges,2017-03-19,$0.22,$1.25,$1.49,$1.24,$1.85,562.50%
1712,Iceberg Lettuce,2017-03-19,$0.72,$0.94,$1.44,$1.49,$1.54,87.85%
1713,Green Leaf Lettuce,2017-03-19,$1.04,$1.32,$1.50,$1.49,$1.77,46.15%
1714,Celery,2017-03-19,$0.61,$1.44,$1.56,$1.94,$1.67,170.90%
1715,Cauliflower,2017-03-19,$3.31,$3.24,$3.49,$3.78,$3.65,6.95%
1716,Carrots,2017-03-19,$0.29,$1.05,$0.82,$0.99,$1.14,244.83%
1717,Broccoli Crowns,2017-03-19,$1.14,$2.31,$2.01,$2.09,$1.88,81.80%
1718,Broccoli Bunches,2017-03-19,$0.97,$2.19,$1.01,$1.49,$1.69,64.43%
1719,Avocados,2017-03-19,$1.10,$1.79,$2.00,$0.79,$1.28,33.18%
1720,Strawberries,2017-03-12,$1.75,$2.57,$2.57,$3.24,$2.87,60.71%
1721,Romaine Lettuce,2017-03-12,$0.99,$1.42,$1.86,$1.49,$2.07,72.73%
1722,Red Leaf Lettuce,2017-03-12,$0.56,$1.32,$1.49,$1.49,$1.82,173.21%
1723,Oranges,2017-03-12,$0.24,$1.45,$0.89,$1.12,$1.84,452.08%
1724,Iceberg Lettuce,2017-03-12,$0.49,$1.04,$1.44,$1.44,$1.61,182.14%
1725,Green Leaf Lettuce,2017-03-12,$0.70,$1.32,$1.45,$1.49,$1.66,111.43%
1726,Celery,2017-03-12,$0.42,$1.44,$1.41,$1.89,$1.72,284.52%
1727,Cauliflower,2017-03-12,$2.90,$3.24,$2.95,$3.48,$3.32,11.98%
1728,Carrots,2017-03-12,$0.99,$0.95,$0.82,$0.99,$1.25,1.26%
1729,Broccoli Crowns,2017-03-12,$1.40,$2.31,$1.66,$2.02,$1.83,39.64%
