,productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
4500,Red Leaf Lettuce,2013-06-30,$0.32,$1.76,$1.47,$1.37,$1.68,390.63%
4501,Carrots,2013-06-30,$0.30,$0.92,$0.92,$0.92,$1.44,250.00%
4502,Romaine Lettuce,2013-06-30,$0.40,$1.96,$1.99,$1.39,$2.18,370.00%
4503,Cauliflower,2013-06-30,$1.16,$3.18,$3.01,$3.43,$4.24,198.71%
4504,Strawberries,2013-06-30,$1.09,$2.06,$2.22,$2.50,$2.74,118.35%
4505,Celery,2013-06-30,$0.43,$1.64,$1.64,$1.59,$2.37,320.93%
4506,Green Leaf Lettuce,2013-06-30,$0.44,$2.22,$1.32,$1.37,$1.76,278.98%
4507,Honeydews,2013-06-30,$0.90,$3.29,$4.37,$2.78,$4.74,321.67%
4508,Celery,2013-06-23,$0.42,$1.61,$1.69,$1.49,$2.24,318.45%
4509,Strawberries,2013-06-23,$1.13,$2.12,$1.99,$2.13,$2.61,95.80%
4510,Flame Grapes,2013-06-23,$0.86,$2.14,$1.86,$2.24,$2.61,157.27%
4511,Green Leaf Lettuce,2013-06-23,$0.38,$2.04,$1.40,$1.32,$1.65,321.71%
4512,Honeydews,2013-06-23,$0.96,$3.39,$4.24,$2.97,$4.99,305.99%
4513,Iceberg Lettuce,2013-06-23,$0.41,$1.44,$1.42,$1.24,$1.92,267.07%
4514,Avocados,2013-06-23,$0.76,$1.21,$1.45,$0.76,$1.75,70.07%
4515,Nectarines,2013-06-23,$0.46,$0.00,$1.81,$1.66,$2.49,223.91%
4516,Broccoli Bunches,2013-06-23,$0.66,$2.51,$2.39,$0.99,$2.66,223.86%
4517,Peaches,2013-06-23,$0.52,$2.49,$1.81,$1.49,$0.00,178.37%
4518,Broccoli Crowns,2013-06-23,$0.52,$1.64,$1.69,$1.59,$1.99,232.21%
4519,Plums,2013-06-23,$0.70,$1.99,$1.62,$1.74,$1.99,162.14%
4520,Cantaloupe,2013-06-23,$0.59,$2.59,$2.66,$2.47,$2.79,345.34%
4521,Potatoes,2013-06-23,$1.20,$4.08,$3.24,$3.32,$0.00,121.67%
4522,Carrots,2013-06-23,$0.29,$1.42,$0.92,$0.79,$1.44,293.97%
4523,Red Leaf Lettuce,2013-06-23,$0.32,$1.81,$1.54,$1.32,$1.79,404.69%
4524,Cauliflower,2013-06-23,$1.42,$3.05,$3.32,$3.14,$3.61,130.99%
4525,Romaine Lettuce,2013-06-23,$0.41,$1.96,$2.06,$1.37,$2.18,361.59%
4526,Plums,2013-06-16,$0.86,$0.00,$2.37,$1.99,$1.99,84.59%
4527,Carrots,2013-06-16,$0.29,$0.91,$0.92,$0.84,$1.44,254.31%
4528,Potatoes,2013-06-16,$1.00,$3.98,$3.39,$3.49,$5.99,321.25%
4529,Cauliflower,2013-06-16,$1.26,$3.04,$3.27,$3.08,$3.65,158.73%
4530,Red Leaf Lettuce,2013-06-16,$0.33,$1.83,$1.63,$1.32,$1.79,397.73%
4531,Celery,2013-06-16,$0.35,$1.74,$1.77,$1.77,$2.24,437.14%
4532,Romaine Lettuce,2013-06-16,$0.40,$1.97,$2.05,$1.37,$2.18,373.13%
4533,Flame Grapes,2013-06-16,$0.89,$2.31,$1.99,$1.86,$2.44,141.57%
4534,Strawberries,2013-06-16,$1.06,$2.19,$2.49,$2.50,$2.86,136.79%
4535,Green Leaf Lettuce,2013-06-16,$0.37,$1.73,$1.48,$1.32,$1.65,317.57%
4536,Honeydews,2013-06-16,$0.96,$3.39,$4.24,$2.69,$4.99,298.70%
4537,Iceberg Lettuce,2013-06-16,$0.51,$1.49,$1.44,$1.24,$1.92,198.53%
4538,Avocados,2013-06-16,$0.76,$1.22,$1.17,$1.20,$1.79,76.97%
4539,Nectarines,2013-06-16,$0.58,$0.00,$1.89,$1.49,$2.99,174.57%
4540,Broccoli Bunches,2013-06-16,$0.60,$2.66,$2.47,$1.16,$2.66,272.92%
4541,Oranges,2013-06-16,$0.54,$1.36,$1.37,$1.34,$2.26,193.06%
4542,Broccoli Crowns,2013-06-16,$0.46,$1.78,$1.69,$1.59,$2.17,292.93%
4543,Peaches,2013-06-16,$0.56,$0.00,$1.89,$1.74,$2.14,157.59%
4544,Cantaloupe,2013-06-16,$0.56,$2.16,$2.60,$1.96,$3.12,339.29%
4545,Broccoli Bunches,2013-06-09,$0.70,$2.53,$1.94,$0.99,$2.66,190.00%
4546,Oranges,2013-06-09,$0.54,$1.36,$1.63,$1.24,$2.42,207.87%
4547,Broccoli Crowns,2013-06-09,$0.48,$1.70,$1.69,$1.59,$2.04,265.63%
4548,Peaches,2013-06-09,$0.64,$0.00,$2.56,$1.84,$0.00,71.88%
4549,Cantaloupe,2013-06-09,$0.60,$2.64,$2.67,$4.13,$2.74,407.50%
4550,Plums,2013-06-09,$0.95,$0.00,$2.16,$2.74,$0.00,28.95%
4551,Carrots,2013-06-09,$0.30,$0.91,$0.92,$0.84,$1.44,242.50%
4552,Potatoes,2013-06-09,$0.80,$4.05,$3.39,$3.49,$0.00,241.56%
4553,Cauliflower,2013-06-09,$1.25,$2.91,$3.27,$3.14,$3.86,163.60%
4554,Red Leaf Lettuce,2013-06-09,$0.29,$1.79,$1.64,$1.32,$1.57,444.83%
4555,Celery,2013-06-09,$0.55,$1.70,$1.82,$1.72,$2.24,240.00%
4556,Romaine Lettuce,2013-06-09,$0.35,$1.96,$1.96,$1.37,$2.02,422.14%
4557,Flame Grapes,2013-06-09,$0.89,$2.18,$2.74,$2.49,$2.44,176.69%
4558,Strawberries,2013-06-09,$1.00,$2.12,$2.33,$2.50,$2.32,131.75%
4559,Green Leaf Lettuce,2013-06-09,$0.32,$1.72,$1.51,$1.32,$1.44,367.97%
4560,Honeydews,2013-06-09,$0.88,$3.39,$3.74,$2.88,$4.99,326.14%
4561,Iceberg Lettuce,2013-06-09,$0.43,$1.47,$1.47,$1.24,$1.92,254.65%
4562,Avocados,2013-06-09,$0.77,$1.22,$1.45,$1.12,$1.71,78.57%
4563,Nectarines,2013-06-09,$0.66,$0.00,$2.56,$2.12,$0.00,77.27%
4564,Romaine Lettuce,2013-06-02,$0.28,$1.99,$1.86,$1.37,$2.02,546.43%
4565,Strawberries,2013-06-02,$0.97,$2.19,$2.16,$2.50,$2.99,153.61%
