,productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
2600,Iceberg Lettuce,2015-12-13,$1.03,$1.61,$1.86,$1.74,$1.81,70.39%
2601,Oranges,2015-12-13,$0.45,$1.57,$1.27,$0.99,$2.05,226.67%
2602,Red Leaf Lettuce,2015-12-13,$0.62,$1.65,$1.72,$1.67,$1.93,181.05%
2603,Romaine Lettuce,2015-12-13,$0.62,$1.74,$2.09,$1.67,$2.16,208.87%
2604,Broccoli Bunches,2015-12-13,$1.72,$2.62,$2.49,$1.69,$2.84,40.12%
2605,Strawberries,2015-12-13,$2.06,$3.86,$4.12,$4.99,$4.37,110.44%
2606,Broccoli Crowns,2015-12-13,$1.61,$2.07,$2.14,$1.99,$1.78,23.91%
2607,Carrots,2015-12-13,$0.31,$1.01,$0.90,$0.79,$1.07,204.03%
2608,Cauliflower,2015-12-13,$4.04,$5.74,$3.56,$4.43,$5.49,18.94%
2609,Celery,2015-12-13,$1.83,$1.28,$1.74,$1.77,$1.56,-13.25%
2610,Flame Grapes,2015-12-13,$0.94,$3.24,$2.49,$3.37,$3.19,226.86%
2611,Green Leaf Lettuce,2015-12-13,$0.67,$2.11,$1.58,$1.67,$1.81,167.54%
2612,Potatoes,2015-12-06,$1.15,$5.71,$3.88,$3.99,$3.75,276.74%
2613,Red Leaf Lettuce,2015-12-06,$0.69,$1.55,$1.62,$1.67,$1.86,142.75%
2614,Broccoli Bunches,2015-12-06,$1.56,$2.66,$2.25,$1.59,$2.48,43.91%
2615,Romaine Lettuce,2015-12-06,$0.62,$1.65,$2.08,$1.74,$2.91,237.90%
2616,Broccoli Crowns,2015-12-06,$1.53,$1.74,$1.82,$2.22,$2.12,29.08%
2617,Strawberries,2015-12-06,$2.06,$4.49,$4.99,$4.99,$5.11,137.62%
2618,Carrots,2015-12-06,$0.31,$0.94,$0.90,$0.99,$1.07,214.52%
2619,Cauliflower,2015-12-06,$3.87,$3.92,$3.56,$3.86,$5.49,8.72%
