,productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
3700,Cauliflower,2014-07-27,$0.65,$3.31,$3.27,$3.08,$4.24,434.62%
3701,Romaine Lettuce,2014-07-27,$0.52,$2.54,$1.67,$1.39,$1.86,258.65%
3702,Celery,2014-07-27,$0.38,$1.49,$1.37,$1.72,$1.87,324.34%
3703,Strawberries,2014-07-27,$0.91,$2.61,$2.37,$2.62,$3.24,197.80%
3704,Flame Grapes,2014-07-27,$0.87,$2.49,$1.91,$2.21,$2.24,154.31%
3705,Thompson Grapes,2014-07-27,$0.89,$2.44,$2.04,$2.59,$2.24,161.52%
3706,Green Leaf Lettuce,2014-07-27,$0.30,$2.11,$1.09,$1.39,$1.55,411.67%
3707,Honeydews,2014-07-27,$1.38,$3.49,$3.67,$3.50,$5.49,192.57%
3708,Iceberg Lettuce,2014-07-27,$0.48,$1.41,$1.31,$1.39,$1.84,209.90%
3709,Avocados,2014-07-27,$0.79,$1.42,$1.50,$1.27,$1.58,82.59%
3710,Honeydews,2014-07-20,$1.50,$3.66,$3.17,$3.31,$5.74,164.67%
3711,Iceberg Lettuce,2014-07-20,$0.48,$1.33,$1.40,$1.39,$1.84,210.42%
3712,Avocados,2014-07-20,$0.79,$1.42,$1.37,$1.41,$1.63,84.49%
3713,Nectarines,2014-07-20,$0.73,$0.00,$1.71,$1.37,$1.99,73.63%
3714,Broccoli Bunches,2014-07-20,$0.48,$2.40,$1.97,$1.59,$2.39,334.90%
3715,Oranges,2014-07-20,$0.51,$1.65,$1.56,$1.62,$2.05,237.25%
3716,Broccoli Crowns,2014-07-20,$0.37,$1.64,$1.78,$1.77,$1.84,375.00%
3717,Peaches,2014-07-20,$0.75,$0.00,$1.66,$1.37,$0.00,1.00%
3718,Cantaloupe,2014-07-20,$0.52,$2.24,$2.26,$1.96,$3.12,360.58%
3719,Plums,2014-07-20,$0.71,$0.00,$2.29,$2.12,$1.79,118.31%
3720,Carrots,2014-07-20,$0.25,$0.91,$0.87,$0.96,$1.07,281.00%
3721,Red Leaf Lettuce,2014-07-20,$0.28,$1.91,$1.42,$1.39,$1.68,471.43%
3722,Cauliflower,2014-07-20,$0.72,$3.31,$4.63,$3.48,$4.24,443.75%
3723,Romaine Lettuce,2014-07-20,$0.56,$2.41,$1.64,$1.39,$1.86,225.89%
3724,Celery,2014-07-20,$0.42,$1.44,$1.37,$1.72,$1.87,280.95%
3725,Strawberries,2014-07-20,$0.94,$2.73,$2.67,$2.62,$2.99,192.82%
3726,Flame Grapes,2014-07-20,$0.88,$1.81,$2.11,$1.71,$2.49,130.68%
3727,Thompson Grapes,2014-07-20,$0.89,$2.26,$2.29,$2.46,$2.49,166.85%
3728,Green Leaf Lettuce,2014-07-20,$0.30,$1.86,$1.24,$1.39,$1.55,403.33%
3729,Romaine Lettuce,2014-07-06,$0.74,$1.84,$1.77,$1.44,$1.86,133.45%
3730,Flame Grapes,2014-07-06,$1.00,$2.16,$2.49,$2.09,$2.99,143.25%
3731,Strawberries,2014-07-06,$1.09,$2.29,$2.75,$2.87,$2.37,135.78%
3732,Green Leaf Lettuce,2014-07-06,$0.30,$1.84,$1.05,$1.44,$1.55,390.00%
3733,Honeydews,2014-07-06,$1.79,$3.86,$3.49,$3.50,$4.82,118.85%
3734,Iceberg Lettuce,2014-07-06,$0.75,$1.47,$1.47,$1.44,$1.99,112.33%
3735,Avocados,2014-07-06,$0.81,$1.12,$1.43,$1.34,$1.71,72.84%
3736,Nectarines,2014-07-06,$0.69,$0.00,$1.66,$1.62,$1.99,90.94%
3737,Broccoli Bunches,2014-07-06,$0.55,$2.43,$2.11,$1.52,$2.56,291.82%
3738,Oranges,2014-07-06,$0.53,$1.43,$1.56,$1.72,$2.12,222.17%
3739,Broccoli Crowns,2014-07-06,$0.40,$1.41,$1.95,$1.84,$2.22,363.75%
3740,Peaches,2014-07-06,$0.53,$0.00,$1.94,$1.62,$0.00,67.92%
3741,Cantaloupe,2014-07-06,$0.62,$2.24,$2.89,$2.35,$3.49,342.34%
3742,Plums,2014-07-06,$0.67,$0.00,$1.94,$2.49,$1.99,139.55%
3743,Carrots,2014-07-06,$0.25,$0.91,$0.87,$0.96,$1.07,281.00%
3744,Potatoes,2014-07-06,$1.05,$4.62,$3.99,$4.32,$5.99,350.48%
3745,Cauliflower,2014-07-06,$1.60,$3.35,$4.71,$3.78,$4.24,151.25%
