,productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
3600,Cantaloupe,2014-08-24,$0.60,$2.34,$2.47,$2.32,$2.99,321.67%
3601,Broccoli Bunches,2014-08-17,$1.19,$2.35,$1.69,$0.00,$0.00,-15.13%
3602,Oranges,2014-08-17,$0.00,$1.65,$0.00,$0.00,$0.00,0.00%
3603,Flame Grapes,2014-08-17,$0.89,$2.24,$0.00,$0.00,$0.00,-37.08%
3604,Broccoli Crowns,2014-08-17,$1.06,$1.76,$1.90,$1.79,$1.89,73.11%
3605,Peaches,2014-08-17,$0.69,$0.00,$2.12,$1.37,$0.00,26.45%
3606,Green Leaf Lettuce,2014-08-17,$0.49,$1.98,$1.39,$1.37,$1.55,220.92%
3607,Cantaloupe,2014-08-17,$0.56,$2.37,$2.67,$0.00,$0.00,125.00%
3608,Plums,2014-08-17,$0.78,$1.98,$0.00,$0.00,$0.00,-36.54%
3609,Honeydews,2014-08-17,$1.13,$3.24,$0.00,$0.00,$0.00,-28.32%
3610,Carrots,2014-08-17,$0.26,$0.91,$0.89,$0.96,$1.07,268.27%
3611,Red Leaf Lettuce,2014-08-17,$0.30,$1.86,$0.00,$0.00,$0.00,55.00%
3612,Iceberg Lettuce,2014-08-17,$0.69,$1.38,$1.45,$1.34,$1.84,117.75%
3613,Cauliflower,2014-08-17,$0.82,$3.11,$3.39,$3.23,$4.12,322.26%
3614,Avocados,2014-08-17,$0.80,$1.42,$1.09,$1.24,$1.58,66.56%
3615,Romaine Lettuce,2014-08-17,$0.58,$2.16,$1.90,$1.39,$1.86,215.09%
3616,Plums,2014-08-17,$0.78,$1.98,$2.12,$2.24,$1.79,160.58%
3617,Celery,2014-08-17,$0.38,$1.52,$0.00,$0.00,$0.00,0.00%
3618,Broccoli Bunches,2014-08-17,$1.19,$2.35,$1.69,$1.52,$2.23,63.66%
3619,Strawberries,2014-08-17,$1.31,$2.36,$0.00,$0.00,$0.00,-54.96%
3620,Red Leaf Lettuce,2014-08-17,$0.30,$1.86,$1.49,$1.37,$1.68,433.33%
3621,Flame Grapes,2014-08-17,$0.89,$2.24,$2.04,$1.99,$2.74,153.09%
3622,Broccoli Crowns,2014-08-17,$1.06,$1.76,$1.90,$0.00,$0.00,-13.68%
3623,Thompson Grapes,2014-08-17,$0.88,$1.86,$1.96,$1.71,$2.74,134.94%
3624,Romaine Lettuce,2014-08-17,$0.58,$2.16,$0.00,$0.00,$0.00,-6.90%
3625,Green Leaf Lettuce,2014-08-17,$0.49,$1.98,$0.00,$0.00,$0.00,1.02%
3626,Cantaloupe,2014-08-17,$0.56,$2.37,$2.67,$1.95,$1.86,295.09%
3627,Strawberries,2014-08-17,$1.31,$2.36,$2.57,$3.12,$2.49,101.15%
3628,Honeydews,2014-08-17,$1.13,$3.24,$3.84,$3.03,$5.99,256.19%
3629,Carrots,2014-08-17,$0.26,$0.91,$0.89,$0.00,$0.00,73.08%
3630,Thompson Grapes,2014-08-17,$0.88,$1.86,$0.00,$0.00,$0.00,-47.16%
3631,Iceberg Lettuce,2014-08-17,$0.69,$1.38,$0.00,$0.00,$0.00,-50.00%
3632,Cauliflower,2014-08-17,$0.82,$3.11,$3.39,$0.00,$0.00,98.17%
3633,Avocados,2014-08-17,$0.80,$1.42,$1.09,$0.00,$0.00,-21.56%
3634,Nectarines,2014-08-17,$0.73,$0.00,$2.09,$1.37,$1.94,84.93%
3635,Celery,2014-08-17,$0.38,$1.52,$1.62,$1.72,$1.99,350.66%
3636,Red Leaf Lettuce,2014-08-10,$0.30,$1.86,$1.59,$1.34,$1.52,425.83%
3637,Cauliflower,2014-08-10,$0.78,$2.98,$3.52,$3.23,$3.62,327.88%
3638,Romaine Lettuce,2014-08-10,$0.56,$2.16,$1.99,$1.37,$1.86,229.46%
3639,Celery,2014-08-10,$0.38,$1.60,$1.57,$1.72,$1.87,344.74%
3640,Strawberries,2014-08-10,$1.16,$2.81,$2.29,$2.62,$2.96,130.17%
3641,Flame Grapes,2014-08-10,$0.93,$2.11,$1.96,$1.84,$2.32,121.24%
3642,Thompson Grapes,2014-08-10,$0.89,$1.99,$1.46,$2.46,$2.49,135.96%
3643,Green Leaf Lettuce,2014-08-10,$0.49,$1.61,$1.36,$1.34,$1.40,191.33%
3644,Honeydews,2014-08-10,$1.13,$3.74,$3.79,$3.22,$5.99,270.35%
3645,Iceberg Lettuce,2014-08-10,$0.62,$1.40,$1.40,$1.34,$1.56,129.84%
3646,Nectarines,2014-08-10,$0.73,$0.00,$1.99,$1.62,$1.99,91.78%
3647,Oranges,2014-08-10,$0.53,$1.60,$1.41,$1.62,$1.96,210.85%
3648,Peaches,2014-08-10,$0.75,$2.39,$1.89,$1.62,$0.00,96.67%
3649,Plums,2014-08-10,$0.78,$2.24,$2.01,$1.87,$0.00,96.15%
3650,Carrots,2014-08-10,$0.26,$0.96,$0.89,$0.96,$1.07,273.08%
3651,Avocados,2014-08-10,$0.79,$1.48,$1.23,$1.17,$1.16,59.49%
3652,Broccoli Bunches,2014-08-10,$0.97,$2.19,$1.69,$1.29,$2.32,93.04%
3653,Broccoli Crowns,2014-08-10,$0.91,$1.54,$1.83,$1.77,$2.02,96.70%
3654,Cantaloupe,2014-08-10,$0.52,$2.37,$2.52,$1.45,$2.61,330.29%
