,productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
4100,Potatoes,2014-01-26,$1.45,$5.02,$3.84,$3.66,$4.49,193.28%
4101,Red Leaf Lettuce,2014-01-26,$0.27,$1.61,$1.63,$1.07,$1.90,475.00%
4102,Romaine Lettuce,2014-01-26,$0.26,$1.72,$2.22,$1.07,$2.39,611.54%
4103,Broccoli Bunches,2014-01-26,$0.47,$2.42,$2.39,$1.24,$2.16,336.70%
4104,Strawberries,2014-01-26,$2.00,$2.87,$3.43,$2.87,$3.37,56.75%
4105,Broccoli Crowns,2014-01-26,$0.36,$2.01,$1.90,$1.74,$1.92,425.69%
4106,Cauliflower,2014-01-19,$0.92,$3.15,$3.77,$3.18,$3.99,282.88%
4107,Celery,2014-01-19,$0.32,$1.48,$1.54,$1.77,$1.99,429.69%
4108,Green Leaf Lettuce,2014-01-19,$0.25,$1.69,$1.42,$1.07,$1.76,494.00%
4109,Iceberg Lettuce,2014-01-19,$0.23,$1.35,$1.12,$1.07,$1.74,473.91%
4110,Oranges,2014-01-19,$0.46,$1.40,$1.18,$1.04,$1.82,195.65%
4111,Potatoes,2014-01-19,$1.45,$4.92,$4.09,$3.32,$4.49,190.00%
4112,Red Leaf Lettuce,2014-01-19,$0.28,$1.65,$1.63,$1.07,$1.90,458.04%
4113,Romaine Lettuce,2014-01-19,$0.27,$1.84,$1.90,$1.07,$2.55,581.48%
4114,Broccoli Bunches,2014-01-19,$0.51,$2.62,$2.44,$1.24,$2.33,323.04%
4115,Strawberries,2014-01-19,$2.25,$3.11,$3.49,$3.33,$4.24,57.44%
4116,Broccoli Crowns,2014-01-19,$0.38,$1.69,$1.92,$1.57,$1.94,368.42%
4117,Carrots,2014-01-19,$0.30,$0.91,$0.87,$0.96,$1.24,231.67%
4118,Green Leaf Lettuce,2014-01-12,$0.29,$1.61,$1.42,$1.14,$1.65,401.72%
4119,Iceberg Lettuce,2014-01-12,$0.27,$1.50,$1.25,$1.14,$1.92,437.96%
4120,Oranges,2014-01-12,$0.46,$1.53,$1.33,$0.99,$1.82,208.15%
4121,Potatoes,2014-01-12,$1.45,$4.54,$3.99,$3.82,$4.49,190.34%
4122,Red Leaf Lettuce,2014-01-12,$0.32,$1.69,$1.63,$1.14,$1.79,388.28%
4123,Romaine Lettuce,2014-01-12,$0.31,$1.84,$1.95,$1.14,$2.33,485.48%
4124,Broccoli Bunches,2014-01-12,$0.68,$2.42,$2.39,$1.14,$2.32,204.04%
4125,Strawberries,2014-01-12,$2.38,$3.36,$2.75,$3.62,$3.24,36.24%
4126,Broccoli Crowns,2014-01-12,$0.57,$2.11,$2.05,$1.77,$1.87,242.11%
4127,Carrots,2014-01-12,$0.30,$0.96,$0.84,$0.96,$1.24,233.33%
4128,Cauliflower,2014-01-12,$1.25,$3.23,$3.63,$3.53,$4.37,195.20%
4129,Celery,2014-01-12,$0.35,$1.31,$1.28,$1.77,$2.04,357.14%
4130,Iceberg Lettuce,2014-01-05,$0.28,$1.50,$1.25,$1.14,$1.92,418.75%
4131,Oranges,2014-01-05,$0.45,$1.53,$1.33,$0.99,$1.82,215.00%
4132,Potatoes,2014-01-05,$1.45,$4.54,$3.99,$3.82,$4.49,190.34%
4133,Red Leaf Lettuce,2014-01-05,$0.32,$1.69,$1.63,$1.14,$1.79,388.28%
4134,Romaine Lettuce,2014-01-05,$0.34,$1.84,$1.95,$1.14,$2.33,433.82%
4135,Broccoli Bunches,2014-01-05,$0.69,$2.42,$2.39,$1.14,$2.32,199.64%
4136,Strawberries,2014-01-05,$2.38,$3.36,$2.75,$3.62,$3.24,36.24%
4137,Broccoli Crowns,2014-01-05,$0.58,$2.11,$2.05,$1.77,$1.87,236.21%
4138,Carrots,2014-01-05,$0.30,$0.96,$0.84,$0.96,$1.24,233.33%
4139,Cauliflower,2014-01-05,$1.48,$3.23,$3.63,$3.53,$4.37,149.32%
4140,Celery,2014-01-05,$0.36,$1.31,$1.28,$1.77,$2.04,344.44%
4141,Green Leaf Lettuce,2014-01-05,$0.31,$1.61,$1.42,$1.14,$1.65,369.35%
4142,Oranges,2013-12-29,$0.42,$1.43,$1.63,$0.99,$2.05,263.10%
4143,Potatoes,2013-12-29,$1.45,$4.43,$3.48,$3.82,$6.99,222.76%
4144,Red Leaf Lettuce,2013-12-29,$0.28,$1.81,$1.75,$1.14,$1.86,485.71%
4145,Broccoli Bunches,2013-12-29,$0.50,$2.54,$2.59,$1.59,$2.16,344.00%
4146,Romaine Lettuce,2013-12-29,$0.30,$1.84,$2.15,$1.14,$2.49,535.00%
4147,Broccoli Crowns,2013-12-29,$0.43,$1.91,$1.70,$1.42,$2.04,311.05%
4148,Strawberries,2013-12-29,$2.38,$3.36,$3.44,$3.49,$3.99,50.00%
4149,Carrots,2013-12-29,$0.30,$0.91,$0.89,$0.94,$1.24,231.67%
4150,Cauliflower,2013-12-29,$1.02,$3.10,$3.02,$2.78,$4.37,225.25%
4151,Celery,2013-12-29,$0.37,$1.28,$1.61,$1.77,$2.04,352.70%
4152,Flame Grapes,2013-12-29,$0.92,$2.51,$2.54,$2.87,$3.19,201.90%
4153,Green Leaf Lettuce,2013-12-29,$0.28,$1.61,$1.53,$1.14,$1.71,434.82%
4154,Iceberg Lettuce,2013-12-29,$0.25,$1.35,$1.23,$1.14,$1.74,446.00%
4155,Romaine Lettuce,2013-12-22,$0.30,$1.74,$2.08,$1.34,$2.33,524.17%
4156,Strawberries,2013-12-22,$2.38,$3.54,$4.24,$3.99,$4.99,76.05%
4157,Carrots,2013-12-22,$0.29,$0.91,$0.89,$0.94,$1.44,260.34%
4158,Cauliflower,2013-12-22,$1.18,$2.74,$2.62,$3.03,$4.37,170.34%
4159,Celery,2013-12-22,$0.36,$1.13,$1.49,$1.69,$1.87,329.17%
4160,Flame Grapes,2013-12-22,$0.92,$2.81,$2.87,$2.74,$2.94,208.70%
4161,Green Leaf Lettuce,2013-12-22,$0.28,$1.61,$1.60,$1.34,$1.71,458.93%
4162,Iceberg Lettuce,2013-12-22,$0.25,$1.35,$1.32,$1.27,$1.92,486.00%
4163,Oranges,2013-12-22,$0.40,$1.37,$1.19,$0.99,$1.52,216.88%
4164,Potatoes,2013-12-22,$1.45,$4.60,$3.99,$3.99,$4.49,194.31%
4165,Red Leaf Lettuce,2013-12-22,$0.28,$1.69,$1.75,$1.34,$1.86,492.86%
4166,Broccoli Bunches,2013-12-22,$0.57,$2.32,$1.99,$0.99,$2.16,227.19%
4167,Broccoli Crowns,2013-12-22,$0.47,$1.96,$1.80,$1.67,$1.99,294.68%
4168,Carrots,2013-12-15,$0.30,$0.91,$0.89,$0.96,$1.57,260.83%
4169,Cauliflower,2013-12-15,$1.62,$3.00,$3.53,$2.98,$3.87,106.48%
4170,Celery,2013-12-15,$0.50,$1.23,$1.49,$1.04,$2.04,190.00%
4171,Flame Grapes,2013-12-15,$1.03,$2.65,$2.82,$2.24,$2.69,152.43%
4172,Green Leaf Lettuce,2013-12-15,$0.29,$1.56,$1.58,$1.34,$1.71,433.62%
4173,Iceberg Lettuce,2013-12-15,$0.25,$1.22,$1.35,$1.14,$1.59,430.00%
4174,Oranges,2013-12-15,$0.38,$1.34,$1.28,$0.99,$1.70,249.34%
4175,Potatoes,2013-12-15,$1.45,$5.06,$3.92,$3.49,$0.00,115.00%
4176,Red Leaf Lettuce,2013-12-15,$0.30,$1.66,$1.67,$1.34,$1.86,444.17%
4177,Broccoli Bunches,2013-12-15,$0.71,$2.68,$1.96,$1.24,$1.99,177.11%
4178,Romaine Lettuce,2013-12-15,$0.30,$1.84,$2.15,$1.34,$2.49,551.67%
4179,Broccoli Crowns,2013-12-15,$0.61,$1.96,$1.74,$1.67,$2.17,209.02%
4180,Strawberries,2013-12-15,$2.88,$3.86,$3.87,$3.99,$4.66,42.19%
4181,Flame Grapes,2013-12-01,$0.95,$2.06,$2.19,$2.49,$2.69,148.16%
4182,Green Leaf Lettuce,2013-12-01,$0.29,$1.59,$1.57,$1.27,$1.71,429.31%
4183,Iceberg Lettuce,2013-12-01,$0.27,$1.31,$1.50,$1.19,$1.74,431.48%
4184,Oranges,2013-12-01,$0.41,$1.43,$1.23,$0.99,$1.82,233.54%
4185,Potatoes,2013-12-01,$1.45,$5.01,$3.99,$3.32,$5.49,207.07%
4186,Red Leaf Lettuce,2013-12-01,$0.29,$1.66,$1.80,$1.27,$1.86,468.10%
4187,Broccoli Bunches,2013-12-01,$0.44,$2.16,$2.44,$1.49,$2.33,378.41%
4188,Romaine Lettuce,2013-12-01,$0.33,$1.74,$2.16,$1.27,$2.43,475.76%
4189,Broccoli Crowns,2013-12-01,$0.34,$2.11,$2.35,$1.82,$1.86,498.53%
4190,Strawberries,2013-12-01,$2.38,$3.35,$3.62,$3.87,$4.74,63.66%
4191,Carrots,2013-12-01,$0.30,$0.91,$0.89,$0.96,$1.44,250.00%
4192,Cauliflower,2013-12-01,$0.64,$2.99,$3.47,$3.23,$3.74,424.61%
4193,Celery,2013-12-01,$0.46,$1.32,$1.40,$1.77,$1.99,252.17%
4194,Iceberg Lettuce,2013-11-24,$0.31,$1.40,$1.42,$1.29,$1.99,391.94%
4195,Oranges,2013-11-24,$0.41,$1.32,$1.40,$1.24,$1.82,252.44%
4196,Potatoes,2013-11-24,$1.45,$3.66,$2.90,$3.66,$5.49,170.86%
4197,Red Leaf Lettuce,2013-11-24,$0.27,$1.56,$1.73,$1.34,$1.86,500.93%
4198,Broccoli Bunches,2013-11-24,$0.47,$2.16,$2.07,$1.79,$2.82,370.21%
4199,Romaine Lettuce,2013-11-24,$0.32,$1.61,$2.22,$1.42,$2.43,500.00%
