,productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
2700,Broccoli Crowns,2015-10-25,$0.88,$2.15,$1.70,$1.84,$1.83,113.64%
2701,Romaine Lettuce,2015-10-25,$0.81,$1.56,$1.95,$1.67,$1.95,120.06%
2702,Cantaloupe,2015-10-25,$0.79,$3.81,$2.94,$2.60,$3.19,296.84%
2703,Strawberries,2015-10-25,$2.17,$3.31,$2.99,$3.74,$4.66,69.35%
2704,Carrots,2015-10-25,$0.31,$0.94,$0.90,$0.99,$1.07,214.52%
2705,Cauliflower,2015-10-25,$1.15,$3.31,$2.24,$2.73,$3.49,155.87%
2706,Celery,2015-10-25,$0.87,$1.79,$1.76,$1.79,$2.09,113.51%
2707,Oranges,2015-10-18,$0.50,$1.52,$1.44,$1.79,$1.83,229.00%
2708,Broccoli Bunches,2015-10-18,$1.12,$2.26,$2.15,$1.49,$2.49,87.28%
2709,Red Leaf Lettuce,2015-10-18,$0.37,$1.44,$1.49,$1.54,$1.90,330.41%
2710,Broccoli Crowns,2015-10-18,$0.96,$2.37,$1.70,$1.84,$1.90,103.39%
2711,Tomatoes,2015-10-18,$0.52,$1.49,$1.26,$1.69,$1.90,204.81%
2712,Cantaloupe,2015-10-18,$0.87,$2.92,$2.94,$2.80,$3.19,240.52%
2713,Romaine Lettuce,2015-10-18,$0.83,$1.56,$1.76,$1.71,$2.17,116.87%
2714,Carrots,2015-10-18,$0.31,$0.94,$0.90,$0.99,$1.13,219.35%
2715,Strawberries,2015-10-18,$1.88,$3.24,$2.92,$3.12,$3.81,74.07%
2716,Cauliflower,2015-10-18,$1.78,$3.19,$3.06,$3.83,$4.74,108.15%
2717,Celery,2015-10-18,$0.09,$1.79,$1.61,$1.77,$1.74,"1,819.44%"
2718,Flame Grapes,2015-10-18,$0.89,$2.06,$2.06,$1.94,$2.24,133.15%
2719,Green Leaf Lettuce,2015-10-18,$0.42,$1.36,$1.36,$1.54,$1.75,257.74%
2720,Honeydews,2015-10-18,$1.42,$4.49,$3.22,$3.96,$4.49,184.51%
2721,Iceberg Lettuce,2015-10-18,$0.83,$1.36,$1.44,$1.62,$2.11,96.69%
2722,Strawberries,2015-10-11,$1.79,$3.11,$2.57,$3.62,$3.99,85.61%
2723,Cauliflower,2015-10-11,$2.02,$3.19,$2.99,$2.93,$3.24,52.85%
2724,Celery,2015-10-11,$0.66,$1.74,$1.69,$1.79,$1.94,171.21%
2725,Flame Grapes,2015-10-11,$0.89,$2.31,$1.96,$1.49,$2.24,124.72%
2726,Green Leaf Lettuce,2015-10-11,$0.35,$1.61,$1.30,$1.54,$1.94,356.43%
2727,Honeydews,2015-10-11,$1.42,$3.99,$3.74,$3.97,$4.99,193.84%
2728,Iceberg Lettuce,2015-10-11,$0.51,$1.49,$1.44,$1.67,$2.11,228.92%
2729,Oranges,2015-10-11,$0.50,$1.61,$1.44,$1.87,$1.68,230.00%
2730,Broccoli Bunches,2015-10-11,$1.10,$2.59,$2.12,$1.49,$2.65,101.14%
2731,Red Leaf Lettuce,2015-10-11,$0.31,$1.44,$1.45,$1.54,$2.06,423.39%
2732,Broccoli Crowns,2015-10-11,$0.89,$2.00,$1.70,$1.84,$1.78,105.62%
2733,Tomatoes,2015-10-11,$0.62,$1.49,$1.26,$1.44,$1.90,145.56%
2734,Cantaloupe,2015-10-11,$0.87,$2.92,$3.06,$2.72,$5.18,298.85%
2735,Romaine Lettuce,2015-10-11,$0.70,$1.36,$1.87,$1.59,$2.52,162.14%
2736,Carrots,2015-10-11,$0.31,$0.94,$0.90,$0.99,$1.13,219.35%
2737,Honeydews,2015-10-04,$1.44,$3.24,$3.74,$3.50,$4.99,168.58%
2738,Iceberg Lettuce,2015-10-04,$0.47,$1.36,$1.56,$1.67,$1.86,243.09%
2739,Oranges,2015-10-04,$0.50,$1.58,$1.44,$1.29,$1.68,199.50%
2740,Red Leaf Lettuce,2015-10-04,$0.31,$1.51,$1.49,$1.54,$2.01,428.23%
2741,Tomatoes,2015-10-04,$0.58,$1.49,$1.16,$1.99,$1.45,162.50%
2742,Cantaloupe,2015-10-04,$0.87,$2.94,$3.06,$2.57,$3.24,239.37%
2743,Romaine Lettuce,2015-10-04,$0.63,$1.46,$1.76,$1.71,$2.02,175.79%
2744,Carrots,2015-10-04,$0.31,$0.94,$0.87,$0.99,$1.13,216.94%
2745,Strawberries,2015-10-04,$1.67,$2.99,$2.57,$3.37,$3.49,85.93%
2746,Cauliflower,2015-10-04,$1.58,$3.26,$3.06,$4.03,$4.86,140.66%
2747,Celery,2015-10-04,$0.44,$1.65,$1.59,$1.79,$1.86,291.48%
2748,Flame Grapes,2015-10-04,$0.89,$2.19,$1.41,$2.09,$2.11,119.10%
2749,Green Leaf Lettuce,2015-10-04,$0.32,$1.36,$1.36,$1.54,$1.86,378.13%
2750,Broccoli Bunches,2015-10-04,$0.98,$2.52,$2.07,$1.99,$2.81,139.54%
2751,Broccoli Crowns,2015-10-04,$0.80,$2.02,$1.62,$1.84,$1.90,130.63%
2752,Red Leaf Lettuce,2015-09-27,$0.31,$1.44,$1.49,$1.54,$2.01,422.58%
2753,Broccoli Crowns,2015-09-27,$0.90,$1.93,$1.92,$1.82,$2.03,113.89%
2754,Romaine Lettuce,2015-09-27,$0.55,$1.61,$1.76,$1.59,$2.02,217.27%
2755,Cantaloupe,2015-09-27,$0.89,$2.43,$2.99,$2.47,$2.49,191.57%
2756,Strawberries,2015-09-27,$1.42,$3.36,$3.49,$3.24,$3.99,147.89%
2757,Carrots,2015-09-27,$0.30,$0.94,$0.90,$0.99,$1.13,230.00%
2758,Cauliflower,2015-09-27,$1.08,$3.31,$3.21,$3.28,$3.12,199.07%
2759,Celery,2015-09-27,$0.44,$1.80,$1.41,$1.79,$1.80,286.36%
2760,Flame Grapes,2015-09-27,$0.89,$2.09,$1.81,$2.21,$2.11,130.90%
2761,Green Leaf Lettuce,2015-09-27,$0.32,$1.44,$1.30,$1.54,$1.86,379.69%
2762,Honeydews,2015-09-27,$1.42,$3.24,$3.74,$3.59,$4.49,165.14%
2763,Iceberg Lettuce,2015-09-27,$0.82,$1.11,$1.54,$1.67,$2.24,100.00%
2764,Oranges,2015-09-27,$0.50,$1.51,$1.44,$1.29,$1.68,196.00%
2765,Broccoli Bunches,2015-09-27,$1.07,$2.36,$1.96,$1.49,$2.49,93.93%
2766,Flame Grapes,2015-09-20,$0.89,$1.99,$1.84,$1.97,$2.11,122.19%
