,productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
800,Honeydews,2018-05-20,$1.66,$2.67,$3.14,$3.66,$4.36,108.28%
801,Green Leaf Lettuce,2018-05-20,$0.38,$1.62,$1.71,$1.42,$1.80,330.92%
802,Flame Grapes,2018-05-20,$1.39,$2.31,$2.21,$2.62,$2.81,78.96%
803,Celery,2018-05-20,$0.32,$1.64,$1.86,$1.99,$1.62,455.47%
804,Cauliflower,2018-05-20,$1.05,$2.75,$2.98,$3.48,$3.36,199.29%
805,Carrots,2018-05-20,$0.29,$0.92,$0.85,$0.99,$1.15,237.07%
806,Cantaloupe,2018-05-20,$0.95,$2.22,$2.48,$2.24,$2.74,154.74%
807,Broccoli Crowns,2018-05-20,$0.86,$1.65,$1.83,$1.99,$1.74,109.59%
808,Broccoli Bunches,2018-05-20,$0.80,$1.81,$1.93,$1.49,$1.63,114.38%
809,Avocados,2018-05-20,$0.83,$0.94,$1.69,$1.25,$1.51,62.35%
810,Strawberries,2018-05-13,$0.59,$2.62,$1.94,$1.75,$2.96,292.80%
811,Romaine Lettuce,2018-05-13,$0.30,$1.62,$2.07,$1.32,$1.99,483.33%
812,Red Leaf Lettuce,2018-05-13,$0.54,$1.62,$1.68,$1.32,$1.81,197.69%
813,Potatoes,2018-05-13,$1.65,$4.37,$4.43,$3.99,$5.72,180.45%
814,Oranges,2018-05-13,$0.66,$1.38,$1.40,$1.34,$2.00,131.82%
815,Iceberg Lettuce,2018-05-13,$0.50,$0.99,$1.36,$1.29,$1.59,161.50%
816,Honeydews,2018-05-13,$1.29,$3.61,$3.16,$3.66,$4.11,181.78%
817,Green Leaf Lettuce,2018-05-13,$0.53,$1.62,$1.61,$1.32,$1.65,192.45%
818,Celery,2018-05-13,$0.32,$1.35,$1.85,$1.94,$1.86,446.88%
819,Cauliflower,2018-05-13,$1.41,$2.42,$3.21,$3.48,$3.36,121.10%
820,Carrots,2018-05-13,$0.29,$0.92,$0.92,$0.99,$1.02,231.90%
821,Cantaloupe,2018-05-13,$0.91,$2.37,$1.99,$2.86,$2.99,180.49%
822,Broccoli Crowns,2018-05-13,$0.88,$1.65,$1.73,$1.99,$2.11,112.50%
823,Broccoli Bunches,2018-05-13,$0.88,$1.65,$1.86,$1.49,$1.63,88.35%
824,Avocados,2018-05-13,$0.83,$0.97,$1.31,$0.99,$1.59,46.39%
825,Asparagus,2018-05-13,$2.43,$2.48,$2.07,$4.12,$3.86,28.91%
826,Strawberries,2018-05-06,$0.63,$2.57,$2.07,$1.62,$2.99,267.06%
827,Romaine Lettuce,2018-05-06,$0.32,$1.62,$2.17,$1.77,$1.99,489.84%
828,Red Leaf Lettuce,2018-05-06,$0.70,$1.62,$1.88,$1.74,$1.95,156.79%
829,Potatoes,2018-05-06,$1.60,$4.37,$4.31,$3.99,$5.72,187.34%
830,Oranges,2018-05-06,$0.63,$1.42,$1.40,$1.34,$2.17,151.19%
831,Iceberg Lettuce,2018-05-06,$0.80,$0.99,$1.36,$1.34,$1.59,65.00%
832,Green Leaf Lettuce,2018-05-06,$0.77,$1.62,$1.83,$1.32,$1.80,113.31%
833,Celery,2018-05-06,$0.39,$1.35,$1.89,$1.94,$1.53,330.13%
834,Cauliflower,2018-05-06,$2.25,$2.42,$2.48,$3.48,$3.36,30.44%
835,Carrots,2018-05-06,$0.29,$0.92,$0.85,$0.99,$1.09,231.90%
836,Cantaloupe,2018-05-06,$1.02,$2.49,$2.23,$2.24,$2.41,129.66%
