,productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
4000,Broccoli Crowns,2014-03-23,$0.47,$1.66,$1.70,$1.62,$1.99,270.74%
4001,Carrots,2014-03-23,$0.27,$0.90,$0.85,$0.96,$1.32,273.15%
4002,Cauliflower,2014-03-23,$0.70,$3.03,$3.28,$3.08,$3.24,351.07%
4003,Celery,2014-03-23,$0.27,$1.46,$1.52,$1.72,$1.94,514.81%
4004,Green Leaf Lettuce,2014-03-23,$0.27,$1.74,$1.53,$1.07,$1.76,464.81%
4005,Asparagus,2014-03-16,$1.09,$2.86,$2.62,$2.22,$2.54,134.86%
4006,Red Leaf Lettuce,2014-03-16,$0.25,$1.56,$1.68,$1.14,$1.90,528.00%
4007,Avocados,2014-03-16,$0.79,$1.24,$1.26,$1.12,$1.63,66.14%
4008,Romaine Lettuce,2014-03-16,$0.35,$1.73,$2.15,$1.14,$2.49,436.43%
4009,Broccoli Bunches,2014-03-16,$0.73,$2.38,$2.14,$1.49,$2.33,185.62%
4010,Strawberries,2014-03-16,$1.25,$1.91,$2.09,$3.12,$2.99,102.20%
4011,Broccoli Crowns,2014-03-16,$0.56,$1.91,$1.60,$1.77,$1.74,213.39%
4012,Carrots,2014-03-16,$0.27,$0.91,$0.87,$0.96,$1.36,279.63%
4013,Cauliflower,2014-03-16,$0.69,$3.03,$2.78,$2.98,$3.99,363.04%
4014,Celery,2014-03-16,$0.29,$1.46,$1.42,$1.72,$2.04,472.41%
4015,Green Leaf Lettuce,2014-03-16,$0.26,$1.49,$1.47,$1.07,$1.76,456.73%
4016,Iceberg Lettuce,2014-03-16,$0.27,$1.35,$0.97,$1.07,$1.92,391.67%
4017,Oranges,2014-03-16,$0.48,$1.51,$1.46,$1.12,$2.05,219.79%
4018,Potatoes,2014-03-16,$1.45,$5.66,$4.02,$3.99,$5.49,230.34%
4019,Carrots,2014-03-09,$0.29,$0.92,$0.87,$0.96,$1.44,261.21%
4020,Cauliflower,2014-03-09,$0.95,$3.03,$3.53,$2.98,$4.12,259.47%
4021,Celery,2014-03-09,$0.30,$1.46,$1.59,$1.54,$2.04,452.50%
4022,Green Leaf Lettuce,2014-03-09,$0.27,$1.74,$1.53,$1.07,$1.76,464.81%
4023,Iceberg Lettuce,2014-03-09,$0.28,$1.35,$1.17,$1.07,$1.87,387.50%
4024,Oranges,2014-03-09,$0.48,$1.36,$1.46,$1.04,$1.93,201.56%
4025,Potatoes,2014-03-09,$1.45,$5.16,$4.02,$3.99,$5.49,221.72%
4026,Red Leaf Lettuce,2014-03-09,$0.27,$1.56,$1.75,$1.07,$1.90,481.48%
4027,Avocados,2014-03-09,$0.79,$1.24,$1.36,$1.13,$1.58,68.04%
