,productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
3100,Green Leaf Lettuce,2015-05-10,$1.29,$1.44,$1.42,$1.62,$1.86,22.87%
3101,Iceberg Lettuce,2015-05-10,$0.46,$1.14,$1.37,$1.52,$2.49,254.35%
3102,Oranges,2015-05-10,$0.24,$1.05,$1.30,$1.19,$2.05,482.29%
3103,Potatoes,2015-05-10,$0.70,$5.66,$4.10,$3.99,$5.99,605.00%
3104,Avocados,2015-05-10,$0.82,$1.19,$1.43,$1.25,$1.57,65.85%
3105,Red Leaf Lettuce,2015-05-10,$1.28,$1.51,$1.62,$1.62,$2.02,32.23%
3106,Broccoli Bunches,2015-05-10,$0.96,$2.68,$2.24,$1.39,$2.66,133.59%
3107,Romaine Lettuce,2015-05-10,$0.53,$1.56,$1.76,$1.62,$2.18,235.85%
3108,Broccoli Crowns,2015-05-10,$0.74,$1.76,$1.59,$1.59,$1.99,134.12%
3109,Strawberries,2015-05-10,$1.50,$3.52,$1.64,$3.24,$3.74,102.33%
3110,Carrots,2015-05-10,$0.30,$0.97,$0.90,$0.99,$1.22,240.00%
3111,Cauliflower,2015-05-10,$2.65,$3.33,$3.06,$3.38,$4.99,39.25%
3112,Oranges,2015-05-03,$0.45,$1.05,$1.19,$1.27,$1.93,202.22%
3113,Avocados,2015-05-03,$0.82,$1.03,$1.24,$1.12,$1.31,43.29%
3114,Potatoes,2015-05-03,$0.70,$5.27,$4.11,$3.99,$4.99,555.71%
3115,Broccoli Bunches,2015-05-03,$0.74,$2.51,$2.24,$1.29,$2.66,193.92%
3116,Red Leaf Lettuce,2015-05-03,$1.33,$1.69,$1.62,$1.62,$2.24,34.77%
3117,Broccoli Crowns,2015-05-03,$0.54,$1.63,$1.77,$1.59,$2.17,231.48%
3118,Romaine Lettuce,2015-05-03,$0.51,$1.56,$1.73,$1.74,$2.33,260.78%
3119,Cantaloupe,2015-05-03,$0.96,$2.37,$2.59,$2.46,$3.04,172.40%
3120,Strawberries,2015-05-03,$1.50,$2.82,$1.82,$2.87,$2.62,68.83%
3121,Carrots,2015-05-03,$0.30,$0.90,$0.90,$0.99,$1.22,234.17%
3122,Cauliflower,2015-05-03,$2.39,$3.20,$3.06,$4.13,$4.74,58.26%
3123,Celery,2015-05-03,$0.64,$1.66,$1.66,$1.69,$2.17,180.47%
3124,Flame Grapes,2015-05-03,$1.42,$2.56,$2.44,$2.87,$2.99,91.20%
3125,Green Leaf Lettuce,2015-05-03,$1.39,$1.44,$1.48,$1.62,$2.07,18.88%
3126,Iceberg Lettuce,2015-05-03,$0.57,$1.14,$1.37,$1.52,$2.14,170.61%
3127,Broccoli Bunches,2015-04-26,$0.99,$2.39,$2.19,$1.29,$2.49,111.11%
3128,Strawberries,2015-04-26,$1.58,$2.29,$2.05,$2.62,$2.37,47.63%
3129,Broccoli Crowns,2015-04-26,$0.61,$1.63,$1.54,$1.59,$1.74,166.39%
3130,Carrots,2015-04-26,$0.30,$0.92,$0.90,$0.99,$1.34,245.83%
3131,Cauliflower,2015-04-26,$2.10,$3.03,$3.06,$2.98,$4.49,61.43%
3132,Celery,2015-04-26,$0.58,$1.66,$1.61,$1.69,$2.17,207.33%
3133,Green Leaf Lettuce,2015-04-26,$1.37,$1.34,$1.32,$1.64,$1.96,14.23%
3134,Iceberg Lettuce,2015-04-26,$0.80,$1.14,$1.36,$1.49,$2.07,89.38%
3135,Oranges,2015-04-26,$0.45,$0.98,$1.14,$1.09,$2.16,198.33%
3136,Potatoes,2015-04-26,$0.70,$4.98,$4.36,$3.99,$3.99,518.57%
3137,Red Leaf Lettuce,2015-04-26,$1.12,$1.41,$1.51,$1.64,$2.13,49.33%
3138,Avocados,2015-04-26,$0.82,$0.94,$0.99,$1.04,$1.29,29.88%
3139,Romaine Lettuce,2015-04-26,$0.54,$1.91,$1.80,$1.67,$2.33,256.94%
3140,Cauliflower,2015-04-19,$1.99,$2.90,$3.06,$3.28,$4.49,72.49%
3141,Celery,2015-04-19,$0.47,$1.66,$1.61,$1.69,$2.17,279.26%
3142,Green Leaf Lettuce,2015-04-19,$1.20,$1.34,$1.32,$1.57,$1.96,28.96%
3143,Iceberg Lettuce,2015-04-19,$0.49,$1.14,$1.36,$1.49,$2.42,227.04%
3144,Oranges,2015-04-19,$0.45,$1.05,$1.14,$1.01,$2.05,191.67%
3145,Potatoes,2015-04-19,$0.80,$4.98,$4.36,$3.99,$3.99,441.25%
3146,Red Leaf Lettuce,2015-04-19,$0.88,$1.41,$1.51,$1.57,$2.13,88.07%
3147,Romaine Lettuce,2015-04-19,$0.60,$1.91,$1.80,$1.59,$2.33,217.92%
3148,Strawberries,2015-04-19,$1.48,$2.22,$2.05,$1.75,$2.87,50.17%
3149,Carrots,2015-04-19,$0.30,$0.92,$0.90,$0.99,$1.34,245.83%
3150,Avocados,2015-04-19,$0.80,$1.19,$1.18,$1.31,$1.78,70.63%
3151,Broccoli Bunches,2015-04-19,$1.09,$2.39,$2.19,$1.29,$2.49,91.74%
3152,Broccoli Crowns,2015-04-19,$0.71,$1.63,$1.54,$1.59,$1.74,128.87%
3153,Green Leaf Lettuce,2015-04-12,$0.81,$1.34,$1.37,$1.52,$1.76,84.88%
3154,Iceberg Lettuce,2015-04-12,$0.44,$1.14,$1.40,$1.47,$2.24,255.11%
3155,Oranges,2015-04-12,$0.45,$0.93,$1.27,$1.22,$1.93,197.22%
3156,Potatoes,2015-04-12,$0.80,$4.88,$4.11,$3.99,$4.99,461.56%
3157,Red Leaf Lettuce,2015-04-12,$0.67,$1.31,$1.51,$1.52,$2.02,137.31%
3158,Avocados,2015-04-12,$0.82,$1.07,$1.37,$1.12,$1.63,58.23%
3159,Romaine Lettuce,2015-04-12,$0.63,$1.59,$1.73,$1.66,$2.33,190.08%
3160,Broccoli Bunches,2015-04-12,$1.00,$2.39,$2.24,$0.99,$2.49,102.75%
3161,Strawberries,2015-04-12,$1.21,$2.62,$2.12,$2.87,$2.87,116.53%
3162,Broccoli Crowns,2015-04-12,$0.74,$1.63,$1.37,$1.52,$2.17,126.01%
3163,Carrots,2015-04-12,$0.30,$0.92,$0.90,$0.99,$1.22,235.83%
3164,Cauliflower,2015-04-12,$1.93,$3.26,$3.06,$4.03,$4.74,95.47%
3165,Celery,2015-04-12,$0.42,$1.66,$1.49,$1.69,$2.17,317.26%
3166,Oranges,2015-04-05,$0.45,$0.93,$1.27,$1.27,$2.05,206.67%
3167,Potatoes,2015-04-05,$0.80,$4.88,$4.11,$3.99,$6.99,524.06%
3168,Asparagus,2015-04-05,$2.10,$3.26,$2.76,$3.37,$2.99,47.38%
3169,Red Leaf Lettuce,2015-04-05,$0.50,$1.34,$1.51,$1.49,$2.02,218.00%
3170,Avocados,2015-04-05,$0.81,$1.07,$1.43,$1.12,$2.04,74.69%
3171,Romaine Lettuce,2015-04-05,$0.59,$1.65,$1.73,$1.52,$2.33,206.36%
3172,Broccoli Bunches,2015-04-05,$0.74,$2.39,$2.24,$1.29,$2.33,178.72%
3173,Strawberries,2015-04-05,$1.19,$2.86,$2.00,$2.12,$2.37,96.43%
3174,Broccoli Crowns,2015-04-05,$0.59,$1.63,$1.37,$1.59,$1.74,168.22%
3175,Carrots,2015-04-05,$0.30,$0.95,$0.90,$0.99,$1.22,238.33%
3176,Cauliflower,2015-04-05,$1.85,$3.26,$3.06,$2.93,$4.62,87.43%
3177,Celery,2015-04-05,$0.33,$1.66,$1.69,$1.69,$1.92,427.27%
3178,Green Leaf Lettuce,2015-04-05,$0.59,$1.34,$1.32,$1.49,$1.86,154.66%
3179,Iceberg Lettuce,2015-04-05,$0.42,$1.14,$1.41,$1.44,$2.42,281.55%
3180,Broccoli Bunches,2015-03-29,$0.74,$2.54,$1.86,$1.54,$2.49,184.80%
3181,Strawberries,2015-03-29,$1.13,$2.32,$1.62,$2.12,$2.75,94.91%
3182,Broccoli Crowns,2015-03-29,$0.57,$2.01,$1.47,$1.79,$2.04,220.61%
3183,Carrots,2015-03-29,$0.30,$0.95,$0.90,$0.99,$1.22,238.33%
3184,Cauliflower,2015-03-29,$1.53,$3.40,$3.02,$4.08,$4.74,149.02%
3185,Celery,2015-03-29,$0.35,$1.55,$1.59,$1.49,$1.99,372.86%
3186,Green Leaf Lettuce,2015-03-29,$0.43,$1.34,$1.41,$1.52,$1.86,256.40%
3187,Iceberg Lettuce,2015-03-29,$0.30,$1.14,$1.28,$1.44,$2.29,412.50%
3188,Oranges,2015-03-29,$0.45,$1.23,$1.22,$1.24,$1.82,206.11%
3189,Potatoes,2015-03-29,$0.75,$5.02,$4.03,$3.99,$6.99,567.67%
3190,Asparagus,2015-03-29,$1.74,$2.71,$1.73,$2.74,$3.69,56.18%
3191,Red Leaf Lettuce,2015-03-29,$0.36,$1.66,$1.55,$1.52,$2.02,368.75%
3192,Avocados,2015-03-29,$0.81,$1.19,$1.43,$1.19,$1.53,64.81%
3193,Romaine Lettuce,2015-03-29,$0.50,$1.85,$1.73,$1.66,$2.33,278.50%
3194,Cauliflower,2015-03-22,$1.48,$3.03,$3.15,$3.28,$4.66,138.51%
3195,Celery,2015-03-22,$0.34,$1.66,$1.53,$1.69,$2.17,418.38%
3196,Green Leaf Lettuce,2015-03-22,$0.35,$1.61,$1.32,$1.54,$1.86,352.14%
3197,Iceberg Lettuce,2015-03-22,$0.31,$1.14,$1.46,$1.49,$2.24,410.48%
3198,Oranges,2015-03-22,$0.46,$1.04,$1.38,$1.19,$2.05,207.61%
3199,Potatoes,2015-03-22,$0.80,$5.95,$3.90,$3.99,$6.99,550.94%
