,productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
900,Potatoes,2018-04-01,$1.60,$4.22,$4.64,$3.99,$5.72,190.16%
901,Oranges,2018-04-01,$0.52,$1.30,$1.27,$1.34,$1.88,178.37%
902,Iceberg Lettuce,2018-04-01,$0.37,$0.99,$1.36,$1.39,$1.66,264.86%
903,Green Leaf Lettuce,2018-04-01,$0.44,$1.42,$1.63,$1.47,$1.76,256.82%
904,Celery,2018-04-01,$0.41,$1.35,$1.36,$1.94,$1.44,271.34%
905,Cauliflower,2018-04-01,$0.74,$2.82,$3.41,$3.78,$3.61,360.14%
906,Carrots,2018-04-01,$0.29,$0.92,$0.89,$0.99,$1.12,237.93%
907,Broccoli Crowns,2018-04-01,$0.34,$1.69,$1.73,$1.99,$1.86,434.56%
908,Broccoli Bunches,2018-04-01,$0.34,$1.65,$1.86,$1.49,$1.63,387.50%
909,Avocados,2018-04-01,$0.86,$0.98,$1.51,$1.17,$1.62,53.49%
910,Asparagus,2018-04-01,$1.61,$2.86,$2.86,$3.12,$3.19,86.80%
911,Strawberries,2018-03-25,$2.00,$2.76,$2.94,$2.56,$3.62,48.50%
912,Romaine Lettuce,2018-03-25,$0.68,$1.69,$2.09,$1.57,$2.07,172.79%
913,Red Leaf Lettuce,2018-03-25,$0.41,$1.42,$1.73,$1.47,$1.82,292.68%
914,Potatoes,2018-03-25,$1.60,$4.22,$4.64,$3.99,$6.99,210.00%
915,Oranges,2018-03-25,$0.51,$1.42,$1.14,$1.34,$1.88,183.33%
916,Iceberg Lettuce,2018-03-25,$0.42,$0.87,$1.41,$1.39,$1.65,216.67%
917,Green Leaf Lettuce,2018-03-25,$0.50,$1.42,$1.76,$1.47,$1.74,219.50%
918,Celery,2018-03-25,$0.48,$1.35,$1.91,$1.94,$1.49,248.44%
919,Cauliflower,2018-03-25,$1.39,$2.98,$2.22,$3.78,$3.56,125.54%
920,Carrots,2018-03-25,$0.29,$0.92,$0.92,$0.99,$0.94,225.00%
921,Broccoli Crowns,2018-03-25,$0.39,$1.69,$1.90,$1.99,$1.61,360.90%
922,Broccoli Bunches,2018-03-25,$0.37,$1.81,$1.27,$1.49,$1.63,318.92%
923,Avocados,2018-03-25,$0.86,$1.04,$1.51,$1.56,$1.62,66.57%
924,Asparagus,2018-03-25,$2.16,$2.56,$2.56,$3.24,$2.24,22.69%
