,productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
1900,Celery,2016-11-27,$0.40,$1.08,$1.43,$1.84,$1.68,276.88%
1901,Cauliflower,2016-11-27,$1.28,$2.36,$2.23,$3.03,$3.24,112.11%
1902,Carrots,2016-11-27,$0.29,$0.95,$0.78,$0.99,$1.14,232.76%
1903,Broccoli Crowns,2016-11-27,$0.43,$1.95,$1.63,$1.69,$1.58,298.26%
1904,Broccoli Bunches,2016-11-27,$0.39,$1.78,$1.20,$1.24,$1.63,275.00%
1905,Cauliflower,2016-11-20,$1.01,$2.36,$2.48,$2.73,$3.24,167.57%
1906,Thompson Grapes,2016-11-20,$1.09,$2.69,$2.36,$3.19,$2.61,148.85%
1907,Strawberries,2016-11-20,$2.50,$4.66,$4.61,$4.62,$5.49,93.80%
1908,Romaine Lettuce,2016-11-20,$0.33,$1.67,$1.94,$1.34,$1.91,419.70%
1909,Red Leaf Lettuce,2016-11-20,$0.35,$1.32,$1.55,$1.34,$1.81,330.00%
1910,Oranges,2016-11-20,$0.28,$1.34,$1.20,$0.99,$1.64,361.61%
1911,Iceberg Lettuce,2016-11-20,$0.38,$1.16,$1.44,$1.34,$1.31,245.39%
1912,Green Leaf Lettuce,2016-11-20,$0.37,$1.32,$1.48,$1.34,$1.74,297.30%
1913,Flame Grapes,2016-11-20,$1.13,$2.69,$2.24,$2.94,$2.61,131.86%
1914,Celery,2016-11-20,$0.47,$1.08,$1.21,$1.62,$1.68,197.34%
1915,Carrots,2016-11-20,$0.29,$0.95,$0.78,$0.99,$1.11,230.17%
1916,Broccoli Crowns,2016-11-20,$0.46,$1.90,$1.75,$1.69,$1.40,266.30%
1917,Broccoli Bunches,2016-11-20,$0.38,$1.78,$1.20,$0.94,$1.63,265.13%
1918,Oranges,2016-11-13,$0.29,$1.70,$1.18,$0.92,$1.58,363.79%
1919,Thompson Grapes,2016-11-13,$1.01,$2.69,$2.24,$2.44,$2.49,144.06%
1920,Strawberries,2016-11-13,$2.63,$4.66,$4.75,$4.87,$5.24,85.55%
1921,Romaine Lettuce,2016-11-13,$0.36,$2.05,$1.94,$1.34,$1.91,402.78%
1922,Red Leaf Lettuce,2016-11-13,$0.33,$1.32,$1.32,$1.34,$1.81,338.64%
1923,Iceberg Lettuce,2016-11-13,$0.37,$1.16,$1.44,$1.34,$1.49,266.89%
1924,Green Leaf Lettuce,2016-11-13,$0.37,$1.32,$1.27,$1.34,$1.66,277.70%
1925,Honeydews,2016-11-13,$1.58,$3.74,$3.65,$3.56,$3.99,136.39%
1926,Flame Grapes,2016-11-13,$0.89,$2.44,$1.99,$2.57,$2.49,166.57%
1927,Celery,2016-11-13,$0.70,$1.08,$1.31,$1.14,$1.37,75.00%
1928,Cauliflower,2016-11-13,$1.05,$2.55,$2.51,$2.73,$3.24,162.62%
1929,Carrots,2016-11-13,$0.29,$1.05,$0.82,$0.99,$1.09,240.52%
1930,Cantaloupe,2016-11-13,$1.25,$4.45,$2.77,$3.61,$3.00,176.60%
1931,Broccoli Crowns,2016-11-13,$0.47,$1.57,$1.76,$1.69,$1.45,244.15%
1932,Broccoli Bunches,2016-11-13,$0.39,$1.52,$1.43,$0.77,$1.63,242.95%
1933,Thompson Grapes,2016-11-06,$1.01,$2.24,$2.36,$2.12,$2.36,124.75%
1934,Strawberries,2016-11-06,$3.00,$4.49,$3.99,$4.62,$5.49,54.92%
1935,Romaine Lettuce,2016-11-06,$0.37,$1.86,$1.99,$1.34,$1.91,379.73%
1936,Red Leaf Lettuce,2016-11-06,$0.35,$1.32,$1.32,$1.34,$1.85,316.43%
1937,Oranges,2016-11-06,$0.28,$1.18,$1.33,$1.06,$1.79,378.57%
1938,Iceberg Lettuce,2016-11-06,$0.36,$1.16,$1.44,$1.34,$1.49,277.08%
1939,Honeydews,2016-11-06,$1.58,$3.49,$3.59,$3.66,$3.99,133.07%
1940,Green Leaf Lettuce,2016-11-06,$0.39,$1.32,$1.27,$1.34,$1.76,264.74%
1941,Flame Grapes,2016-11-06,$0.89,$2.49,$2.44,$2.11,$2.24,160.67%
1942,Celery,2016-11-06,$0.73,$1.41,$1.31,$1.89,$1.72,116.78%
1943,Cauliflower,2016-11-06,$0.76,$2.58,$2.26,$2.78,$3.24,257.24%
1944,Carrots,2016-11-06,$0.29,$0.92,$0.69,$0.99,$1.09,218.10%
1945,Cantaloupe,2016-11-06,$1.20,$2.64,$2.77,$3.77,$3.00,153.75%
1946,Broccoli Crowns,2016-11-06,$0.47,$1.83,$1.98,$1.57,$1.63,272.87%
1947,Broccoli Bunches,2016-11-06,$0.58,$1.58,$1.38,$1.08,$1.72,148.28%
1948,Thompson Grapes,2016-10-30,$1.00,$2.14,$1.79,$2.37,$2.49,119.75%
1949,Broccoli Bunches,2016-10-30,$0.48,$1.61,$1.21,$1.08,$1.72,192.71%
1950,Broccoli Crowns,2016-10-30,$0.62,$1.70,$1.76,$1.59,$1.63,169.35%
1951,Cantaloupe,2016-10-30,$1.08,$2.99,$2.72,$2.72,$2.88,161.81%
1952,Carrots,2016-10-30,$0.29,$0.92,$0.69,$1.99,$1.09,304.31%
1953,Cauliflower,2016-10-30,$0.77,$2.58,$2.26,$2.88,$3.24,255.84%
1954,Celery,2016-10-30,$0.68,$1.38,$1.31,$1.89,$1.74,132.35%
1955,Flame Grapes,2016-10-30,$0.87,$1.89,$1.99,$2.24,$2.24,140.23%
1956,Green Leaf Lettuce,2016-10-30,$0.42,$1.32,$1.48,$1.34,$1.66,245.24%
1957,Honeydews,2016-10-30,$1.58,$3.87,$3.65,$3.66,$3.99,140.03%
1958,Iceberg Lettuce,2016-10-30,$0.44,$1.16,$1.06,$1.34,$1.49,186.93%
