,productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
400,Strawberries,2018-10-21,$1.19,$2.65,$2.62,$3.12,$3.44,148.53%
401,Romaine Lettuce,2018-10-21,$0.59,$1.94,$1.99,$1.42,$1.83,204.24%
402,Red Leaf Lettuce,2018-10-21,$0.32,$1.59,$1.75,$1.42,$1.56,393.75%
403,Potatoes,2018-10-21,$1.70,$4.47,$3.74,$3.74,$3.47,126.76%
404,Oranges,2018-10-21,$0.51,$1.63,$1.41,$1.47,$1.90,214.22%
405,Iceberg Lettuce,2018-10-21,$0.76,$1.04,$1.31,$1.14,$1.56,66.12%
406,Honeydews,2018-10-21,$1.62,$3.44,$4.09,$3.85,$4.61,146.76%
407,Green Leaf Lettuce,2018-10-21,$0.45,$1.74,$1.71,$1.42,$1.50,253.89%
408,Flame Grapes,2018-10-21,$0.89,$2.23,$1.95,$1.99,$1.99,129.21%
409,Celery,2018-10-21,$0.49,$1.35,$1.79,$1.99,$1.62,244.39%
410,Cauliflower,2018-10-21,$0.74,$2.49,$3.38,$3.68,$2.24,298.31%
411,Carrots,2018-10-21,$0.30,$0.92,$0.85,$0.99,$1.05,217.50%
412,Cantaloupe,2018-10-21,$0.83,$2.46,$2.37,$2.50,$2.74,203.31%
413,Broccoli Crowns,2018-10-21,$0.88,$1.82,$2.13,$1.99,$2.21,131.53%
414,Tomatoes,2018-10-14,$0.48,$1.29,$1.24,$1.59,$1.74,205.21%
415,Thompson Grapes,2018-10-14,$0.87,$2.27,$2.14,$0.98,$1.66,102.59%
416,Strawberries,2018-10-14,$1.31,$2.70,$2.54,$3.04,$3.56,125.95%
417,Romaine Lettuce,2018-10-14,$0.49,$1.94,$2.16,$1.42,$1.74,270.41%
418,Red Leaf Lettuce,2018-10-14,$0.32,$1.59,$1.71,$1.42,$1.63,396.09%
419,Potatoes,2018-10-14,$1.70,$4.47,$4.07,$3.99,$5.97,172.06%
420,Oranges,2018-10-14,$0.53,$1.63,$1.54,$1.49,$1.90,209.43%
421,Iceberg Lettuce,2018-10-14,$0.40,$1.04,$1.39,$1.14,$1.66,226.88%
422,Honeydews,2018-10-14,$1.83,$3.27,$3.42,$3.66,$4.61,104.37%
423,Green Leaf Lettuce,2018-10-14,$0.43,$1.59,$1.63,$1.42,$1.52,258.14%
424,Flame Grapes,2018-10-14,$0.89,$1.63,$2.14,$0.98,$1.66,80.06%
425,Celery,2018-10-14,$0.36,$1.64,$1.91,$1.99,$1.62,397.22%
426,Cauliflower,2018-10-14,$1.04,$2.41,$2.39,$3.53,$3.24,178.13%
427,Carrots,2018-10-14,$0.30,$0.92,$0.92,$0.99,$1.05,223.33%
428,Cantaloupe,2018-10-14,$0.83,$2.42,$2.74,$2.38,$2.74,209.64%
429,Broccoli Crowns,2018-10-14,$0.81,$1.82,$2.13,$2.20,$2.16,156.48%
430,Tomatoes,2018-10-07,$0.60,$1.62,$1.31,$1.59,$1.66,157.50%
431,Thompson Grapes,2018-10-07,$0.87,$2.38,$1.51,$1.74,$2.66,138.22%
432,Strawberries,2018-10-07,$1.63,$2.49,$2.03,$3.12,$3.31,67.94%
433,Romaine Lettuce,2018-10-07,$0.57,$2.31,$1.99,$1.47,$1.74,229.39%
434,Red Leaf Lettuce,2018-10-07,$0.36,$1.74,$1.75,$1.42,$1.63,354.17%
435,Potatoes,2018-10-07,$1.70,$4.47,$3.74,$3.99,$5.97,167.21%
436,Oranges,2018-10-07,$0.53,$1.63,$1.41,$1.47,$2.01,207.55%
437,Iceberg Lettuce,2018-10-07,$0.42,$1.04,$1.31,$1.32,$1.56,211.31%
438,Honeydews,2018-10-07,$1.75,$2.92,$4.09,$3.77,$4.11,112.71%
439,Green Leaf Lettuce,2018-10-07,$0.58,$1.59,$1.71,$1.32,$1.44,161.21%
440,Flame Grapes,2018-10-07,$0.89,$2.38,$1.51,$2.24,$2.66,146.91%
441,Celery,2018-10-07,$0.32,$1.39,$1.79,$1.99,$1.57,426.56%
442,Cauliflower,2018-10-07,$1.11,$2.34,$3.38,$3.18,$3.36,176.13%
443,Carrots,2018-10-07,$0.30,$0.92,$0.85,$1.16,$1.05,231.67%
444,Cantaloupe,2018-10-07,$0.87,$2.69,$2.62,$2.37,$2.62,195.98%
445,Broccoli Crowns,2018-10-07,$0.76,$1.82,$1.95,$2.07,$1.59,144.41%
446,Tomatoes,2018-09-30,$0.60,$1.62,$1.24,$1.59,$1.64,153.75%
447,Thompson Grapes,2018-09-30,$0.87,$2.09,$1.68,$2.24,$2.49,144.25%
448,Strawberries,2018-09-30,$0.92,$3.09,$2.41,$3.24,$3.56,234.24%
449,Romaine Lettuce,2018-09-30,$0.52,$1.59,$2.09,$1.42,$1.74,228.85%
450,Red Leaf Lettuce,2018-09-30,$0.36,$1.59,$1.71,$1.42,$1.57,336.81%
451,Potatoes,2018-09-30,$1.75,$4.47,$4.64,$3.99,$5.97,172.43%
452,Oranges,2018-09-30,$0.53,$1.54,$1.49,$1.47,$2.01,207.08%
453,Iceberg Lettuce,2018-09-30,$0.58,$1.04,$1.39,$1.14,$1.56,121.12%
454,Honeydews,2018-09-30,$1.50,$3.61,$3.75,$3.66,$3.74,146.00%
455,Green Leaf Lettuce,2018-09-30,$0.67,$1.59,$1.63,$1.42,$1.47,127.99%
456,Flame Grapes,2018-09-30,$0.89,$2.16,$1.68,$1.74,$2.16,117.42%
457,Celery,2018-09-30,$0.32,$1.59,$1.89,$1.99,$1.69,459.38%
458,Cauliflower,2018-09-30,$0.75,$2.66,$3.26,$3.38,$2.61,297.00%
459,Carrots,2018-09-30,$0.30,$0.92,$0.92,$0.99,$1.05,223.33%
460,Cantaloupe,2018-09-30,$1.00,$2.13,$2.19,$2.24,$2.62,129.50%
461,Broccoli Crowns,2018-09-30,$0.83,$2.32,$2.13,$1.92,$2.35,162.65%
462,Strawberries,2018-09-26,$1.34,$2.69,$2.29,$2.57,$3.34,103.17%
463,Tomatoes,2018-09-23,$0.52,$1.62,$1.39,$1.34,$1.62,187.02%
464,Thompson Grapes,2018-09-23,$0.89,$1.88,$2.22,$0.98,$2.66,117.42%
465,Strawberries,2018-09-23,$1.06,$2.70,$2.57,$3.49,$3.44,187.74%
466,Romaine Lettuce,2018-09-23,$0.44,$1.59,$1.99,$1.42,$,184.09%
467,Red Leaf Lettuce,2018-09-23,$0.34,$4.47,$4.64,$3.99,$5.97,"1,302.21%"
468,Potatoes,2018-09-23,$1.75,$4.47,$4.64,$3.99,$5.97,172.43%
469,Oranges,2018-09-23,$0.53,$1.53,$1.45,$1.29,$2.01,196.23%
470,Iceberg Lettuce,2018-09-23,$0.75,$1.04,$1.39,$1.14,$1.56,71.00%
471,Honeydews,2018-09-23,$0.96,$3.44,$3.75,$3.66,$3.74,279.95%
472,Green Leaf Lettuce,2018-09-23,$0.56,$1.59,$1.71,$1.42,$1.47,176.34%
473,Flame Grapes,2018-09-23,$0.89,$2.00,$2.16,$1.48,$2.66,133.15%
474,Celery,2018-09-23,$0.32,$1.64,$1.96,$1.99,$1.69,468.75%
475,Cauliflower,2018-09-23,$0.60,$2.71,$3.26,$3.38,$2.61,398.33%
476,Carrots,2018-09-23,$0.30,$0.92,$0.92,$0.99,$1.05,223.33%
477,Cantaloupe,2018-09-23,$0.58,$1.99,$2.37,$2.12,$2.29,278.02%
478,Broccoli Crowns,2018-09-23,$0.82,$2.47,$2.13,$1.84,$1.52,142.68%
479,Broccoli Bunches,2018-09-23,$0.98,$1.65,$1.88,$1.49,$2.49,91.58%
480,Avocados,2018-09-23,$0.79,$0.97,$1.48,$1.17,$1.59,64.87%
481,Tomatoes,2018-09-16,$0.52,$1.62,$1.24,$1.59,$1.74,197.60%
482,Thompson Grapes,2018-09-16,$0.93,$1.88,$2.39,$2.24,$2.16,133.06%
483,Romaine Lettuce,2018-09-16,$0.39,$1.59,$2.09,$1.42,$1.74,338.46%
484,Potatoes,2018-09-16,$1.75,$4.47,$4.97,$3.99,$5.97,177.14%
485,Red Leaf Lettuce,2018-09-16,$0.30,$1.59,$1.71,$1.42,$1.57,424.17%
486,Oranges,2018-09-16,$0.53,$1.45,$1.35,$1.42,$1.93,190.09%
487,Iceberg Lettuce,2018-09-16,$0.50,$0.99,$1.14,$1.14,$1.56,141.50%
488,Honeydews,2018-09-16,$0.79,$3.61,$3.26,$3.66,$4.99,391.14%
489,Green Leaf Lettuce,2018-09-16,$0.37,$1.59,$1.63,$1.42,$1.47,312.84%
490,Flame Grapes,2018-09-16,$0.97,$2.01,$1.98,$2.24,$2.16,116.24%
491,Celery,2018-09-16,$0.35,$1.64,$1.89,$1.99,$1.69,415.00%
492,Cauliflower,2018-09-16,$0.63,$2.71,$2.85,$3.38,$2.49,353.57%
493,Carrots,2018-09-16,$0.30,$0.92,$0.92,$0.99,$1.29,243.33%
494,Cantaloupe,2018-09-16,$0.40,$2.29,$2.49,$2.24,$1.91,458.13%
495,Broccoli Crowns,2018-09-16,$0.77,$2.47,$1.72,$1.84,$2.16,165.91%
496,Avocados,2018-09-16,$0.82,$1.01,$1.55,$1.50,$1.59,72.26%
497,Broccoli Crowns,2018-09-12,$0.82,$2.32,$1.88,$1.74,$1.91,139.33%
498,Tomatoes,2018-09-09,$0.40,$1.62,$1.46,$1.59,$1.54,288.13%
499,Strawberries,2018-09-09,$1.47,$2.73,$3.02,$3.24,$3.34,109.69%
