,productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
2800,Broccoli Bunches,2015-09-06,$0.98,$2.36,$2.12,$1.49,$2.25,109.69%
2801,Oranges,2015-09-06,$0.45,$1.58,$1.51,$1.59,$2.05,273.89%
2802,Broccoli Crowns,2015-09-06,$1.08,$2.15,$1.97,$1.82,$2.12,86.57%
2803,Peaches,2015-09-06,$0.60,$1.68,$2.01,$1.44,$0.00,113.75%
2804,Cantaloupe,2015-09-06,$0.65,$1.99,$2.66,$1.78,$3.25,272.31%
2805,Plums,2015-09-06,$0.82,$0.00,$1.84,$1.87,$0.00,13.11%
2806,Carrots,2015-09-06,$0.30,$0.94,$0.90,$0.99,$1.22,237.50%
2807,Red Leaf Lettuce,2015-09-06,$0.32,$1.36,$1.49,$1.52,$2.02,399.22%
2808,Cauliflower,2015-09-06,$1.36,$3.24,$3.24,$3.28,$3.87,150.55%
2809,Tomatoes,2015-09-06,$0.44,$1.36,$1.13,$1.29,$2.09,233.52%
2810,Celery,2015-09-06,$0.57,$1.74,$1.64,$1.79,$2.12,219.74%
2811,Romaine Lettuce,2015-09-06,$0.53,$1.49,$1.76,$1.59,$2.02,223.58%
2812,Flame Grapes,2015-09-06,$0.89,$1.99,$1.59,$2.62,$2.15,134.55%
2813,Strawberries,2015-09-06,$1.31,$3.24,$2.82,$3.62,$4.24,165.65%
2814,Green Leaf Lettuce,2015-09-06,$0.38,$1.36,$1.30,$1.52,$1.86,297.37%
2815,Thompson Grapes,2015-09-06,$0.94,$2.04,$1.76,$2.21,$1.73,105.85%
2816,Honeydews,2015-09-06,$0.96,$3.36,$3.86,$3.16,$5.24,306.77%
2817,Iceberg Lettuce,2015-09-06,$0.89,$1.16,$1.36,$1.59,$1.82,66.57%
2818,Avocados,2015-09-06,$0.72,$1.12,$1.26,$1.38,$1.16,70.83%
2819,Nectarines,2015-09-06,$0.76,$0.00,$1.94,$1.74,$2.99,119.41%
2820,Avocados,2015-08-30,$0.71,$1.32,$1.26,$1.17,$1.48,84.15%
2821,Nectarines,2015-08-30,$0.76,$0.00,$1.89,$1.69,$2.99,116.12%
2822,Broccoli Bunches,2015-08-30,$0.92,$2.36,$2.12,$1.49,$2.25,123.37%
2823,Oranges,2015-08-30,$0.45,$1.54,$1.51,$1.37,$2.27,271.67%
2824,Broccoli Crowns,2015-08-30,$1.05,$2.09,$1.77,$1.99,$2.24,92.62%
2825,Peaches,2015-08-30,$0.60,$0.00,$1.69,$1.57,$1.69,106.25%
2826,Cantaloupe,2015-08-30,$0.65,$1.87,$2.61,$1.80,$2.49,237.31%
2827,Plums,2015-08-30,$0.82,$1.99,$1.91,$1.87,$2.99,167.07%
2828,Carrots,2015-08-30,$0.30,$0.94,$0.90,$0.99,$1.22,237.50%
