,productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
700,Cantaloupe,2018-07-01,$0.46,$2.29,$1.80,$2.74,$2.74,420.11%
701,Broccoli Crowns,2018-07-01,$0.61,$2.22,$2.13,$1.99,$2.09,245.49%
702,Broccoli Bunches,2018-07-01,$0.47,$1.52,$1.88,$1.49,$1.76,253.72%
703,Avocados,2018-07-01,$0.89,$0.89,$1.52,$1.25,$1.48,44.38%
704,Tomatoes,2018-06-24,$0.32,$1.49,$1.59,$1.39,$1.72,383.59%
705,Thompson Grapes,2018-06-24,$1.44,$2.56,$3.49,$2.99,$3.61,119.62%
706,Strawberries,2018-06-24,$1.06,$2.24,$1.99,$2.25,$2.74,117.45%
707,Romaine Lettuce,2018-06-24,$0.31,$1.62,$1.99,$1.42,$1.74,445.97%
708,Red Leaf Lettuce,2018-06-24,$0.29,$1.79,$1.75,$1.42,$1.79,481.90%
709,Potatoes,2018-06-24,$1.65,$4.72,$4.81,$3.99,$5.97,195.30%
710,Plums,2018-06-24,$1.14,$1.99,$1.69,$2.24,$2.99,95.39%
711,Oranges,2018-06-24,$0.53,$2.04,$1.45,$1.54,$2.36,248.58%
712,Iceberg Lettuce,2018-06-24,$0.52,$0.99,$1.31,$1.14,$1.64,144.23%
713,Honeydews,2018-06-24,$1.58,$3.61,$3.39,$2.98,$5.32,142.09%
714,Green Leaf Lettuce,2018-06-24,$0.29,$1.62,$1.71,$1.42,$1.64,450.86%
715,Flame Grapes,2018-06-24,$1.44,$2.71,$3.49,$2.99,$3.21,115.28%
716,Celery,2018-06-24,$0.46,$1.35,$1.76,$1.99,$1.62,265.22%
717,Cauliflower,2018-06-24,$0.65,$2.54,$3.38,$3.48,$2.99,376.54%
718,Carrots,2018-06-24,$0.29,$0.92,$0.85,$0.99,$1.05,228.45%
719,Cantaloupe,2018-06-24,$0.54,$2.19,$2.12,$1.99,$2.37,301.39%
720,Broccoli Crowns,2018-06-24,$0.49,$2.22,$1.95,$1.99,$1.96,314.29%
721,Broccoli Bunches,2018-06-24,$0.41,$1.65,$1.77,$1.49,$1.76,306.71%
722,Avocados,2018-06-24,$0.89,$0.94,$1.39,$1.25,$1.54,43.82%
723,Thompson Grapes,2018-06-17,$1.89,$2.33,$3.24,$2.49,$3.46,52.38%
724,Strawberries,2018-06-17,$0.81,$2.51,$2.19,$2.49,$2.74,206.48%
725,Romaine Lettuce,2018-06-17,$0.30,$1.62,$2.09,$1.42,$1.93,488.33%
726,Red Leaf Lettuce,2018-06-17,$0.29,$1.62,$1.71,$1.42,$1.66,452.59%
727,Potatoes,2018-06-17,$1.65,$4.94,$4.97,$3.99,$5.97,201.06%
728,Oranges,2018-06-17,$0.53,$1.74,$1.49,$1.54,$2.36,236.32%
729,Iceberg Lettuce,2018-06-17,$0.71,$0.99,$1.06,$1.14,$1.65,70.42%
730,Honeydews,2018-06-17,$1.83,$3.92,$3.39,$3.29,$4.61,107.79%
731,Green Leaf Lettuce,2018-06-17,$0.30,$1.62,$1.63,$1.42,$1.51,415.00%
732,Flame Grapes,2018-06-17,$1.66,$2.45,$2.82,$2.49,$2.74,58.13%
733,Celery,2018-06-17,$0.31,$1.64,$1.89,$1.99,$1.69,481.45%
734,Cauliflower,2018-06-17,$0.65,$2.75,$3.38,$3.48,$2.99,384.62%
735,Carrots,2018-06-17,$0.29,$0.99,$0.92,$0.99,$1.15,249.14%
736,Cantaloupe,2018-06-17,$0.54,$1.94,$1.82,$1.99,$2.99,304.63%
737,Broccoli Crowns,2018-06-17,$0.45,$1.59,$2.13,$1.99,$1.99,327.78%
738,Broccoli Bunches,2018-06-17,$0.46,$1.52,$1.88,$1.49,$1.63,254.35%
739,Avocados,2018-06-17,$0.86,$0.97,$1.39,$1.25,$1.43,46.51%
740,Thompson Grapes,2018-06-10,$1.89,$2.43,$2.84,$1.66,$3.46,37.43%
741,Strawberries,2018-06-10,$0.84,$2.47,$1.99,$2.62,$2.74,192.26%
742,Romaine Lettuce,2018-06-10,$0.28,$1.62,$2.09,$1.42,$2.08,543.75%
743,Red Leaf Lettuce,2018-06-10,$0.29,$1.62,$1.75,$1.42,$1.79,467.24%
744,Potatoes,2018-06-10,$1.70,$4.47,$4.31,$3.99,$5.97,175.59%
745,Peaches,2018-06-10,$0.72,$0.79,$1.74,$1.99,$3.99,195.49%
746,Oranges,2018-06-10,$0.53,$1.62,$1.49,$1.49,$2.36,228.30%
747,Iceberg Lettuce,2018-06-10,$0.68,$0.99,$0.94,$1.14,$1.52,68.75%
748,Honeydews,2018-06-10,$1.83,$3.94,$3.39,$3.41,$4.61,109.70%
749,Green Leaf Lettuce,2018-06-10,$0.30,$1.62,$1.71,$1.42,$1.64,432.50%
750,Flame Grapes,2018-06-10,$1.66,$2.23,$2.91,$1.66,$2.86,45.48%
751,Celery,2018-06-10,$0.31,$1.35,$1.89,$1.99,$1.69,458.06%
752,Cauliflower,2018-06-10,$0.61,$2.75,$2.24,$3.53,$3.11,376.64%
753,Carrots,2018-06-10,$0.29,$0.92,$0.89,$0.99,$1.39,261.21%
754,Cantaloupe,2018-06-10,$0.66,$1.79,$2.20,$2.50,$2.99,259.09%
755,Broccoli Crowns,2018-06-10,$0.55,$1.65,$2.10,$1.99,$2.11,256.82%
756,Broccoli Bunches,2018-06-10,$0.53,$1.65,$1.64,$1.49,$1.63,202.36%
757,Avocados,2018-06-10,$0.86,$0.97,$1.59,$1.24,$1.62,57.56%
758,Strawberries,2018-06-07,$0.94,$2.37,$2.07,$2.99,$2.94,175.80%
759,Thompson Grapes,2018-06-03,$1.83,$2.48,$2.44,$2.74,$2.99,45.49%
760,Strawberries,2018-06-03,$0.81,$2.54,$1.88,$2.75,$2.61,201.85%
761,Romaine Lettuce,2018-06-03,$0.30,$1.62,$2.09,$1.42,$1.99,493.33%
762,Red Leaf Lettuce,2018-06-03,$0.31,$1.62,$1.78,$1.42,$1.66,422.58%
763,Potatoes,2018-06-03,$1.65,$4.47,$4.31,$3.99,$5.72,180.15%
764,Oranges,2018-06-03,$0.77,$1.62,$1.39,$1.42,$2.17,114.29%
765,Iceberg Lettuce,2018-06-03,$0.32,$0.99,$1.36,$1.24,$1.39,289.06%
766,Honeydews,2018-06-03,$1.66,$3.94,$2.69,$3.35,$4.36,115.96%
767,Green Leaf Lettuce,2018-06-03,$0.31,$1.62,$1.63,$1.42,$1.51,398.39%
768,Flame Grapes,2018-06-03,$1.50,$2.28,$2.69,$1.87,$2.24,51.33%
769,Celery,2018-06-03,$0.33,$1.64,$1.86,$1.94,$1.62,434.85%
770,Cauliflower,2018-06-03,$0.67,$2.75,$3.23,$3.18,$3.15,359.33%
771,Carrots,2018-06-03,$0.28,$0.92,$0.85,$0.99,$1.15,249.11%
772,Cantaloupe,2018-06-03,$0.75,$2.23,$2.19,$2.24,$2.74,213.33%
773,Broccoli Crowns,2018-06-03,$0.71,$1.65,$1.95,$1.99,$2.11,171.13%
774,Broccoli Bunches,2018-06-03,$0.70,$1.63,$1.86,$1.49,$1.63,136.07%
775,Avocados,2018-06-03,$0.86,$0.95,$1.35,$1.25,$1.62,50.29%
776,Thompson Grapes,2018-05-27,$1.78,$3.02,$2.89,$3.24,$3.44,76.83%
777,Romaine Lettuce,2018-05-27,$0.31,$1.62,$2.07,$1.32,$1.99,464.52%
778,Red Leaf Lettuce,2018-05-27,$0.34,$1.62,$1.68,$1.32,$1.81,372.79%
779,Potatoes,2018-05-27,$1.65,$4.37,$4.43,$3.99,$5.81,181.82%
780,Peaches,2018-05-27,$0.96,$2.99,$1.99,$2.32,$3.14,171.88%
781,Oranges,2018-05-27,$0.72,$1.43,$1.32,$1.34,$1.75,102.78%
782,Nectarines,2018-05-27,$1.04,$2.99,$1.99,$2.32,$1.99,123.32%
783,Iceberg Lettuce,2018-05-27,$0.33,$0.99,$1.36,$1.29,$1.21,267.42%
784,Honeydews,2018-05-27,$1.66,$3.61,$3.16,$3.16,$4.11,111.45%
785,Green Leaf Lettuce,2018-05-27,$0.35,$1.62,$1.61,$1.32,$1.65,342.86%
786,Flame Grapes,2018-05-27,$1.33,$2.57,$2.46,$1.99,$2.44,77.82%
787,Celery,2018-05-27,$0.32,$1.35,$1.60,$1.94,$1.93,432.81%
788,Cauliflower,2018-05-27,$0.94,$2.82,$2.98,$3.58,$3.36,238.83%
789,Carrots,2018-05-27,$0.29,$0.92,$0.92,$0.99,$1.02,231.90%
790,Cantaloupe,2018-05-27,$0.95,$2.62,$2.49,$1.56,$2.62,144.47%
791,Broccoli Crowns,2018-05-27,$0.82,$1.65,$1.98,$1.99,$1.86,128.05%
792,Broccoli Bunches,2018-05-27,$0.79,$1.81,$1.86,$1.49,$1.63,114.87%
793,Avocados,2018-05-27,$0.86,$0.95,$1.47,$0.99,$1.59,45.35%
794,Strawberries,2018-05-20,$0.66,$2.45,$1.81,$2.12,$2.96,253.79%
795,Romaine Lettuce,2018-05-20,$0.30,$1.62,$1.99,$1.32,$1.99,476.67%
796,Red Leaf Lettuce,2018-05-20,$0.38,$1.62,$1.83,$1.42,$1.89,344.74%
797,Potatoes,2018-05-20,$1.65,$4.37,$4.31,$3.99,$5.72,178.64%
798,Oranges,2018-05-20,$0.70,$1.43,$1.35,$1.34,$2.39,132.50%
799,Iceberg Lettuce,2018-05-20,$0.34,$0.99,$1.24,$1.24,$1.66,277.21%
