,productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
2000,Celery,2016-10-09,$0.29,$1.74,$1.49,$1.67,$1.74,472.41%
2001,Cauliflower,2016-10-09,$0.90,$3.05,$2.61,$2.78,$3.24,224.44%
2002,Carrots,2016-10-09,$0.29,$0.95,$0.82,$0.99,$1.14,236.21%
2003,Cantaloupe,2016-10-09,$0.76,$2.29,$2.81,$2.69,$2.63,242.76%
2004,Broccoli Crowns,2016-10-09,$0.46,$2.16,$1.98,$1.42,$1.63,290.76%
2005,Broccoli Bunches,2016-10-09,$0.62,$1.50,$1.45,$1.08,$1.72,131.85%
2006,Tomatoes,2016-10-02,$0.58,$1.42,$1.59,$1.47,$1.72,167.24%
2007,Strawberries,2016-10-02,$1.19,$2.74,$2.49,$2.18,$2.99,118.49%
2008,Romaine Lettuce,2016-10-02,$0.34,$1.32,$1.97,$1.34,$1.69,364.71%
2009,Red Leaf Lettuce,2016-10-02,$0.32,$1.32,$1.80,$1.34,$1.66,378.13%
2010,Iceberg Lettuce,2016-10-02,$0.32,$1.16,$1.11,$1.34,$1.66,311.72%
2011,Honeydews,2016-10-02,$1.33,$3.37,$3.24,$3.41,$1.60,118.42%
2012,Green Leaf Lettuce,2016-10-02,$0.35,$1.32,$1.73,$1.34,$1.60,327.86%
2013,Flame Grapes,2016-10-02,$0.96,$1.94,$1.61,$2.07,$2.36,107.81%
2014,Celery,2016-10-02,$0.28,$1.53,$1.49,$1.69,$1.67,469.64%
2015,Cauliflower,2016-10-02,$0.76,$2.58,$2.48,$2.78,$3.24,264.47%
2016,Carrots,2016-10-02,$0.29,$0.95,$0.82,$0.99,$1.14,236.21%
2017,Cantaloupe,2016-10-02,$0.72,$2.14,$2.48,$2.09,$2.63,224.31%
2018,Broccoli Crowns,2016-10-02,$0.43,$1.62,$1.69,$1.74,$1.40,275.00%
2019,Tomatoes,2016-09-25,$0.50,$1.42,$1.64,$1.42,$1.71,209.50%
2020,Strawberries,2016-09-25,$1.00,$2.37,$1.79,$2.04,$3.11,132.75%
2021,Romaine Lettuce,2016-09-25,$0.33,$1.74,$1.66,$1.34,$1.69,387.12%
2022,Red Leaf Lettuce,2016-09-25,$0.31,$1.32,$1.50,$1.34,$1.75,376.61%
2023,Iceberg Lettuce,2016-09-25,$0.33,$1.14,$1.39,$1.34,$1.24,287.12%
2024,Honeydews,2016-09-25,$0.83,$3.37,$3.24,$3.16,$3.49,299.40%
2025,Green Leaf Lettuce,2016-09-25,$0.38,$1.32,$1.43,$1.34,$1.68,279.61%
2026,Flame Grapes,2016-09-25,$0.96,$2.31,$2.11,$2.19,$1.99,123.96%
2027,Celery,2016-09-25,$0.29,$1.50,$1.49,$1.69,$1.72,451.72%
2028,Cauliflower,2016-09-25,$0.81,$2.58,$2.48,$3.18,$2.86,242.59%
2029,Carrots,2016-09-25,$0.29,$0.95,$0.82,$0.99,$1.14,236.21%
2030,Cantaloupe,2016-09-25,$0.52,$2.14,$2.31,$2.51,$2.42,350.96%
2031,Broccoli Crowns,2016-09-25,$0.47,$1.99,$1.83,$1.39,$1.58,261.17%
2032,Tomatoes,2016-09-18,$0.48,$1.42,$1.59,$1.54,$1.71,226.04%
2033,Strawberries,2016-09-18,$0.88,$2.37,$2.41,$2.62,$3.49,209.38%
2034,Romaine Lettuce,2016-09-18,$0.32,$1.74,$1.87,$1.34,$2.01,443.75%
2035,Red Leaf Lettuce,2016-09-18,$0.31,$1.32,$1.27,$1.34,$1.67,351.61%
2036,Iceberg Lettuce,2016-09-18,$0.32,$1.19,$1.24,$1.34,$1.69,326.56%
2037,Honeydews,2016-09-18,$0.67,$3.99,$2.87,$3.41,$3.49,413.43%
2038,Green Leaf Lettuce,2016-09-18,$0.36,$1.32,$1.22,$1.34,$1.60,280.56%
2039,Flame Grapes,2016-09-18,$0.97,$2.06,$1.86,$2.24,$1.99,110.05%
2040,Celery,2016-09-18,$0.28,$1.50,$1.41,$1.94,$1.62,477.68%
2041,Cauliflower,2016-09-18,$0.91,$2.46,$2.16,$2.78,$3.24,192.31%
2042,Carrots,2016-09-18,$0.29,$0.95,$0.90,$0.99,$1.52,275.86%
2043,Cantaloupe,2016-09-18,$0.40,$2.25,$2.17,$1.49,$1.91,388.75%
2044,Broccoli Crowns,2016-09-18,$0.64,$1.81,$1.51,$1.74,$1.28,147.66%
2045,Tomatoes,2016-09-11,$0.56,$1.42,$1.49,$1.47,$1.96,183.04%
2046,Strawberries,2016-09-11,$0.88,$2.37,$1.98,$2.99,$3.32,202.84%
2047,Red Leaf Lettuce,2016-09-11,$0.32,$1.32,$1.50,$1.34,$1.52,343.75%
2048,Romaine Lettuce,2016-09-11,$0.33,$1.49,$1.87,$1.34,$1.60,377.27%
2049,Iceberg Lettuce,2016-09-11,$0.35,$1.16,$0.99,$1.34,$1.31,242.86%
2050,Honeydews,2016-09-11,$0.71,$3.12,$3.24,$3.10,$3.74,364.79%
2051,Green Leaf Lettuce,2016-09-11,$0.39,$1.32,$1.43,$1.34,$1.49,257.69%
2052,Flame Grapes,2016-09-11,$0.97,$2.14,$1.94,$1.82,$2.11,106.44%
2053,Celery,2016-09-11,$0.30,$1.55,$1.41,$1.92,$1.72,450.00%
2054,Cauliflower,2016-09-11,$0.77,$2.58,$2.16,$2.73,$2.74,231.49%
2055,Carrots,2016-09-11,$0.29,$0.95,$0.90,$0.99,$1.07,237.07%
2056,Cantaloupe,2016-09-11,$0.44,$1.94,$2.12,$2.49,$2.29,402.27%
2057,Broccoli Crowns,2016-09-11,$0.68,$1.99,$1.49,$1.57,$1.49,140.44%
2058,Tomatoes,2016-09-04,$0.70,$1.32,$1.49,$1.47,$1.91,121.07%
2059,Thompson Grapes,2016-09-04,$0.94,$2.14,$1.81,$1.84,$2.49,120.21%
2060,Strawberries,2016-09-04,$0.88,$2.50,$2.49,$2.87,$3.61,225.85%
2061,Romaine Lettuce,2016-09-04,$0.36,$1.49,$1.87,$1.34,$1.85,354.86%
2062,Red Leaf Lettuce,2016-09-04,$0.31,$1.32,$1.50,$1.34,$1.58,362.90%
2063,Iceberg Lettuce,2016-09-04,$0.36,$1.16,$0.99,$1.34,$1.61,254.17%
2064,Honeydews,2016-09-04,$0.79,$3.89,$3.24,$3.56,$3.24,340.82%
2065,Green Leaf Lettuce,2016-09-04,$0.35,$1.32,$1.43,$1.34,$1.49,298.57%
2066,Flame Grapes,2016-09-04,$0.97,$2.44,$2.02,$1.72,$2.36,120.10%
2067,Celery,2016-09-04,$0.29,$1.24,$1.29,$1.89,$1.66,424.14%
2068,Cauliflower,2016-09-04,$0.62,$2.58,$2.04,$2.73,$2.99,316.94%
2069,Carrots,2016-09-04,$0.29,$1.21,$0.90,$0.99,$1.07,259.48%
2070,Cantaloupe,2016-09-04,$0.52,$2.06,$2.12,$2.49,$1.65,300.00%
2071,Broccoli Crowns,2016-09-04,$0.44,$1.44,$1.39,$1.52,$1.53,234.09%
2072,Broccoli Bunches,2016-09-04,$0.53,$1.66,$1.27,$1.08,$1.82,175.00%
2073,Tomatoes,2016-08-28,$0.56,$1.42,$1.49,$1.47,$1.79,175.45%
2074,Thompson Grapes,2016-08-28,$0.97,$2.24,$1.64,$1.37,$2.11,89.69%
2075,Strawberries,2016-08-28,$1.00,$2.62,$2.24,$2.87,$3.61,183.50%
2076,Romaine Lettuce,2016-08-28,$0.35,$1.39,$1.87,$1.34,$1.69,349.29%
2077,Red Leaf Lettuce,2016-08-28,$0.31,$1.22,$1.50,$1.34,$1.70,364.52%
2078,Plums,2016-08-28,$1.00,$1.84,$1.64,$1.99,$1.99,86.50%
2079,Nectarines,2016-08-28,$0.62,$2.40,$2.49,$1.87,$1.99,252.82%
2080,Iceberg Lettuce,2016-08-28,$0.38,$1.16,$1.36,$1.34,$1.61,259.87%
2081,Honeydews,2016-08-28,$0.72,$3.12,$2.74,$2.91,$3.24,317.01%
2082,Green Leaf Lettuce,2016-08-28,$0.34,$1.22,$1.43,$1.34,$1.56,308.09%
2083,Flame Grapes,2016-08-28,$1.02,$2.24,$1.51,$1.12,$2.11,71.08%
2084,Celery,2016-08-28,$0.29,$1.43,$1.54,$1.87,$1.67,461.21%
2085,Cauliflower,2016-08-28,$0.59,$2.45,$2.78,$2.73,$3.24,374.58%
2086,Carrots,2016-08-28,$0.29,$0.95,$0.90,$0.99,$1.18,246.55%
2087,Cantaloupe,2016-08-28,$0.44,$1.93,$1.49,$2.21,$2.74,375.57%
2088,Broccoli Crowns,2016-08-28,$0.36,$1.79,$1.87,$1.49,$1.53,363.89%
2089,Broccoli Bunches,2016-08-28,$0.47,$1.33,$1.37,$0.83,$1.99,193.62%
