,productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
4600,Avocados,2013-05-19,$0.77,$1.22,$1.01,$1.12,$1.12,45.13%
4601,Oranges,2013-05-19,$0.48,$1.31,$0.99,$1.14,$1.66,165.63%
4602,Broccoli Bunches,2013-05-19,$0.78,$2.38,$2.00,$1.16,$2.66,162.82%
4603,Potatoes,2013-05-19,$0.70,$4.08,$3.66,$3.37,$0.00,296.79%
4604,Broccoli Crowns,2013-05-19,$0.56,$1.66,$1.69,$1.54,$2.04,209.38%
4605,Red Leaf Lettuce,2013-05-19,$0.27,$1.72,$1.68,$1.32,$1.63,487.96%
4606,Cantaloupe,2013-05-19,$0.62,$2.54,$2.79,$2.52,$3.11,341.94%
4607,Romaine Lettuce,2013-05-19,$0.27,$1.86,$2.02,$1.32,$1.70,538.89%
4608,Carrots,2013-05-19,$0.30,$0.91,$0.92,$0.84,$1.44,242.50%
4609,Strawberries,2013-05-19,$1.13,$2.12,$2.25,$2.50,$2.99,118.14%
4610,Cauliflower,2013-05-19,$0.97,$2.70,$3.19,$2.63,$3.32,205.15%
4611,Celery,2013-05-19,$1.19,$1.94,$1.89,$1.74,$2.49,69.33%
4612,Flame Grapes,2013-05-19,$1.25,$2.74,$2.74,$3.12,$2.99,131.80%
4613,Green Leaf Lettuce,2013-05-19,$0.27,$3.49,$1.55,$1.32,$1.51,628.70%
4614,Broccoli Bunches,2013-05-12,$0.68,$2.48,$2.20,$1.16,$2.45,204.78%
4615,Romaine Lettuce,2013-05-12,$0.27,$1.99,$1.82,$1.34,$1.70,534.26%
4616,Broccoli Crowns,2013-05-12,$0.53,$1.42,$1.42,$1.57,$1.74,190.09%
4617,Strawberries,2013-05-12,$1.19,$2.24,$2.38,$2.25,$2.74,101.89%
4618,Cantaloupe,2013-05-12,$0.89,$2.72,$2.87,$2.59,$2.99,213.76%
4619,Carrots,2013-05-12,$0.30,$0.91,$0.92,$0.84,$1.27,228.33%
4620,Cauliflower,2013-05-12,$0.80,$2.83,$3.32,$2.98,$3.24,286.56%
4621,Celery,2013-05-12,$1.28,$2.01,$1.89,$1.74,$2.49,58.79%
4622,Green Leaf Lettuce,2013-05-12,$0.27,$1.84,$1.49,$1.32,$1.51,470.37%
4623,Iceberg Lettuce,2013-05-12,$0.28,$1.55,$1.40,$1.24,$1.92,445.54%
4624,Oranges,2013-05-12,$0.44,$1.31,$1.37,$1.07,$1.66,207.39%
4625,Asparagus,2013-05-12,$2.06,$3.99,$3.32,$3.99,$2.99,73.42%
4626,Potatoes,2013-05-12,$0.63,$5.01,$3.49,$3.37,$0.00,371.03%
4627,Avocados,2013-05-12,$0.73,$1.22,$1.12,$1.19,$1.50,72.26%
4628,Red Leaf Lettuce,2013-05-12,$0.26,$1.84,$1.68,$1.32,$1.63,522.12%
4629,Celery,2013-05-05,$1.13,$1.46,$1.84,$1.74,$2.37,63.94%
4630,Green Leaf Lettuce,2013-05-05,$0.28,$1.73,$1.42,$1.39,$1.61,449.11%
4631,Iceberg Lettuce,2013-05-05,$0.27,$1.60,$1.42,$1.24,$1.99,478.70%
4632,Oranges,2013-05-05,$0.42,$1.31,$1.19,$1.19,$1.66,218.45%
4633,Potatoes,2013-05-05,$0.63,$5.01,$3.25,$2.99,$4.49,524.60%
4634,Asparagus,2013-05-05,$2.20,$3.49,$3.19,$3.74,$3.49,58.07%
4635,Red Leaf Lettuce,2013-05-05,$0.26,$1.75,$1.50,$1.34,$1.75,509.62%
4636,Avocados,2013-05-05,$0.69,$1.07,$1.31,$1.03,$1.24,68.48%
4637,Romaine Lettuce,2013-05-05,$0.28,$1.91,$2.10,$1.37,$1.80,541.07%
4638,Broccoli Bunches,2013-05-05,$0.52,$2.53,$1.75,$1.09,$2.29,268.27%
4639,Strawberries,2013-05-05,$1.02,$2.12,$2.29,$1.83,$2.15,105.64%
4640,Broccoli Crowns,2013-05-05,$0.39,$1.66,$1.54,$1.47,$1.87,319.23%
4641,Carrots,2013-05-05,$0.30,$0.91,$0.92,$0.84,$1.52,249.17%
4642,Cauliflower,2013-05-05,$0.66,$2.76,$2.66,$2.73,$3.49,340.91%
4643,Oranges,2013-04-28,$0.39,$1.17,$1.32,$1.07,$1.82,244.87%
4644,Potatoes,2013-04-28,$0.65,$4.54,$3.38,$3.49,$0.00,338.85%
4645,Asparagus,2013-04-28,$2.13,$3.47,$3.12,$3.24,$3.49,56.34%
4646,Red Leaf Lettuce,2013-04-28,$0.30,$1.83,$1.84,$1.39,$2.08,495.00%
4647,Avocados,2013-04-28,$0.68,$1.09,$0.73,$0.72,$1.12,34.56%
4648,Romaine Lettuce,2013-04-28,$0.28,$2.11,$2.11,$1.42,$2.33,611.61%
4649,Broccoli Bunches,2013-04-28,$0.48,$2.73,$2.34,$1.09,$2.07,328.65%
4650,Strawberries,2013-04-28,$0.77,$2.12,$2.29,$2.62,$2.74,217.21%
4651,Broccoli Crowns,2013-04-28,$0.38,$1.74,$1.69,$1.37,$1.99,346.71%
4652,Carrots,2013-04-28,$0.53,$0.91,$0.92,$0.84,$1.32,88.21%
4653,Cauliflower,2013-04-28,$0.74,$2.96,$3.32,$2.58,$3.99,334.12%
4654,Celery,2013-04-28,$1.15,$1.51,$1.79,$1.74,$1.94,51.74%
4655,Green Leaf Lettuce,2013-04-28,$0.31,$1.80,$1.63,$1.39,$1.92,443.55%
4656,Iceberg Lettuce,2013-04-28,$0.27,$1.63,$1.35,$1.19,$2.04,475.00%
4657,Romaine Lettuce,2013-04-21,$0.29,$2.13,$1.96,$1.49,$2.64,608.62%
4658,Strawberries,2013-04-21,$0.83,$2.00,$1.99,$1.75,$2.74,155.42%
4659,Cauliflower,2013-04-21,$1.67,$2.70,$3.19,$2.83,$4.12,92.22%
4660,Celery,2013-04-21,$0.96,$1.53,$1.59,$1.74,$2.19,83.59%
4661,Green Leaf Lettuce,2013-04-21,$0.29,$1.80,$1.53,$1.47,$1.92,479.31%
4662,Iceberg Lettuce,2013-04-21,$0.38,$1.65,$1.38,$1.39,$1.99,321.71%
4663,Oranges,2013-04-21,$0.38,$0.97,$1.35,$1.07,$1.93,250.00%
4664,Potatoes,2013-04-21,$0.65,$4.54,$3.05,$3.37,$3.99,475.00%
4665,Red Leaf Lettuce,2013-04-21,$0.29,$1.88,$1.73,$1.47,$2.08,517.24%
4666,Broccoli Bunches,2013-04-21,$0.52,$2.53,$2.34,$1.22,$2.06,291.83%
4667,Broccoli Crowns,2013-04-21,$0.41,$1.76,$1.56,$1.54,$1.79,305.49%
4668,Carrots,2013-04-21,$0.30,$0.89,$0.92,$0.84,$1.44,240.83%
4669,Asparagus,2013-04-21,$1.95,$3.11,$3.62,$3.49,$3.37,74.23%
