,productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
2500,Carrots,2016-02-14,$0.31,$1.09,$0.96,$0.90,$0.99,217.74%
2501,Cauliflower,2016-02-14,$1.27,$3.31,$3.61,$3.81,$3.23,174.80%
2502,Celery,2016-02-14,$0.80,$1.64,$1.65,$2.04,$1.99,128.75%
2503,Oranges,2016-02-07,$0.36,$1.71,$1.18,$1.09,$1.70,294.44%
2504,Potatoes,2016-02-07,$1.05,$5.11,$4.09,$3.99,$5.47,344.29%
2505,Red Leaf Lettuce,2016-02-07,$0.35,$1.29,$1.50,$1.62,$1.94,353.57%
2506,Avocados,2016-02-07,$0.57,$1.18,$0.89,$1.16,$1.47,106.14%
2507,Romaine Lettuce,2016-02-07,$0.40,$1.61,$1.97,$1.62,$1.99,349.38%
2508,Broccoli Bunches,2016-02-07,$0.49,$2.82,$2.15,$0.99,$1.69,290.31%
2509,Strawberries,2016-02-07,$2.75,$3.49,$3.24,$4.49,$5.11,48.45%
2510,Broccoli Crowns,2016-02-07,$0.40,$1.87,$1.79,$1.87,$1.79,357.50%
2511,Carrots,2016-02-07,$0.33,$0.96,$0.90,$0.99,$1.07,196.97%
2512,Cauliflower,2016-02-07,$1.37,$3.11,$2.93,$3.13,$3.56,132.30%
2513,Celery,2016-02-07,$0.77,$1.74,$1.99,$1.99,$2.49,166.56%
2514,Green Leaf Lettuce,2016-02-07,$0.35,$1.32,$1.38,$1.62,$1.82,338.57%
2515,Iceberg Lettuce,2016-02-07,$0.45,$1.24,$1.86,$1.62,$1.74,258.89%
2516,Broccoli Crowns,2016-01-31,$0.36,$1.85,$1.92,$1.87,$1.82,418.06%
2517,Red Leaf Lettuce,2016-01-31,$0.32,$1.32,$1.58,$1.67,$2.00,413.28%
2518,Romaine Lettuce,2016-01-31,$0.40,$1.56,$1.91,$1.67,$2.08,351.25%
2519,Strawberries,2016-01-31,$3.00,$3.93,$3.62,$4.74,$4.86,42.92%
2520,Broccoli Crowns,2016-01-31,$0.36,$1.85,$1.92,$1.87,$1.82,418.06%
2521,Carrots,2016-01-31,$0.33,$0.96,$0.91,$0.00,$1.07,122.73%
