,productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
1300,Broccoli Crowns,2017-09-10,$1.28,$1.57,$2.09,$1.89,$1.85,44.53%
1301,Avocados,2017-09-10,$1.87,$1.52,$2.00,$1.99,$2.07,1.34%
1302,Tomatoes,2017-09-03,$0.46,$1.59,$1.26,$1.32,$2.11,241.30%
1303,Thompson Grapes,2017-09-03,$0.89,$2.01,$1.84,$1.74,$2.46,126.12%
1304,Strawberries,2017-09-03,$1.28,$2.38,$2.29,$2.12,$3.66,104.10%
1305,Romaine Lettuce,2017-09-03,$0.49,$1.86,$1.98,$1.47,$1.84,264.80%
1306,Red Leaf Lettuce,2017-09-03,$0.41,$1.52,$1.71,$1.47,$1.67,288.41%
1307,Plums,2017-09-03,$0.98,$1.52,$1.91,$2.24,$2.36,104.85%
1308,Peaches,2017-09-03,$0.78,$1.45,$1.91,$2.24,$2.36,155.13%
1309,Oranges,2017-09-03,$0.57,$1.66,$1.19,$1.57,$1.76,171.05%
1310,Nectarines,2017-09-03,$0.88,$2.08,$1.99,$2.37,$2.36,150.00%
1311,Iceberg Lettuce,2017-09-03,$0.36,$0.99,$1.41,$1.39,$1.52,268.75%
1312,Honeydews,2017-09-03,$0.83,$3.17,$2.99,$2.98,$3.66,285.54%
1313,Green Leaf Lettuce,2017-09-03,$0.41,$1.52,$1.67,$1.47,$1.52,276.83%
1314,Flame Grapes,2017-09-03,$1.08,$2.20,$1.81,$2.24,$2.46,101.62%
1315,Celery,2017-09-03,$0.32,$1.70,$1.78,$1.94,$1.92,473.44%
1316,Cauliflower,2017-09-03,$0.86,$2.62,$2.97,$2.98,$2.74,228.78%
1317,Carrots,2017-09-03,$0.27,$0.94,$0.82,$0.99,$1.32,276.85%
1318,Cantaloupe,2017-09-03,$0.52,$2.16,$2.12,$2.60,$2.37,344.71%
1319,Broccoli Crowns,2017-09-03,$0.69,$1.64,$1.93,$1.69,$1.60,148.55%
1320,Broccoli Bunches,2017-09-03,$0.53,$1.78,$1.30,$1.39,$1.29,171.70%
1321,Tomatoes,2017-08-27,$0.52,$1.59,$1.36,$1.62,$2.04,217.79%
1322,Thompson Grapes,2017-08-27,$0.92,$1.93,$2.14,$1.57,$2.31,116.03%
1323,Strawberries,2017-08-27,$1.22,$2.57,$2.36,$2.37,$3.24,115.98%
1324,Romaine Lettuce,2017-08-27,$0.42,$1.85,$2.01,$1.39,$1.84,322.02%
1325,Red Leaf Lettuce,2017-08-27,$0.29,$1.42,$1.28,$1.39,$1.72,400.86%
1326,Plums,2017-08-27,$1.00,$1.40,$1.96,$1.99,$1.96,82.75%
1327,Peaches,2017-08-27,$0.78,$1.50,$1.29,$1.74,$1.91,106.41%
1328,Oranges,2017-08-27,$0.57,$1.56,$1.17,$1.37,$1.76,157.02%
1329,Nectarines,2017-08-27,$0.88,$1.63,$1.86,$1.61,$1.96,100.57%
1330,Iceberg Lettuce,2017-08-27,$0.38,$1.24,$1.31,$1.39,$1.64,267.11%
1331,Honeydews,2017-08-27,$0.88,$2.92,$2.99,$3.60,$4.99,311.93%
1332,Green Leaf Lettuce,2017-08-27,$0.31,$1.42,$1.23,$1.39,$1.72,364.52%
