,productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
3900,Broccoli Bunches,2014-05-04,$0.77,$2.30,$1.97,$1.59,$2.33,165.91%
3901,Red Leaf Lettuce,2014-05-04,$0.33,$1.48,$1.63,$1.22,$1.90,371.97%
3902,Broccoli Crowns,2014-05-04,$0.57,$1.66,$1.53,$1.72,$1.62,186.40%
3903,Romaine Lettuce,2014-05-04,$0.40,$1.84,$2.00,$1.24,$2.43,369.38%
3904,Cantaloupe,2014-05-04,$0.73,$2.19,$2.69,$2.79,$2.41,245.21%
3905,Strawberries,2014-05-04,$1.27,$2.33,$1.86,$2.00,$1.75,56.30%
3906,Carrots,2014-05-04,$0.28,$0.91,$0.87,$0.96,$1.37,266.96%
3907,Oranges,2014-04-27,$0.53,$1.52,$1.25,$1.32,$1.93,183.96%
3908,Potatoes,2014-04-27,$1.33,$5.46,$4.02,$3.66,$4.99,240.79%
3909,Asparagus,2014-04-27,$1.87,$3.15,$2.12,$3.74,$3.99,73.80%
3910,Red Leaf Lettuce,2014-04-27,$0.38,$1.61,$1.41,$1.09,$1.90,295.39%
3911,Avocados,2014-04-27,$0.81,$1.17,$1.21,$1.11,$1.42,51.54%
3912,Romaine Lettuce,2014-04-27,$0.37,$1.84,$1.68,$1.12,$2.49,381.76%
3913,Broccoli Bunches,2014-04-27,$0.71,$2.55,$1.99,$1.56,$2.33,196.83%
3914,Strawberries,2014-04-27,$1.27,$2.34,$2.25,$2.56,$2.86,97.05%
3915,Broccoli Crowns,2014-04-27,$0.53,$1.54,$1.45,$1.72,$2.04,218.40%
3916,Carrots,2014-04-27,$0.28,$0.91,$0.87,$0.96,$1.44,273.21%
3917,Cauliflower,2014-04-27,$1.78,$3.15,$3.53,$3.43,$5.32,116.71%
3918,Celery,2014-04-27,$0.38,$1.55,$1.59,$1.72,$1.99,350.66%
3919,Green Leaf Lettuce,2014-04-27,$0.37,$1.66,$1.22,$1.09,$1.76,287.16%
3920,Iceberg Lettuce,2014-04-27,$0.41,$1.40,$1.17,$1.07,$1.57,217.68%
3921,Romaine Lettuce,2014-04-23,$0.51,$1.84,$1.71,$1.12,$2.43,248.04%
3922,Broccoli Bunches,2014-04-23,$0.78,$2.50,$2.02,$1.29,$2.49,166.03%
3923,Strawberries,2014-04-23,$1.24,$2.45,$2.26,$2.31,$3.74,116.94%
3924,Broccoli Crowns,2014-04-23,$0.56,$1.54,$1.40,$1.69,$1.66,180.80%
3925,Carrots,2014-04-23,$0.30,$0.91,$0.87,$0.94,$1.36,240.00%
3926,Cauliflower,2014-04-23,$1.92,$3.03,$2.60,$2.73,$3.99,60.81%
3927,Celery,2014-04-23,$0.44,$1.17,$1.52,$1.72,$2.04,266.48%
3928,Green Leaf Lettuce,2014-04-23,$0.47,$1.79,$1.24,$1.07,$1.76,211.70%
3929,Iceberg Lettuce,2014-04-23,$0.41,$1.35,$1.10,$1.07,$1.87,228.66%
3930,Oranges,2014-04-23,$0.52,$1.52,$1.28,$1.27,$1.82,183.17%
3931,Potatoes,2014-04-23,$1.35,$5.29,$3.77,$3.99,$4.99,234.07%
3932,Asparagus,2014-04-23,$1.87,$2.74,$2.16,$3.37,$2.86,48.80%
3933,Red Leaf Lettuce,2014-04-23,$0.46,$1.59,$1.43,$1.07,$1.90,225.54%
3934,Avocados,2014-04-23,$0.83,$1.31,$1.59,$1.31,$1.56,73.80%
3935,Cauliflower,2014-04-20,$2.07,$3.15,$3.53,$2.94,$4.24,67.39%
3936,Celery,2014-04-20,$0.43,$1.55,$1.59,$1.72,$1.99,298.26%
3937,Green Leaf Lettuce,2014-04-20,$0.39,$1.79,$1.47,$1.09,$1.76,291.67%
3938,Iceberg Lettuce,2014-04-20,$0.41,$1.40,$1.20,$0.99,$1.92,235.98%
3939,Oranges,2014-04-20,$0.52,$1.52,$1.28,$1.24,$1.82,181.73%
3940,Potatoes,2014-04-20,$1.35,$4.84,$4.02,$3.66,$4.99,224.26%
3941,Asparagus,2014-04-20,$1.78,$3.11,$2.12,$3.74,$3.11,69.66%
3942,Red Leaf Lettuce,2014-04-20,$0.40,$1.61,$1.68,$1.09,$1.90,292.50%
3943,Avocados,2014-04-20,$0.83,$1.37,$1.59,$1.52,$1.67,85.24%
3944,Romaine Lettuce,2014-04-20,$0.40,$1.84,$2.06,$1.12,$2.43,365.63%
3945,Broccoli Bunches,2014-04-20,$0.69,$2.30,$2.02,$1.54,$2.32,196.38%
3946,Strawberries,2014-04-20,$1.00,$2.37,$2.62,$2.06,$2.37,135.50%
