,productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
4400,Green Leaf Lettuce,2013-08-11,$0.37,$2.05,$1.40,$1.52,$1.65,347.30%
4401,Honeydews,2013-08-11,$1.00,$3.64,$3.37,$2.60,$3.99,240.00%
4402,Thompson Grapes,2013-08-04,$0.79,$2.06,$1.78,$1.99,$1.99,147.47%
4403,Flame Grapes,2013-08-04,$0.79,$2.06,$2.05,$1.84,$2.24,159.18%
4404,Green Leaf Lettuce,2013-08-04,$0.41,$1.98,$1.40,$1.47,$1.65,296.34%
4405,Honeydews,2013-08-04,$0.96,$3.64,$3.37,$2.66,$4.12,259.11%
4406,Iceberg Lettuce,2013-08-04,$0.93,$1.81,$1.49,$1.34,$2.19,83.60%
4407,Avocados,2013-08-04,$0.78,$1.28,$1.41,$1.18,$1.79,81.41%
4408,Nectarines,2013-08-04,$0.38,$1.69,$1.99,$1.24,$2.49,387.50%
4409,Broccoli Bunches,2013-08-04,$1.20,$2.49,$2.29,$1.39,$2.32,76.88%
4410,Peaches,2013-08-04,$0.42,$1.69,$1.87,$1.24,$2.99,363.69%
4411,Broccoli Crowns,2013-08-04,$0.81,$1.72,$1.67,$1.77,$1.62,109.26%
4412,Plums,2013-08-04,$0.47,$1.99,$1.74,$0.96,$1.74,242.02%
4413,Cantaloupe,2013-08-04,$0.73,$2.24,$2.16,$2.29,$2.37,210.27%
4414,Red Leaf Lettuce,2013-08-04,$0.36,$1.94,$1.52,$1.47,$1.79,366.67%
4415,Carrots,2013-08-04,$0.30,$0.99,$0.84,$1.06,$1.44,260.83%
4416,Romaine Lettuce,2013-08-04,$0.42,$2.09,$1.76,$1.49,$2.43,362.50%
4417,Cauliflower,2013-08-04,$1.26,$2.80,$3.37,$3.43,$4.32,176.19%
4418,Strawberries,2013-08-04,$1.03,$2.24,$2.66,$2.62,$2.99,155.10%
4419,Celery,2013-08-04,$0.36,$1.65,$1.62,$1.79,$2.17,402.08%
4420,Cantaloupe,2013-07-28,$0.48,$1.99,$2.97,$2.40,$2.49,413.02%
4421,Red Leaf Lettuce,2013-07-28,$0.37,$2.02,$1.19,$1.52,$1.79,340.54%
4422,Carrots,2013-07-28,$0.30,$0.89,$0.92,$1.06,$1.59,271.67%
4423,Romaine Lettuce,2013-07-28,$0.54,$2.09,$2.11,$1.52,$2.18,265.74%
4424,Cauliflower,2013-07-28,$1.67,$2.93,$3.32,$3.37,$4.11,105.54%
4425,Strawberries,2013-07-28,$0.88,$2.12,$2.62,$2.74,$2.99,197.44%
4426,Celery,2013-07-28,$0.40,$1.67,$1.54,$1.79,$2.24,352.50%
4427,Thompson Grapes,2013-07-28,$0.79,$2.06,$2.29,$2.09,$1.86,162.66%
4428,Flame Grapes,2013-07-28,$0.79,$2.11,$2.16,$1.74,$1.86,149.05%
4429,Green Leaf Lettuce,2013-07-28,$0.58,$1.86,$1.14,$1.52,$1.65,165.95%
4430,Honeydews,2013-07-28,$0.88,$3.02,$3.74,$2.78,$4.37,295.17%
4431,Iceberg Lettuce,2013-07-28,$0.93,$1.66,$1.49,$1.34,$1.99,74.19%
4432,Avocados,2013-07-28,$0.77,$1.21,$1.37,$0.85,$1.87,72.08%
4433,Nectarines,2013-07-28,$0.38,$1.84,$2.12,$1.24,$1.52,342.11%
4434,Broccoli Bunches,2013-07-28,$0.97,$2.57,$2.37,$1.39,$2.66,131.70%
4435,Peaches,2013-07-28,$0.40,$0.00,$1.82,$1.24,$1.49,184.38%
4436,Broccoli Crowns,2013-07-28,$0.82,$1.81,$1.69,$1.77,$1.59,109.15%
4437,Plums,2013-07-28,$0.41,$1.69,$1.87,$1.49,$1.82,318.90%
4438,Avocados,2013-07-21,$0.74,$1.18,$1.40,$0.92,$2.00,85.81%
4439,Nectarines,2013-07-21,$0.38,$2.19,$1.61,$1.49,$2.74,428.29%
4440,Broccoli Bunches,2013-07-21,$0.86,$2.39,$1.84,$0.99,$2.66,129.07%
4441,Peaches,2013-07-21,$0.40,$0.00,$1.69,$1.49,$0.00,98.75%
4442,Broccoli Crowns,2013-07-21,$0.71,$1.86,$1.37,$1.42,$1.59,119.72%
4443,Plums,2013-07-21,$0.47,$0.00,$1.49,$1.49,$1.74,151.06%
4444,Cantaloupe,2013-07-21,$0.40,$2.16,$2.50,$2.86,$2.62,533.75%
4445,Potatoes,2013-07-21,$2.10,$4.75,$3.89,$3.87,$6.99,132.14%
4446,Carrots,2013-07-21,$0.30,$0.89,$0.84,$0.92,$1.44,240.83%
4447,Red Leaf Lettuce,2013-07-21,$0.38,$1.86,$1.52,$1.37,$1.79,330.26%
4448,Cauliflower,2013-07-21,$1.58,$3.05,$3.24,$3.02,$4.11,112.34%
4449,Romaine Lettuce,2013-07-21,$0.54,$1.96,$1.93,$1.39,$2.43,256.94%
4450,Celery,2013-07-21,$0.44,$1.67,$1.62,$1.79,$2.12,309.09%
4451,Strawberries,2013-07-21,$0.91,$2.12,$2.25,$2.62,$2.99,174.18%
4452,Flame Grapes,2013-07-21,$0.78,$2.06,$1.56,$1.59,$2.61,150.64%
