,productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
200,Green Leaf Lettuce,2019-02-03,$0.38,$2.32,$1.90,$1.74,$1.95,420.39%
201,Celery,2019-02-03,$1.64,$1.62,$1.89,$1.99,$1.94,13.41%
202,Cauliflower,2019-02-03,$1.39,$2.71,$3.46,$3.78,$3.11,134.89%
203,Carrots,2019-02-03,$0.30,$0.92,$0.92,$0.99,$1.05,223.33%
204,Broccoli Crowns,2019-02-03,$0.56,$2.39,$2.02,$1.99,$1.59,256.70%
205,Broccoli Bunches,2019-02-03,$0.75,$1.77,$1.88,$1.49,$1.89,134.33%
206,Avocados,2019-02-03,$0.47,$1.06,$1.24,$1.31,$1.42,167.55%
207,Strawberries,2019-01-27,$2.63,$3.96,$3.44,$3.49,$5.11,52.09%
208,Romaine Lettuce,2019-01-27,$0.32,$1.99,$2.25,$1.67,$1.98,516.41%
209,Red Leaf Lettuce,2019-01-27,$0.42,$2.32,$1.83,$1.74,$2.01,370.24%
210,Potatoes,2019-01-27,$1.70,$4.87,$4.81,$3.99,$4.94,173.68%
211,Oranges,2019-01-27,$0.41,$1.46,$1.45,$0.99,$1.87,251.83%
212,Iceberg Lettuce,2019-01-27,$0.37,$1.19,$1.61,$1.42,$1.81,307.43%
213,Green Leaf Lettuce,2019-01-27,$0.41,$2.32,$1.75,$1.74,$1.92,371.34%
214,Celery,2019-01-27,$1.39,$1.62,$2.01,$1.99,$1.94,35.97%
215,Cauliflower,2019-01-27,$0.75,$2.77,$3.86,$3.78,$3.24,355.00%
216,Carrots,2019-01-27,$0.30,$0.92,$0.92,$0.99,$1.15,231.67%
217,Broccoli Crowns,2019-01-27,$0.38,$2.22,$2.30,$1.99,$1.96,457.24%
218,Avocados,2019-01-27,$0.46,$0.89,$1.75,$1.31,$1.24,182.07%
219,Strawberries,2019-01-20,$2.63,$2.97,$3.31,$2.95,$5.11,36.31%
220,Romaine Lettuce,2019-01-20,$0.33,$1.89,$2.25,$1.67,$1.98,490.15%
221,Red Leaf Lettuce,2019-01-20,$0.51,$2.32,$1.83,$1.74,$2.01,287.25%
222,Potatoes,2019-01-20,$1.70,$4.87,$4.81,$3.99,$4.94,173.68%
223,Oranges,2019-01-20,$0.45,$1.46,$1.18,$0.99,$1.87,205.56%
224,Iceberg Lettuce,2019-01-20,$0.41,$1.16,$1.61,$1.42,$1.94,273.78%
225,Green Leaf Lettuce,2019-01-20,$0.51,$2.32,$1.75,$1.74,$1.92,278.92%
226,Celery,2019-01-20,$1.42,$1.62,$2.01,$1.99,$2.07,35.39%
