,productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
600,Green Leaf Lettuce,2018-08-05,$0.30,$1.69,$1.48,$1.42,$1.47,405.00%
601,Flame Grapes,2018-08-05,$0.94,$2.28,$2.36,$1.74,$1.99,122.61%
602,Celery,2018-08-05,$0.31,$1.64,$1.34,$1.99,$1.62,431.45%
603,Cauliflower,2018-08-05,$0.67,$2.54,$3.01,$3.03,$2.86,326.87%
604,Carrots,2018-08-05,$0.30,$0.92,$0.85,$0.99,$1.05,217.50%
605,Cantaloupe,2018-08-05,$0.90,$2.39,$1.95,$1.84,$1.59,115.83%
606,Broccoli Crowns,2018-08-05,$0.90,$2.22,$1.95,$1.84,$1.59,111.11%
607,Broccoli Bunches,2018-08-05,$1.07,$1.65,$1.77,$1.49,$1.76,55.84%
608,Avocados,2018-08-05,$1.23,$0.91,$1.23,$1.30,$1.48,0.00%
609,Tomatoes,2018-07-29,$0.42,$1.49,$1.46,$1.34,$1.66,254.17%
610,Thompson Grapes,2018-07-29,$1.00,$2.11,$3.09,$0.95,$2.82,124.25%
611,Strawberries,2018-07-29,$0.69,$2.64,$2.44,$2.75,$3.39,306.52%
612,Romaine Lettuce,2018-07-29,$0.29,$1.69,$2.16,$1.42,$1.86,514.66%
613,Red Leaf Lettuce,2018-07-29,$0.29,$1.69,$1.66,$1.42,$1.70,457.76%
614,Potatoes,2018-07-29,$1.80,$4.97,$4.97,$3.99,$5.97,176.39%
615,Peaches,2018-07-29,$0.64,$2.37,$1.64,$1.74,$1.99,202.34%
616,Oranges,2018-07-29,$0.53,$1.71,$1.54,$1.59,$2.35,239.15%
617,Iceberg Lettuce,2018-07-29,$0.35,$1.05,$1.44,$1.14,$1.56,270.71%
618,Honeydews,2018-07-29,$0.58,$3.61,$3.56,$3.60,$3.86,530.60%
619,Green Leaf Lettuce,2018-07-29,$0.30,$1.69,$1.59,$1.42,$1.64,428.33%
620,Flame Grapes,2018-07-29,$0.87,$2.11,$2.03,$0.95,$2.66,122.70%
621,Celery,2018-07-29,$0.32,$1.64,$1.89,$1.99,$1.62,457.81%
622,Cauliflower,2018-07-29,$0.65,$2.33,$3.33,$3.38,$2.86,357.69%
623,Carrots,2018-07-29,$0.30,$0.92,$0.92,$0.99,$1.05,223.33%
624,Cantaloupe,2018-07-29,$0.38,$2.17,$2.39,$1.81,$2.62,491.45%
625,Broccoli Crowns,2018-07-29,$0.66,$2.14,$1.95,$1.92,$2.09,206.82%
626,Avocados,2018-07-29,$1.03,$0.97,$1.59,$1.25,$1.59,31.07%
627,Flame Grapes,2018-07-25,$1.05,$2.32,$2.16,$2.74,$3.09,145.48%
628,Cauliflower,2018-07-25,$0.64,$2.34,$3.26,$3.48,$2.82,364.84%
629,Broccoli Bunches,2018-07-25,$0.53,$1.65,$1.88,$1.49,$1.76,219.81%
630,Tomatoes,2018-07-22,$0.34,$1.49,$1.46,$1.47,$1.65,346.32%
631,Strawberries,2018-07-22,$0.84,$2.32,$2.42,$2.75,$2.81,206.55%
632,Romaine Lettuce,2018-07-22,$0.30,$1.69,$1.99,$1.42,$1.83,477.50%
633,Red Leaf Lettuce,2018-07-22,$0.30,$1.69,$1.75,$1.42,$1.66,443.33%
634,Potatoes,2018-07-22,$1.80,$4.97,$4.14,$3.99,$5.97,164.86%
635,Plums,2018-07-22,$0.86,$1.99,$2.26,$1.99,$1.99,139.24%
636,Peaches,2018-07-22,$0.64,$2.30,$1.64,$1.74,$1.99,199.61%
637,Oranges,2018-07-22,$0.53,$1.58,$1.36,$1.87,$2.12,226.89%
638,Nectarines,2018-07-22,$0.72,$2.16,$2.29,$1.74,$1.99,184.03%
639,Iceberg Lettuce,2018-07-22,$0.37,$1.06,$1.31,$1.14,$1.56,242.57%
640,Honeydews,2018-07-22,$0.67,$3.61,$3.21,$3.85,$4.61,470.15%
641,Green Leaf Lettuce,2018-07-22,$0.32,$1.69,$1.71,$1.42,$1.47,391.41%
642,Flame Grapes,2018-07-22,$1.01,$2.53,$2.69,$2.24,$3.09,161.14%
643,Celery,2018-07-22,$0.35,$1.64,$1.74,$1.99,$1.54,393.57%
644,Cauliflower,2018-07-22,$0.66,$2.59,$3.26,$3.48,$2.86,361.74%
645,Carrots,2018-07-22,$0.30,$0.92,$0.85,$0.99,$1.29,237.50%
646,Cantaloupe,2018-07-22,$0.38,$2.39,$2.25,$1.49,$2.49,467.11%
647,Broccoli Crowns,2018-07-22,$0.48,$2.14,$1.95,$1.99,$1.46,292.71%
648,Broccoli Bunches,2018-07-22,$0.44,$1.98,$1.64,$1.49,$1.76,290.34%
649,Avocados,2018-07-22,$0.86,$0.97,$1.69,$1.06,$1.48,51.16%
650,Tomatoes,2018-07-15,$0.34,$1.49,$1.46,$1.34,$1.54,328.68%
651,Thompson Grapes,2018-07-15,$1.16,$2.32,$2.41,$2.74,$3.11,128.02%
652,Strawberries,2018-07-15,$1.22,$2.71,$2.26,$2.66,$3.24,122.75%
653,Romaine Lettuce,2018-07-15,$0.31,$1.69,$2.16,$1.34,$1.83,466.13%
654,Red Leaf Lettuce,2018-07-15,$0.30,$1.69,$1.66,$1.34,$1.57,421.67%
655,Potatoes,2018-07-15,$1.80,$4.72,$4.64,$3.99,$5.97,168.33%
656,Peaches,2018-07-15,$0.64,$2.75,$1.79,$1.99,$1.99,232.81%
657,Oranges,2018-07-15,$0.53,$1.58,$1.54,$1.74,$2.30,237.74%
658,Nectarines,2018-07-15,$0.72,$2.37,$1.84,$1.99,$1.99,184.38%
659,Iceberg Lettuce,2018-07-15,$0.55,$1.05,$1.39,$1.14,$1.56,133.64%
660,Honeydews,2018-07-15,$0.83,$3.94,$3.21,$3.85,$4.36,362.65%
661,Green Leaf Lettuce,2018-07-15,$0.34,$1.69,$1.59,$1.34,$1.47,347.79%
662,Celery,2018-07-15,$0.48,$1.64,$1.89,$1.99,$1.62,271.88%
663,Carrots,2018-07-15,$0.30,$0.92,$0.92,$0.99,$1.19,235.00%
664,Cantaloupe,2018-07-15,$0.42,$2.64,$2.32,$2.25,$2.49,477.38%
665,Broccoli Crowns,2018-07-15,$0.42,$2.18,$1.95,$1.99,$1.84,373.81%
666,Avocados,2018-07-15,$0.87,$1.17,$1.34,$1.25,$1.59,53.74%
667,Tomatoes,2018-07-08,$0.36,$1.49,$1.46,$1.39,$1.66,316.67%
668,Strawberries,2018-07-08,$1.16,$2.08,$2.04,$2.09,$2.74,92.89%
669,Romaine Lettuce,2018-07-08,$0.32,$1.69,$1.84,$1.42,$1.74,422.66%
670,Red Leaf Lettuce,2018-07-08,$0.30,$1.89,$1.75,$1.42,$1.90,480.00%
671,Potatoes,2018-07-08,$1.75,$5.44,$4.64,$3.99,$5.97,186.29%
672,Plums,2018-07-08,$0.86,$1.99,$2.11,$1.99,$1.99,134.88%
673,Peaches,2018-07-08,$0.64,$2.19,$1.59,$1.99,$1.99,203.13%
674,Oranges,2018-07-08,$0.53,$1.45,$1.49,$1.74,$2.68,247.17%
675,Nectarines,2018-07-08,$0.72,$1.89,$1.59,$1.99,$1.99,159.03%
676,Iceberg Lettuce,2018-07-08,$0.40,$0.99,$1.39,$1.14,$1.56,217.50%
677,Honeydews,2018-07-08,$0.83,$3.94,$2.62,$3.85,$4.61,352.41%
678,Green Leaf Lettuce,2018-07-08,$0.33,$1.69,$1.71,$1.42,$1.64,389.39%
679,Celery,2018-07-08,$0.52,$1.51,$1.89,$1.99,$1.62,237.02%
680,Cauliflower,2018-07-08,$0.60,$2.52,$3.38,$3.48,$3.11,420.42%
681,Carrots,2018-07-08,$0.30,$0.92,$0.92,$0.99,$1.29,243.33%
682,Cantaloupe,2018-07-08,$0.46,$2.25,$1.87,$2.37,$2.74,401.63%
683,Broccoli Crowns,2018-07-08,$0.60,$2.22,$2.13,$1.99,$2.21,256.25%
684,Broccoli Bunches,2018-07-08,$0.44,$1.65,$1.88,$1.49,$1.76,285.23%
685,Avocados,2018-07-08,$0.87,$1.05,$1.50,$1.25,$1.62,55.75%
686,Tomatoes,2018-07-01,$0.36,$1.49,$1.46,$1.52,$1.66,325.69%
687,Thompson Grapes,2018-07-01,$1.39,$2.76,$2.94,$2.99,$3.74,123.56%
688,Strawberries,2018-07-01,$1.00,$1.96,$1.88,$2.87,$3.24,148.75%
689,Romaine Lettuce,2018-07-01,$0.31,$1.62,$2.09,$1.42,$1.74,454.03%
690,Red Leaf Lettuce,2018-07-01,$0.31,$1.62,$1.71,$1.42,$,283.06%
691,Potatoes,2018-07-01,$1.75,$4.72,$4.97,$3.99,$5.97,180.71%
692,Oranges,2018-07-01,$0.53,$1.74,$1.49,$1.59,$2.36,238.68%
693,Nectarines,2018-07-01,$0.76,$1.49,$1.64,$1.99,$1.99,133.88%
694,Iceberg Lettuce,2018-07-01,$0.41,$0.99,$1.39,$1.14,$1.75,221.34%
695,Honeydews,2018-07-01,$1.08,$3.61,$2.82,$3.66,$4.61,240.28%
696,Green Leaf Lettuce,2018-07-01,$0.30,$1.62,$1.63,$1.42,$1.51,415.00%
697,Celery,2018-07-01,$0.53,$1.64,$1.89,$1.99,$1.62,236.79%
698,Cauliflower,2018-07-01,$0.64,$2.79,$2.88,$3.48,$2.99,374.22%
699,Carrots,2018-07-01,$0.30,$0.92,$0.92,$0.99,$1.29,243.33%
