,productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
2400,Red Leaf Lettuce,2016-04-03,$0.29,$1.82,$1.28,$1.32,$1.89,443.97%
2401,Potatoes,2016-04-03,$0.95,$5.04,$3.87,$3.99,$4.97,370.26%
2402,Oranges,2016-04-03,$0.30,$1.01,$1.09,$0.99,$1.79,306.67%
2403,Iceberg Lettuce,2016-04-03,$0.29,$1.19,$1.44,$1.34,$1.66,385.34%
2404,Green Leaf Lettuce,2016-04-03,$0.30,$1.32,$1.23,$1.32,$1.73,366.67%
2405,Celery,2016-04-03,$0.31,$1.56,$1.24,$1.94,$1.59,410.48%
2406,Cauliflower,2016-04-03,$1.21,$2.86,$2.89,$2.58,$3.36,141.53%
2407,Carrots,2016-04-03,$0.32,$0.95,$0.90,$0.99,$1.32,225.00%
2408,Broccoli Crowns,2016-04-03,$0.38,$1.87,$1.72,$1.66,$1.48,342.76%
2409,Broccoli Bunches,2016-04-03,$0.48,$2.56,$2.09,$1.16,$2.74,345.31%
2410,Avocados,2016-04-03,$0.54,$1.11,$1.12,$1.11,$1.24,112.04%
2411,Asparagus,2016-04-03,$1.78,$2.98,$2.86,$3.24,$3.49,76.54%
2412,Strawberries,2016-03-27,$1.25,$3.06,$2.37,$2.62,$2.82,117.40%
2413,Potatoes,2016-03-27,$1.00,$5.20,$1.05,$3.99,$1.79,200.75%
2414,Oranges,2016-03-27,$0.33,$1.44,$1.05,$0.89,$1.79,291.67%
2415,Red Leaf Lettuce,2016-03-27,$0.28,$1.29,$1.50,$1.32,$1.94,440.18%
2416,Green Leaf Lettuce,2016-03-27,$0.28,$1.32,$1.38,$1.34,$1.69,411.61%
2417,Romaine Lettuce,2016-03-27,$0.29,$1.50,$1.97,$1.34,$1.89,477.59%
2418,Iceberg Lettuce,2016-03-27,$0.29,$1.24,$1.44,$1.34,$1.32,360.34%
2419,Celery,2016-03-27,$0.32,$1.56,$1.66,$1.74,$1.67,417.97%
2420,Cauliflower,2016-03-27,$0.74,$2.79,$2.91,$3.23,$3.33,314.19%
2421,Carrots,2016-03-27,$0.31,$0.96,$0.94,$0.99,$1.07,219.35%
2422,Broccoli Crowns,2016-03-27,$0.44,$1.87,$1.72,$1.74,$1.70,299.43%
2423,Avocados,2016-03-27,$0.54,$1.32,$1.20,$1.31,$1.36,140.28%
2424,Asparagus,2016-03-27,$1.67,$2.48,$2.32,$2.99,$2.22,49.85%
2425,Avocados,2016-03-20,$0.58,$1.32,$1.07,$1.12,$1.53,117.24%
2426,Asparagus,2016-03-20,$1.49,$2.48,$1.91,$2.12,$2.02,43.12%
2427,Strawberries,2016-03-20,$1.25,$2.36,$2.25,$2.25,$2.81,93.40%
2428,Romaine Lettuce,2016-03-20,$0.30,$1.50,$1.97,$1.34,$1.89,458.33%
2429,Red Leaf Lettuce,2016-03-20,$0.27,$1.29,$1.50,$1.32,$1.94,460.19%
2430,Potatoes,2016-03-20,$1.00,$5.20,$3.87,$3.99,$4.47,338.25%
2431,Oranges,2016-03-20,$0.31,$1.57,$1.08,$1.12,$1.79,348.39%
2432,Iceberg Lettuce,2016-03-20,$0.33,$1.24,$1.44,$1.34,$1.55,321.97%
2433,Green Leaf Lettuce,2016-03-20,$0.28,$1.32,$1.38,$1.34,$1.69,411.61%
2434,Celery,2016-03-20,$0.36,$1.56,$1.41,$1.74,$1.54,334.03%
2435,Cauliflower,2016-03-20,$0.94,$2.79,$2.41,$2.73,$3.49,203.72%
2436,Carrots,2016-03-20,$0.31,$0.78,$0.84,$0.99,$1.07,196.77%
2437,Broccoli Crowns,2016-03-20,$0.56,$1.87,$1.72,$1.69,$1.70,211.61%
2438,Iceberg Lettuce,2016-03-13,$0.35,$1.24,$1.44,$1.34,$1.61,302.14%
2439,Oranges,2016-03-13,$0.31,$1.31,$1.03,$1.12,$1.79,323.39%
2440,Potatoes,2016-03-13,$1.00,$5.20,$3.44,$3.99,$5.99,365.50%
2441,Asparagus,2016-03-13,$1.47,$2.32,$2.79,$2.74,$2.84,81.80%
2442,Red Leaf Lettuce,2016-03-13,$0.26,$1.32,$1.50,$1.32,$1.87,477.88%
2443,Avocados,2016-03-13,$0.56,$1.15,$1.18,$1.11,$1.37,114.73%
2444,Romaine Lettuce,2016-03-13,$0.30,$1.44,$1.88,$1.34,$1.99,454.17%
2445,Broccoli Bunches,2016-03-13,$0.66,$2.56,$1.99,$1.34,$2.79,228.79%
2446,Strawberries,2016-03-13,$1.38,$2.36,$1.87,$2.69,$3.19,83.15%
2447,Broccoli Crowns,2016-03-13,$0.63,$1.81,$1.72,$1.77,$1.66,176.19%
2448,Carrots,2016-03-13,$0.26,$0.78,$0.84,$0.99,$1.07,253.85%
2449,Cauliflower,2016-03-13,$1.18,$2.79,$2.93,$2.98,$3.24,152.97%
2450,Celery,2016-03-13,$0.47,$1.56,$1.66,$1.99,$1.59,261.70%
2451,Green Leaf Lettuce,2016-03-13,$0.26,$1.32,$1.44,$1.32,$1.71,456.73%
2452,Red Leaf Lettuce,2016-03-06,$0.26,$1.29,$1.55,$1.32,$1.92,484.62%
2453,Avocados,2016-03-06,$0.57,$1.19,$1.11,$1.36,$1.37,120.61%
2454,Romaine Lettuce,2016-03-06,$0.28,$1.50,$2.00,$1.37,$1.94,508.04%
2455,Broccoli Bunches,2016-03-06,$0.43,$2.82,$2.09,$1.26,$2.99,432.56%
2456,Strawberries,2016-03-06,$1.09,$1.99,$2.29,$2.87,$2.87,129.82%
2457,Broccoli Crowns,2016-03-06,$0.35,$1.64,$1.64,$1.76,$1.79,387.86%
2458,Carrots,2016-03-06,$0.31,$0.84,$0.84,$0.99,$1.07,201.61%
2459,Cauliflower,2016-03-06,$0.69,$2.86,$2.86,$2.78,$2.99,316.30%
2460,Celery,2016-03-06,$0.51,$1.56,$1.67,$1.74,$2.04,243.63%
2461,Green Leaf Lettuce,2016-03-06,$0.26,$1.32,$1.42,$1.32,$1.80,463.46%
2462,Iceberg Lettuce,2016-03-06,$0.29,$1.24,$1.49,$1.37,$1.66,396.55%
2463,Oranges,2016-03-06,$0.33,$1.66,$1.23,$1.24,$1.79,348.48%
2464,Potatoes,2016-03-06,$1.05,$5.20,$3.77,$3.99,$4.47,315.00%
2465,Strawberries,2016-02-28,$1.00,$2.52,$2.62,$3.37,$2.99,187.50%
2466,Broccoli Crowns,2016-02-28,$0.34,$1.64,$1.72,$1.69,$1.65,392.65%
2467,Carrots,2016-02-28,$0.31,$0.84,$0.90,$0.99,$1.09,208.06%
2468,Cauliflower,2016-02-28,$0.70,$2.82,$2.99,$3.13,$3.11,330.36%
2469,Celery,2016-02-28,$0.53,$,$1.92,$1.99,$1.72,165.57%
2470,Green Leaf Lettuce,2016-02-28,$0.25,$1.32,$1.48,$1.32,$1.73,485.00%
2471,Iceberg Lettuce,2016-02-28,$0.28,$1.24,$1.54,$1.37,$1.74,425.89%
2472,Oranges,2016-02-28,$0.33,$1.40,$1.07,$1.24,$1.79,316.67%
2473,Potatoes,2016-02-28,$1.05,$5.84,$3.64,$3.99,$4.99,339.52%
2474,Red Leaf Lettuce,2016-02-28,$0.26,$1.32,$1.61,$1.34,$1.89,492.31%
2475,Avocados,2016-02-28,$0.57,$1.19,$1.26,$1.12,$1.42,118.86%
2476,Romaine Lettuce,2016-02-28,$0.29,$1.56,$1.91,$1.37,$1.94,484.48%
2477,Broccoli Bunches,2016-02-28,$0.42,$2.66,$2.09,$1.34,$0.00,262.50%
2478,Cauliflower,2016-02-21,$0.74,$3.19,$3.11,$2.98,$2.99,314.53%
2479,Celery,2016-02-21,$0.60,$1.61,$2.04,$1.74,$1.92,204.58%
2480,Green Leaf Lettuce,2016-02-21,$0.29,$1.32,$1.42,$1.54,$1.82,425.86%
2481,Iceberg Lettuce,2016-02-21,$0.34,$1.22,$1.49,$1.57,$1.74,342.65%
2482,Oranges,2016-02-21,$0.33,$5.84,$1.61,$1.09,$1.79,682.58%
2483,Potatoes,2016-02-21,$1.05,$5.84,$3.59,$3.99,$4.99,338.33%
2484,Red Leaf Lettuce,2016-02-21,$0.29,$1.29,$1.55,$1.54,$1.94,444.83%
2485,Avocados,2016-02-21,$0.57,$1.24,$1.24,$1.18,$1.42,122.81%
2486,Romaine Lettuce,2016-02-21,$0.30,$1.61,$2.00,$1.57,$1.92,491.67%
2487,Broccoli Bunches,2016-02-21,$0.43,$2.66,$1.92,$1.26,$2.99,413.37%
2488,Strawberries,2016-02-21,$1.75,$3.12,$2.62,$2.61,$2.99,62.00%
2489,Broccoli Crowns,2016-02-21,$0.34,$1.57,$1.89,$1.64,$1.66,397.06%
2490,Carrots,2016-02-21,$0.31,$0.84,$0.90,$0.99,$1.07,206.45%
2491,Green Leaf Lettuce,2016-02-14,$0.33,$1.73,$1.32,$1.46,$1.57,360.61%
2492,Iceberg Lettuce,2016-02-14,$0.67,$1.66,$1.31,$1.36,$1.57,120.15%
2493,Oranges,2016-02-14,$0.33,$1.62,$1.40,$1.28,$0.96,298.48%
2494,Potatoes,2016-02-14,$1.05,$4.99,$5.20,$3.44,$3.99,319.52%
2495,Red Leaf Lettuce,2016-02-14,$0.33,$1.89,$1.32,$1.52,$1.57,377.27%
2496,Romaine Lettuce,2016-02-14,$0.35,$1.94,$1.49,$1.91,$1.57,393.57%
2497,Avocados,2016-02-14,$0.57,$1.33,$1.25,$1.33,$1.03,116.67%
2498,Strawberries,2016-02-14,$2.00,$3.62,$3.87,$3.27,$4.12,86.00%
2499,Broccoli Crowns,2016-02-14,$0.38,$1.65,$1.87,$1.86,$1.74,368.42%
