,productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
500,Romaine Lettuce,2018-09-09,$0.39,$2.01,$1.99,$1.42,$1.74,358.97%
501,Red Leaf Lettuce,2018-09-09,$0.33,$1.69,$1.75,$1.42,$1.62,390.91%
502,Potatoes,2018-09-09,$1.75,$4.47,$4.47,$3.99,$5.47,162.86%
503,Plums,2018-09-09,$0.71,$1.99,$1.96,$1.74,$2.49,188.03%
504,Peaches,2018-09-09,$0.64,$1.68,$1.64,$1.99,$2.49,204.69%
505,Oranges,2018-09-09,$0.53,$1.51,$1.36,$1.37,$1.78,183.96%
506,Iceberg Lettuce,2018-09-09,$0.38,$1.04,$1.31,$1.14,$1.56,232.24%
507,Honeydews,2018-09-09,$0.96,$3.27,$3.26,$3.66,$4.61,285.42%
508,Green Leaf Lettuce,2018-09-09,$0.35,$1.69,$1.71,$1.42,$1.47,349.29%
509,Flame Grapes,2018-09-09,$0.97,$2.26,$1.96,$2.24,$2.16,122.16%
510,Celery,2018-09-09,$0.38,$1.64,$1.69,$1.99,$1.69,361.18%
511,Cauliflower,2018-09-09,$0.77,$2.58,$2.48,$3.38,$2.99,271.10%
512,Carrots,2018-09-09,$0.30,$0.89,$0.85,$0.99,$1.05,215.00%
513,Cantaloupe,2018-09-09,$0.40,$2.09,$2.24,$2.24,$2.16,445.63%
514,Broccoli Crowns,2018-09-09,$0.58,$1.62,$2.00,$1.84,$1.60,204.31%
515,Avocados,2018-09-09,$0.90,$1.03,$1.73,$1.75,$1.59,69.44%
516,Tomatoes,2018-09-02,$0.38,$1.52,$1.46,$1.47,$1.71,305.26%
517,Strawberries,2018-09-02,$1.31,$2.50,$2.04,$2.55,$3.21,96.56%
518,Romaine Lettuce,2018-09-02,$0.39,$1.36,$2.16,$1.42,$1.74,328.21%
519,Red Leaf Lettuce,2018-09-02,$0.32,$1.36,$1.71,$1.42,$1.57,373.44%
520,Peaches,2018-09-02,$0.64,$1.68,$1.89,$1.74,$2.49,204.69%
521,Oranges,2018-09-02,$0.53,$1.51,$1.07,$1.62,$2.23,203.30%
522,Nectarines,2018-09-02,$0.66,$1.88,$1.64,$2.24,$2.49,212.50%
523,Iceberg Lettuce,2018-09-02,$0.40,$1.04,$1.39,$1.14,$1.00,185.63%
524,Honeydews,2018-09-02,$1.00,$3.49,$3.07,$3.48,$3.74,244.50%
525,Green Leaf Lettuce,2018-09-02,$0.35,$1.36,$1.63,$1.42,$1.47,320.00%
526,Flame Grapes,2018-09-02,$0.97,$2.21,$2.21,$0.90,$2.16,92.78%
527,Celery,2018-09-02,$0.40,$1.64,$1.49,$1.99,$1.69,325.63%
528,Cauliflower,2018-09-02,$1.35,$2.54,$3.26,$3.18,$2.61,114.63%
529,Carrots,2018-09-02,$0.30,$0.92,$0.85,$0.99,$0.99,212.50%
530,Cantaloupe,2018-09-02,$0.50,$2.32,$1.74,$2.25,$2.74,352.50%
531,Avocados,2018-09-02,$0.94,$1.08,$1.51,$1.75,$1.59,57.71%
532,Tomatoes,2018-08-26,$0.52,$1.45,$1.46,$1.49,$1.66,191.35%
533,Thompson Grapes,2018-08-26,$0.79,$2.15,$2.27,$1.74,$2.16,163.29%
534,Strawberries,2018-08-26,$1.22,$3.00,$2.24,$2.50,$3.99,140.37%
535,Romaine Lettuce,2018-08-26,$0.38,$1.69,$2.06,$1.42,$1.74,354.61%
