,productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
2300,Avocados,2016-05-29,$0.81,$0.99,$1.26,$1.17,$1.05,37.96%
2301,Strawberries,2016-05-22,$1.13,$2.50,$1.99,$3.00,$2.49,120.80%
2302,Romaine Lettuce,2016-05-22,$0.54,$1.69,$1.97,$1.49,$1.83,223.15%
2303,Red Leaf Lettuce,2016-05-22,$0.52,$1.49,$1.50,$1.49,$1.94,208.65%
2304,Oranges,2016-05-22,$0.31,$1.57,$1.15,$1.24,$1.58,346.77%
2305,Iceberg Lettuce,2016-05-22,$0.39,$1.36,$1.44,$1.39,$1.74,280.13%
2306,Honeydews,2016-05-22,$1.37,$3.49,$3.24,$4.10,$4.99,188.69%
2307,Green Leaf Lettuce,2016-05-22,$0.54,$1.65,$1.38,$1.49,$1.82,193.52%
2308,Flame Grapes,2016-05-22,$1.22,$3.11,$2.49,$2.74,$2.99,132.17%
2309,Celery,2016-05-22,$0.39,$1.61,$1.54,$1.94,$1.76,339.10%
2310,Cauliflower,2016-05-22,$1.96,$2.99,$3.06,$3.13,$3.82,65.82%
2311,Carrots,2016-05-22,$0.33,$0.95,$0.90,$0.99,$1.07,196.21%
2312,Cantaloupe,2016-05-22,$0.62,$2.54,$2.37,$3.11,$2.87,339.11%
2313,Broccoli Crowns,2016-05-22,$0.74,$1.81,$1.72,$1.66,$1.59,129.05%
2314,Broccoli Bunches,2016-05-22,$1.03,$2.65,$1.58,$1.26,$2.50,93.93%
2315,Avocados,2016-05-22,$0.83,$1.12,$1.05,$1.18,$1.25,38.55%
2316,Strawberries,2016-05-15,$1.04,$3.24,$2.36,$2.87,$2.95,174.52%
2317,Romaine Lettuce,2016-05-15,$0.79,$1.69,$1.88,$1.49,$2.16,128.48%
2318,Red Leaf Lettuce,2016-05-15,$0.76,$1.49,$1.50,$1.49,$1.89,109.54%
2319,Oranges,2016-05-15,$0.30,$1.23,$1.46,$1.12,$1.47,340.00%
2320,Iceberg Lettuce,2016-05-15,$0.48,$1.36,$1.49,$1.49,$1.66,212.50%
2321,Honeydews,2016-05-15,$1.50,$3.99,$3.33,$4.10,$3.74,152.67%
2322,Green Leaf Lettuce,2016-05-15,$0.80,$1.49,$1.44,$1.49,$1.73,92.19%
2323,Flame Grapes,2016-05-15,$1.44,$3.24,$2.24,$3.49,$2.99,107.64%
2324,Celery,2016-05-15,$0.41,$1.56,$1.42,$1.94,$1.92,317.07%
2325,Cauliflower,2016-05-15,$2.00,$2.94,$2.93,$2.78,$3.41,50.75%
2326,Carrots,2016-05-15,$0.33,$1.00,$0.90,$0.99,$1.07,200.00%
2327,Cantaloupe,2016-05-15,$0.67,$2.39,$2.37,$2.73,$2.87,286.57%
2328,Broccoli Crowns,2016-05-15,$0.56,$1.81,$1.72,$1.66,$1.65,205.36%
2329,Broccoli Bunches,2016-05-15,$0.75,$2.49,$1.82,$1.26,$2.54,170.33%
2330,Avocados,2016-05-15,$0.83,$1.12,$1.11,$0.92,$1.33,34.94%
2331,Strawberries,2016-05-08,$1.00,$2.69,$2.41,$2.87,$3.61,189.50%
2332,Romaine Lettuce,2016-05-08,$0.93,$1.69,$1.86,$1.39,$1.89,83.60%
2333,Red Leaf Lettuce,2016-05-08,$0.92,$1.49,$1.39,$1.39,$1.94,68.75%
2334,Oranges,2016-05-08,$0.30,$1.44,$1.08,$1.12,$1.78,351.67%
2335,Iceberg Lettuce,2016-05-08,$0.51,$1.36,$1.28,$1.39,$1.39,165.69%
2336,Green Leaf Lettuce,2016-05-08,$0.87,$1.49,$1.28,$1.39,$1.82,71.84%
2337,Flame Grapes,2016-05-08,$1.55,$3.21,$2.49,$3.66,$2.11,85.00%
2338,Celery,2016-05-08,$0.40,$1.47,$1.42,$1.69,$1.99,310.63%
2339,Cauliflower,2016-05-08,$1.93,$2.94,$2.93,$3.03,$3.49,60.49%
2340,Carrots,2016-05-08,$0.37,$0.84,$1.15,$0.99,$1.07,173.65%
2341,Cantaloupe,2016-05-08,$0.96,$2.39,$2.74,$2.11,$2.74,159.90%
2342,Broccoli Crowns,2016-05-08,$0.47,$1.81,$1.72,$1.74,$1.37,253.19%
2343,Broccoli Bunches,2016-05-08,$0.63,$2.49,$1.99,$1.24,$2.50,226.19%
2344,Avocados,2016-05-08,$0.72,$1.00,$1.05,$0.92,$1.25,46.53%
2345,Strawberries,2016-05-01,$1.42,$2.88,$2.36,$2.74,$2.49,84.33%
2346,Romaine Lettuce,2016-05-01,$0.97,$1.44,$1.72,$1.36,$1.99,67.78%
2347,Red Leaf Lettuce,2016-05-01,$0.95,$1.32,$1.28,$1.29,$1.78,49.21%
2348,Potatoes,2016-05-01,$0.95,$5.04,$1.03,$3.99,$4.97,295.53%
2349,Oranges,2016-05-01,$0.30,$1.23,$1.03,$2.53,$2.04,469.17%
2350,Iceberg Lettuce,2016-05-01,$0.91,$1.36,$1.28,$1.29,$1.41,46.70%
2351,Green Leaf Lettuce,2016-05-01,$0.95,$1.32,$1.23,$1.29,$1.63,43.95%
2352,Celery,2016-05-01,$0.42,$1.47,$1.49,$1.69,$1.66,275.60%
2353,Cauliflower,2016-05-01,$1.14,$2.74,$2.66,$3.03,$2.98,150.22%
2354,Carrots,2016-05-01,$0.37,$0.84,$0.90,$0.99,$1.07,156.76%
2355,Broccoli Crowns,2016-05-01,$0.51,$1.81,$1.82,$1.88,$2.04,270.10%
2356,Broccoli Bunches,2016-05-01,$0.68,$2.65,$1.92,$0.99,$2.54,197.79%
2357,Avocados,2016-05-01,$0.68,$1.06,$1.12,$0.92,$0.75,41.54%
2358,Strawberries,2016-04-24,$1.69,$2.87,$2.31,$2.50,$4.32,77.51%
2359,Romaine Lettuce,2016-04-24,$0.56,$1.62,$1.97,$1.29,$1.89,202.23%
2360,Red Leaf Lettuce,2016-04-24,$0.65,$1.49,$1.28,$1.29,$1.94,130.77%
2361,Potatoes,2016-04-24,$0.95,$5.07,$3.87,$3.99,$4.74,365.00%
2362,Oranges,2016-04-24,$0.30,$1.44,$1.08,$0.92,$1.79,335.83%
2363,Iceberg Lettuce,2016-04-24,$0.56,$1.29,$1.44,$1.29,$1.61,151.34%
2364,Green Leaf Lettuce,2016-04-24,$0.60,$1.32,$1.17,$1.29,$1.82,133.33%
2365,Celery,2016-04-24,$0.37,$1.56,$1.54,$1.94,$1.49,341.22%
2366,Cauliflower,2016-04-24,$0.98,$3.11,$2.16,$3.13,$3.36,200.00%
2367,Carrots,2016-04-24,$0.37,$0.84,$1.15,$0.99,$1.31,189.86%
2368,Broccoli Crowns,2016-04-24,$0.50,$1.71,$1.71,$1.66,$1.40,224.00%
2369,Avocados,2016-04-24,$0.54,$1.12,$1.24,$0.72,$1.47,110.65%
