,productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
1000,Avocados,2018-02-04,$0.82,$0.87,$1.45,$1.31,$1.32,50.91%
1001,Strawberries,2018-01-28,$1.75,$3.15,$3.82,$2.99,$3.86,97.43%
1002,Oranges,2018-01-28,$0.54,$1.48,$1.61,$1.34,$1.76,186.57%
1003,Romaine Lettuce,2018-01-28,$0.28,$1.62,$2.19,$1.47,$1.85,536.61%
1004,Red Leaf Lettuce,2018-01-28,$0.29,$1.49,$1.73,$1.42,$1.60,437.93%
1005,Potatoes,2018-01-28,$1.60,$5.24,$4.31,$3.99,$5.97,204.84%
1006,Iceberg Lettuce,2018-01-28,$0.31,$1.24,$1.46,$1.24,$1.66,351.61%
1007,Green Leaf Lettuce,2018-01-28,$0.29,$1.42,$1.65,$1.42,$1.57,422.41%
1008,Celery,2018-01-28,$0.33,$1.37,$1.56,$1.99,$1.99,423.48%
1009,Cauliflower,2018-01-28,$0.74,$2.85,$3.46,$3.68,$4.32,383.45%
1010,Carrots,2018-01-28,$0.31,$0.92,$0.92,$0.99,$0.95,204.84%
1011,Broccoli Crowns,2018-01-28,$0.39,$2.34,$1.92,$2.14,$2.04,441.03%
1012,Broccoli Bunches,2018-01-28,$0.33,$1.81,$1.74,$1.40,$2.44,459.85%
1013,Avocados,2018-01-28,$0.73,$1.23,$1.41,$1.69,$1.66,105.14%
1014,Strawberries,2018-01-21,$2.00,$2.66,$3.37,$3.99,$4.11,76.63%
1015,Romaine Lettuce,2018-01-21,$0.28,$1.62,$2.07,$1.44,$1.88,525.89%
1016,Red Leaf Lettuce,2018-01-21,$0.29,$1.42,$1.70,$1.42,$1.72,439.66%
1017,Potatoes,2018-01-21,$1.60,$3.99,$4.31,$3.99,$5.72,181.41%
1018,Oranges,2018-01-21,$0.54,$1.39,$1.49,$1.07,$1.88,169.91%
1019,Iceberg Lettuce,2018-01-21,$0.32,$0.99,$1.46,$1.24,$1.61,314.06%
1020,Green Leaf Lettuce,2018-01-21,$0.29,$1.42,$1.73,$1.34,$1.64,428.45%
1021,Celery,2018-01-21,$0.32,$1.75,$1.57,$1.94,$1.67,441.41%
1022,Cauliflower,2018-01-21,$0.60,$2.98,$3.46,$3.68,$3.34,460.83%
1023,Carrots,2018-01-21,$0.31,$0.92,$0.92,$0.99,$1.05,212.90%
1024,Broccoli Crowns,2018-01-21,$0.37,$1.69,$1.92,$1.99,$2.04,416.22%
1025,Broccoli Bunches,2018-01-21,$0.36,$1.48,$1.56,$1.49,$1.63,327.78%
1026,Strawberries,2018-01-14,$2.00,$2.99,$3.12,$2.62,$4.11,60.50%
1027,Romaine Lettuce,2018-01-14,$0.29,$1.52,$2.19,$1.47,$1.85,506.03%
1028,Red Leaf Lettuce,2018-01-14,$0.30,$1.34,$1.73,$1.42,$1.60,407.50%
1029,Potatoes,2018-01-14,$1.60,$5.24,$4.31,$3.99,$5.97,204.84%
1030,Oranges,2018-01-14,$0.54,$1.48,$1.32,$1.34,$1.76,173.15%
1031,Iceberg Lettuce,2018-01-14,$0.33,$0.99,$1.46,$1.24,$1.66,305.30%
1032,Green Leaf Lettuce,2018-01-14,$0.30,$1.32,$1.65,$1.42,$1.57,396.67%
1033,Celery,2018-01-14,$0.34,$1.37,$1.56,$1.94,$1.99,404.41%
1034,Cauliflower,2018-01-14,$0.62,$2.98,$3.46,$3.68,$4.66,495.97%
1035,Carrots,2018-01-14,$0.31,$0.92,$0.92,$0.99,$0.89,200.00%
1036,Broccoli Crowns,2018-01-14,$0.44,$1.91,$1.92,$2.14,$2.04,355.11%
1037,Broccoli Bunches,2018-01-14,$0.43,$1.48,$1.74,$1.40,$2.44,310.47%
1038,Strawberries,2018-01-07,$2.06,$3.49,$2.61,$2.69,$3.99,55.10%
1039,Romaine Lettuce,2018-01-07,$0.34,$1.52,$2.07,$1.47,$1.85,408.09%
1040,Red Leaf Lettuce,2018-01-07,$0.35,$1.34,$1.78,$1.42,$1.65,342.14%
1041,Potatoes,2018-01-07,$1.60,$5.24,$4.31,$3.99,$5.72,200.94%
1042,Oranges,2018-01-07,$0.54,$1.69,$1.54,$1.24,$1.76,188.43%
1043,Iceberg Lettuce,2018-01-07,$0.39,$0.99,$1.41,$1.24,$1.61,236.54%
1044,Green Leaf Lettuce,2018-01-07,$0.35,$1.32,$1.73,$1.42,$1.57,331.43%
1045,Celery,2018-01-07,$0.38,$1.38,$1.94,$1.94,$1.54,347.37%
1046,Cauliflower,2018-01-07,$1.04,$2.98,$3.46,$3.68,$4.21,244.47%
1047,Carrots,2018-01-07,$0.32,$0.92,$0.92,$0.99,$0.89,190.63%
1048,Broccoli Crowns,2018-01-07,$0.77,$1.69,$2.10,$2.14,$1.74,149.03%
1049,Broccoli Bunches,2018-01-07,$0.70,$1.65,$1.58,$1.40,$1.63,123.57%
1050,Broccoli Crowns,2017-12-31,$1.25,$2.58,$2.10,$1.74,$1.96,67.60%
1051,Strawberries,2017-12-31,$2.00,$3.22,$2.49,$3.74,$3.99,68.00%
1052,Romaine Lettuce,2017-12-31,$0.35,$1.85,$2.41,$1.47,$1.85,441.43%
1053,Red Leaf Lettuce,2017-12-31,$0.34,$1.49,$1.96,$1.42,$1.59,375.00%
1054,Potatoes,2017-12-31,$1.60,$5.24,$2.47,$3.99,$4.44,152.19%
1055,Oranges,2017-12-31,$0.55,$1.56,$1.13,$1.24,$1.76,158.64%
1056,Iceberg Lettuce,2017-12-31,$0.38,$0.99,$1.36,$1.24,$1.72,249.34%
1057,Green Leaf Lettuce,2017-12-31,$0.34,$1.42,$1.88,$1.42,$1.55,361.03%
1058,Celery,2017-12-31,$0.39,$1.37,$1.93,$1.84,$1.73,340.38%
1059,Cauliflower,2017-12-31,$2.05,$2.92,$3.16,$3.18,$3.96,61.22%
1060,Carrots,2017-12-31,$0.31,$0.92,$0.85,$0.99,$1.29,226.61%
1061,Broccoli Bunches,2017-12-31,$0.79,$1.48,$1.14,$1.49,$2.44,107.28%
1062,Strawberries,2017-12-24,$1.81,$3.61,$2.33,$3.74,$3.12,76.80%
1063,Romaine Lettuce,2017-12-24,$0.32,$1.75,$2.47,$1.47,$1.68,475.78%
1064,Green Leaf Lettuce,2017-12-24,$0.33,$1.52,$1.92,$1.42,$1.72,398.48%
1065,Red Leaf Lettuce,2017-12-24,$0.34,$1.52,$2.00,$1.42,$1.74,391.18%
1066,Potatoes,2017-12-24,$1.60,$4.31,$3.81,$3.99,$5.72,178.59%
1067,Oranges,2017-12-24,$0.56,$1.38,$1.10,$0.94,$1.76,131.25%
1068,Iceberg Lettuce,2017-12-24,$0.35,$0.99,$1.44,$1.24,$1.69,282.86%
1069,Flame Grapes,2017-12-24,$1.26,$2.90,$2.79,$2.87,$2.61,121.63%
1070,Celery,2017-12-24,$0.36,$1.31,$1.46,$1.94,$1.56,335.42%
1071,Cauliflower,2017-12-24,$2.45,$2.59,$3.04,$3.68,$3.74,33.16%
1072,Carrots,2017-12-24,$0.31,$0.92,$0.85,$0.99,$1.12,212.90%
1073,Broccoli Crowns,2017-12-24,$1.14,$2.27,$1.92,$1.99,$1.59,70.39%
1074,Broccoli Bunches,2017-12-24,$0.74,$1.61,$1.20,$1.79,$2.44,137.84%
1075,Strawberries,2017-12-17,$1.88,$3.65,$3.29,$3.99,$4.54,105.72%
1076,Romaine Lettuce,2017-12-17,$0.34,$2.02,$2.07,$1.47,$1.85,444.85%
1077,Red Leaf Lettuce,2017-12-17,$0.34,$1.52,$1.78,$1.42,$1.55,361.03%
1078,Potatoes,2017-12-17,$1.60,$4.27,$4.31,$3.99,$6.99,205.63%
1079,Oranges,2017-12-17,$0.56,$1.38,$1.36,$1.14,$1.90,158.04%
1080,Iceberg Lettuce,2017-12-17,$0.35,$0.99,$1.49,$1.24,$1.59,279.29%
1081,Green Leaf Lettuce,2017-12-17,$1.26,$2.77,$2.41,$2.99,$2.16,104.96%
1082,Celery,2017-12-17,$0.53,$1.25,$1.33,$1.77,$1.52,176.89%
1083,Cauliflower,2017-12-17,$2.64,$2.59,$2.99,$3.18,$2.59,7.48%
1084,Carrots,2017-12-17,$0.31,$0.92,$0.95,$0.99,$1.05,215.32%
1085,Broccoli Crowns,2017-12-17,$0.87,$1.82,$1.92,$1.74,$1.41,97.99%
1086,Broccoli Bunches,2017-12-17,$0.62,$1.65,$1.16,$1.49,$1.63,139.11%
1087,Strawberries,2017-12-10,$1.69,$3.84,$3.62,$3.99,$4.74,139.50%
1088,Romaine Lettuce,2017-12-10,$0.34,$1.75,$2.47,$1.47,$1.76,447.79%
1089,Red Leaf Lettuce,2017-12-10,$0.35,$1.52,$2.00,$1.42,$1.60,367.14%
1090,Potatoes,2017-12-10,$1.55,$4.31,$4.31,$3.99,$5.72,195.65%
1091,Oranges,2017-12-10,$0.58,$1.38,$1.30,$0.75,$1.88,128.88%
1092,Iceberg Lettuce,2017-12-10,$0.39,$0.99,$1.41,$1.24,$1.59,235.26%
1093,Green Leaf Lettuce,2017-12-10,$0.34,$1.52,$1.92,$1.42,$1.62,376.47%
1094,Flame Grapes,2017-12-10,$1.21,$2.90,$1.86,$2.74,$2.81,113.02%
1095,Celery,2017-12-10,$0.48,$1.31,$1.51,$1.77,$1.86,235.94%
1096,Cauliflower,2017-12-10,$2.18,$2.59,$2.49,$3.48,$3.09,33.60%
1097,Carrots,2017-12-10,$0.31,$0.92,$0.92,$0.99,$1.35,237.10%
1098,Broccoli Crowns,2017-12-10,$0.61,$2.03,$1.92,$1.99,$1.66,211.48%
1099,Broccoli Bunches,2017-12-10,$0.52,$1.61,$1.32,$1.79,$2.44,244.23%
