,productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
1200,Strawberries,2017-10-15,$1.13,$2.66,$2.99,$2.25,$3.61,154.65%
1201,Romaine Lettuce,2017-10-15,$0.78,$1.62,$1.93,$1.32,$1.76,112.50%
1202,Red Leaf Lettuce,2017-10-15,$0.38,$1.52,$1.80,$1.32,$1.72,318.42%
1203,Potatoes,2017-10-15,$1.40,$3.97,$3.97,$3.99,$5.22,206.25%
1204,Oranges,2017-10-15,$0.58,$1.53,$1.52,$1.39,$2.22,187.07%
1205,Iceberg Lettuce,2017-10-15,$1.23,$1.04,$1.31,$0.99,$1.66,1.63%
1206,Honeydews,2017-10-15,$1.75,$3.24,$3.82,$3.48,$4.36,112.86%
1207,Green Leaf Lettuce,2017-10-15,$0.41,$1.52,$1.75,$1.32,$1.64,279.88%
1208,Flame Grapes,2017-10-15,$1.00,$2.24,$1.88,$1.71,$2.36,104.75%
1209,Celery,2017-10-15,$0.47,$1.61,$1.93,$1.94,$1.42,267.02%
1210,Cauliflower,2017-10-15,$1.23,$2.78,$3.20,$3.68,$2.99,157.11%
1211,Carrots,2017-10-15,$0.31,$0.95,$0.82,$0.99,$0.99,202.42%
1212,Broccoli Crowns,2017-10-15,$0.94,$1.91,$1.94,$2.14,$1.84,108.24%
1213,Broccoli Bunches,2017-10-15,$0.73,$1.61,$1.42,$1.49,$1.18,95.21%
1214,Tomatoes,2017-10-08,$0.44,$1.52,$1.26,$1.69,$1.91,262.50%
1215,Strawberries,2017-10-08,$1.02,$2.64,$3.36,$2.99,$3.34,202.21%
1216,Romaine Lettuce,2017-10-08,$0.86,$1.78,$2.13,$1.32,$2.01,110.47%
1217,Red Leaf Lettuce,2017-10-08,$0.41,$1.52,$1.68,$1.32,$1.79,284.76%
1218,Potatoes,2017-10-08,$1.40,$3.97,$3.97,$3.99,$5.21,206.07%
1219,Oranges,2017-10-08,$0.56,$1.73,$1.52,$1.59,$1.99,204.91%
1220,Iceberg Lettuce,2017-10-08,$1.56,$0.99,$1.31,$0.99,$1.75,-19.23%
1221,Honeydews,2017-10-08,$1.47,$3.74,$3.65,$3.73,$4.24,161.22%
1222,Green Leaf Lettuce,2017-10-08,$0.43,$1.52,$1.61,$1.32,$1.75,260.47%
1223,Flame Grapes,2017-10-08,$1.00,$2.19,$1.98,$1.74,$2.31,105.50%
1224,Celery,2017-10-08,$0.38,$1.54,$2.06,$1.94,$1.62,371.05%
1225,Cauliflower,2017-10-08,$1.02,$2.78,$2.90,$3.63,$2.99,201.47%
1226,Carrots,2017-10-08,$0.31,$0.95,$0.82,$1.69,$1.09,266.94%
1227,Cantaloupe,2017-10-08,$0.76,$2.18,$2.44,$4.13,$2.62,274.01%
1228,Broccoli Crowns,2017-10-08,$0.97,$2.10,$1.73,$2.12,$1.74,98.20%
1229,Tomatoes,2017-10-01,$0.46,$1.49,$1.44,$1.57,$1.86,245.65%
1230,Strawberries,2017-10-01,$1.13,$2.59,$2.62,$3.49,$3.71,174.56%
1231,Romaine Lettuce,2017-10-01,$0.78,$1.52,$1.91,$1.32,$2.17,121.79%
1232,Red Leaf Lettuce,2017-10-01,$0.40,$1.52,$1.73,$1.32,$1.79,297.50%
1233,Potatoes,2017-10-01,$1.40,$3.47,$4.31,$3.99,$5.42,206.96%
1234,Oranges,2017-10-01,$0.56,$1.66,$1.48,$1.69,$1.89,200.00%
1235,Iceberg Lettuce,2017-10-01,$1.13,$0.96,$1.31,$0.99,$1.64,8.41%
1236,Honeydews,2017-10-01,$1.33,$3.24,$3.65,$3.48,$3.99,169.92%
1237,Green Leaf Lettuce,2017-10-01,$0.40,$1.52,$1.69,$1.32,$1.67,287.50%
