,productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
4200,Broccoli Crowns,2013-11-24,$0.38,$1.91,$2.35,$1.87,$1.87,426.32%
4201,Strawberries,2013-11-24,$2.13,$3.61,$3.49,$3.62,$4.74,81.46%
4202,Carrots,2013-11-24,$0.30,$0.91,$0.89,$0.96,$1.44,250.00%
4203,Cauliflower,2013-11-24,$0.63,$2.99,$3.47,$3.13,$4.49,458.73%
4204,Celery,2013-11-24,$0.52,$1.09,$1.02,$1.69,$1.74,166.35%
4205,Flame Grapes,2013-11-24,$0.95,$2.31,$2.44,$2.12,$2.69,151.58%
4206,Green Leaf Lettuce,2013-11-24,$0.27,$1.49,$1.54,$1.34,$1.71,462.96%
4207,Potatoes,2013-11-17,$1.45,$4.12,$2.49,$2.49,$5.49,151.55%
4208,Broccoli Bunches,2013-11-17,$1.17,$2.42,$1.39,$1.39,$2.79,70.73%
4209,Red Leaf Lettuce,2013-11-17,$0.30,$1.61,$1.34,$1.34,$1.86,412.50%
4210,Broccoli Crowns,2013-11-17,$0.87,$1.91,$1.94,$1.94,$1.74,116.38%
4211,Romaine Lettuce,2013-11-17,$0.37,$1.84,$1.42,$1.42,$2.43,380.41%
4212,Cantaloupe,2013-11-17,$0.62,$2.76,$2.96,$2.96,$3.62,395.97%
4213,Strawberries,2013-11-17,$2.54,$3.39,$3.62,$3.62,$4.74,51.28%
4214,Carrots,2013-11-17,$0.30,$0.91,$0.96,$0.96,$1.44,255.83%
4215,Cauliflower,2013-11-17,$1.33,$3.28,$3.13,$3.13,$4.49,163.72%
4216,Celery,2013-11-17,$0.59,$1.46,$1.04,$1.04,$1.87,129.24%
4217,Flame Grapes,2013-11-17,$0.95,$2.36,$2.12,$2.12,$2.61,142.37%
4218,Green Leaf Lettuce,2013-11-17,$0.30,$1.54,$1.34,$1.34,$1.71,394.17%
4219,Iceberg Lettuce,2013-11-17,$0.36,$1.40,$1.29,$1.29,$1.99,314.58%
4220,Oranges,2013-11-17,$0.43,$1.27,$1.07,$1.07,$1.64,193.60%
4221,Cauliflower,2013-11-10,$2.62,$3.37,$3.60,$3.71,$4.49,44.75%
4222,Celery,2013-11-10,$0.59,$1.46,$1.64,$1.79,$1.99,191.53%
4223,Flame Grapes,2013-11-10,$0.98,$2.34,$2.09,$2.49,$2.61,143.11%
4224,Green Leaf Lettuce,2013-11-10,$0.31,$1.54,$1.59,$1.39,$1.65,397.58%
