,productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
3200,Asparagus,2015-03-22,$1.71,$3.24,$2.41,$3.12,$3.99,86.55%
3201,Red Leaf Lettuce,2015-03-22,$0.29,$1.69,$1.51,$1.54,$2.02,482.76%
3202,Avocados,2015-03-22,$0.82,$1.07,$1.12,$1.25,$1.52,51.22%
3203,Romaine Lettuce,2015-03-22,$0.54,$1.85,$1.73,$1.59,$2.64,261.57%
3204,Broccoli Bunches,2015-03-22,$0.84,$2.39,$1.86,$1.54,$2.32,141.37%
3205,Strawberries,2015-03-22,$0.96,$2.04,$2.07,$2.50,$2.74,143.49%
3206,Broccoli Crowns,2015-03-22,$0.68,$1.94,$1.60,$1.84,$2.17,177.57%
3207,Carrots,2015-03-22,$0.30,$0.95,$0.90,$0.99,$1.42,255.00%
3208,Oranges,2015-03-15,$0.41,$1.10,$1.10,$0.96,$2.04,217.07%
3209,Potatoes,2015-03-15,$0.80,$5.87,$3.90,$3.66,$4.99,475.63%
3210,Red Leaf Lettuce,2015-03-15,$0.32,$1.92,$1.48,$1.52,$2.13,450.78%
3211,Avocados,2015-03-15,$0.81,$1.19,$1.16,$1.19,$1.71,62.04%
3212,Romaine Lettuce,2015-03-15,$0.58,$2.11,$1.78,$1.69,$2.64,254.31%
3213,Broccoli Bunches,2015-03-15,$0.93,$2.39,$2.02,$1.54,$2.32,122.31%
3214,Strawberries,2015-03-15,$0.81,$2.04,$2.32,$2.62,$3.24,215.43%
3215,Broccoli Crowns,2015-03-15,$0.80,$1.94,$1.55,$1.84,$2.24,136.56%
3216,Carrots,2015-03-15,$0.30,$0.95,$0.80,$0.99,$1.22,230.00%
3217,Cauliflower,2015-03-15,$1.62,$3.04,$3.15,$3.63,$4.49,120.83%
3218,Celery,2015-03-15,$0.33,$1.66,$1.52,$1.69,$1.99,419.70%
3219,Green Leaf Lettuce,2015-03-15,$0.33,$1.69,$1.35,$1.52,$1.96,393.94%
