,productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
2900,Cauliflower,2015-08-02,$0.64,$3.03,$3.21,$4.03,$4.24,466.80%
2901,Tomatoes,2015-08-02,$0.42,$1.54,$1.13,$1.48,$2.09,271.43%
2902,Celery,2015-08-02,$0.57,$1.85,$1.58,$1.77,$2.29,228.51%
2903,Romaine Lettuce,2015-08-02,$0.40,$1.44,$1.79,$1.63,$2.18,340.00%
2904,Flame Grapes,2015-08-02,$0.89,$1.86,$1.99,$1.96,$2.67,138.20%
2905,Strawberries,2015-08-02,$1.38,$2.49,$1.93,$2.87,$3.87,102.17%
2906,Green Leaf Lettuce,2015-08-02,$0.33,$1.29,$1.36,$1.47,$1.71,341.67%
2907,Thompson Grapes,2015-08-02,$0.87,$2.06,$1.96,$2.09,$2.67,152.30%
2908,Honeydews,2015-08-02,$1.54,$3.36,$3.24,$3.59,$5.24,150.49%
2909,Iceberg Lettuce,2015-08-02,$0.39,$1.14,$1.37,$1.47,$1.99,282.69%
2910,Avocados,2015-08-02,$0.78,$1.32,$1.32,$0.96,$1.48,62.82%
2911,Nectarines,2015-08-02,$0.68,$0.00,$2.06,$1.87,$2.32,129.78%
2912,Broccoli Bunches,2015-08-02,$0.93,$2.57,$2.24,$1.49,$2.49,136.29%
2913,Oranges,2015-08-02,$0.43,$1.33,$1.10,$1.49,$2.12,251.16%
2914,Broccoli Crowns,2015-08-02,$0.85,$2.02,$1.67,$1.74,$1.92,116.18%
2915,Peaches,2015-08-02,$0.60,$0.00,$1.86,$1.87,$1.69,125.83%
2916,Cantaloupe,2015-08-02,$0.58,$2.44,$2.51,$1.46,$3.99,348.28%
2917,Plums,2015-08-02,$0.78,$0.00,$1.99,$1.87,$0.00,23.72%
2918,Carrots,2015-08-02,$0.30,$0.95,$0.91,$0.99,$1.22,239.17%
2919,Red Leaf Lettuce,2015-08-02,$0.32,$1.49,$1.49,$1.47,$1.86,392.97%
2920,Broccoli Crowns,2015-07-19,$0.72,$1.78,$1.77,$1.77,$2.04,155.56%
2921,Peaches,2015-07-19,$0.60,$1.69,$1.81,$1.24,$0.00,97.50%
2922,Cantaloupe,2015-07-19,$0.68,$2.19,$2.57,$2.44,$3.49,293.01%
2923,Red Leaf Lettuce,2015-07-19,$0.29,$1.41,$1.49,$1.49,$1.86,438.79%
2924,Carrots,2015-07-19,$0.30,$0.95,$0.91,$0.99,$1.22,239.17%
2925,Tomatoes,2015-07-19,$0.44,$1.41,$1.16,$1.42,$2.17,250.00%
2926,Cauliflower,2015-07-19,$0.74,$3.10,$2.96,$2.58,$4.24,335.14%
2927,Romaine Lettuce,2015-07-19,$0.34,$1.12,$1.66,$1.57,$2.18,380.15%
2928,Celery,2015-07-19,$0.37,$1.61,$1.71,$1.77,$2.12,387.16%
2929,Strawberries,2015-07-19,$1.06,$2.11,$2.16,$2.43,$2.74,122.64%
2930,Flame Grapes,2015-07-19,$0.85,$1.64,$1.84,$1.75,$2.37,123.53%
2931,Green Leaf Lettuce,2015-07-19,$0.34,$1.34,$1.24,$1.49,$1.71,325.00%
2932,Honeydews,2015-07-19,$1.46,$3.19,$3.36,$3.69,$5.24,165.07%
2933,Iceberg Lettuce,2015-07-19,$0.28,$1.21,$1.37,$1.47,$2.17,455.36%
2934,Avocados,2015-07-19,$0.82,$1.05,$1.39,$1.11,$1.42,51.52%
2935,Nectarines,2015-07-19,$0.58,$1.69,$2.01,$1.24,$1.84,192.24%
2936,Broccoli Bunches,2015-07-19,$0.89,$2.67,$2.24,$1.59,$2.49,152.53%
