,productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
3400,Iceberg Lettuce,2014-11-30,$0.39,$1.14,$1.30,$1.57,$2.62,325.00%
3401,Oranges,2014-11-30,$0.52,$1.34,$1.17,$1.27,$1.90,173.08%
3402,Red Leaf Lettuce,2014-11-30,$0.42,$1.69,$1.73,$1.39,$1.02,247.02%
3403,Romaine Lettuce,2014-11-30,$0.65,$1.66,$2.29,$1.64,$2.33,204.62%
3404,Broccoli Bunches,2014-11-30,$0.64,$2.45,$2.17,$1.49,$2.49,235.94%
3405,Strawberries,2014-11-30,$3.25,$4.22,$4.49,$4.49,$6.49,51.46%
3406,Broccoli Crowns,2014-11-30,$0.50,$1.74,$1.53,$1.74,$1.74,237.50%
3407,Carrots,2014-11-30,$0.31,$0.92,$0.89,$0.96,$1.22,221.77%
3408,Cauliflower,2014-11-30,$2.42,$3.37,$3.38,$3.33,$4.37,49.28%
3409,Celery,2014-11-30,$0.81,$1.44,$1.46,$1.74,$2.04,106.17%
3410,Iceberg Lettuce,2014-11-23,$0.47,$1.39,$1.30,$1.67,$2.57,268.62%
3411,Oranges,2014-11-23,$0.52,$1.65,$1.22,$1.12,$2.16,195.67%
3412,Potatoes,2014-11-23,$0.95,$3.29,$3.16,$2.99,$5.49,292.89%
3413,Red Leaf Lettuce,2014-11-23,$0.49,$1.65,$1.69,$1.42,$2.02,245.92%
3414,Broccoli Bunches,2014-11-23,$0.65,$2.45,$2.07,$1.19,$2.49,215.38%
3415,Romaine Lettuce,2014-11-23,$0.49,$1.79,$1.86,$1.69,$2.64,307.14%
3416,Broccoli Crowns,2014-11-23,$0.55,$2.01,$1.45,$1.74,$2.26,239.09%
3417,Strawberries,2014-11-23,$3.13,$3.99,$3.74,$4.24,$6.32,46.09%
3418,Carrots,2014-11-23,$0.31,$0.92,$0.85,$0.96,$1.22,218.55%
3419,Cauliflower,2014-11-23,$2.08,$3.28,$4.02,$3.18,$4.49,79.93%
3420,Celery,2014-11-23,$0.70,$1.16,$1.02,$1.12,$1.87,84.64%
3421,Flame Grapes,2014-11-23,$1.02,$2.61,$2.31,$2.62,$3.42,168.63%
3422,Green Leaf Lettuce,2014-11-23,$0.50,$1.61,$1.48,$1.42,$1.86,218.50%
3423,Potatoes,2014-11-16,$0.95,$5.09,$3.20,$2.32,$6.99,363.16%
3424,Broccoli Bunches,2014-11-16,$0.86,$2.45,$1.90,$1.19,$2.49,133.43%
3425,Red Leaf Lettuce,2014-11-16,$0.50,$1.69,$1.69,$1.42,$2.13,246.50%
