,productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
4800,Celery,2013-02-03,$1.43,$1.64,$1.84,$1.69,$2.37,31.82%
4801,Green Leaf Lettuce,2013-02-03,$0.77,$2.09,$1.76,$1.84,$2.38,162.01%
4802,Iceberg Lettuce,2013-02-03,$0.68,$1.70,$1.77,$1.62,$2.24,169.49%
4803,Oranges,2013-02-03,$0.28,$1.40,$1.38,$1.14,$1.59,391.96%
4804,Potatoes,2013-02-03,$0.85,$4.57,$4.04,$3.42,$0.00,253.82%
4805,Red Leaf Lettuce,2013-02-03,$0.81,$2.16,$1.97,$1.84,$2.58,163.89%
4806,Romaine Lettuce,2013-02-03,$1.37,$2.64,$2.31,$1.94,$3.11,82.48%
4807,Broccoli Bunches,2013-02-03,$0.49,$2.89,$2.49,$1.52,$2.49,379.08%
4808,Strawberries,2013-02-03,$1.50,$2.49,$2.55,$2.62,$2.49,69.17%
4809,Broccoli Crowns,2013-02-03,$0.39,$2.31,$2.08,$2.04,$2.29,458.97%
4810,Carrots,2013-02-03,$0.29,$0.89,$0.89,$0.87,$1.32,242.24%
4811,Cauliflower,2013-02-03,$0.70,$3.64,$3.69,$3.88,$3.99,442.86%
4812,Green Leaf Lettuce,2013-01-27,$0.95,$2.09,$1.48,$1.64,$1.96,88.68%
4813,Iceberg Lettuce,2013-01-27,$1.12,$1.50,$1.52,$1.44,$2.12,46.88%
4814,Oranges,2013-01-27,$0.28,$1.26,$1.25,$1.07,$1.44,348.21%
4815,Potatoes,2013-01-27,$0.80,$5.09,$4.03,$3.54,$0.00,295.63%
4816,Red Leaf Lettuce,2013-01-27,$0.98,$2.19,$1.68,$1.64,$2.47,103.57%
4817,Romaine Lettuce,2013-01-27,$1.44,$2.40,$1.98,$1.64,$3.27,61.28%
4818,Broccoli Bunches,2013-01-27,$0.78,$2.76,$2.74,$1.39,$2.66,206.09%
4819,Strawberries,2013-01-27,$1.38,$2.87,$2.91,$1.97,$2.75,90.22%
4820,Broccoli Crowns,2013-01-27,$0.63,$2.19,$2.31,$1.84,$2.49,250.40%
4821,Carrots,2013-01-27,$0.29,$0.89,$0.94,$1.19,$1.49,288.79%
4822,Cauliflower,2013-01-27,$0.88,$3.41,$3.46,$3.68,$3.37,295.45%
4823,Celery,2013-01-27,$1.43,$1.61,$1.74,$1.69,$2.12,25.17%
4824,Oranges,2013-01-20,$0.29,$1.26,$1.12,$0.89,$1.47,308.62%
4825,Potatoes,2013-01-20,$0.90,$5.09,$4.03,$3.42,$0.00,248.33%
4826,Red Leaf Lettuce,2013-01-20,$1.01,$2.16,$2.03,$1.64,$2.47,105.45%
4827,Romaine Lettuce,2013-01-20,$1.26,$2.45,$2.41,$1.72,$3.27,95.44%
4828,Broccoli Bunches,2013-01-20,$1.76,$2.89,$2.74,$1.52,$2.66,39.35%
4829,Strawberries,2013-01-20,$0.94,$2.87,$2.13,$2.99,$2.75,185.64%
4830,Broccoli Crowns,2013-01-20,$1.38,$2.19,$2.08,$1.97,$2.49,58.15%
4831,Carrots,2013-01-20,$0.29,$0.89,$0.86,$1.12,$1.49,275.86%
4832,Cauliflower,2013-01-20,$1.97,$3.76,$4.06,$3.88,$3.37,91.24%
4833,Celery,2013-01-20,$1.09,$1.64,$1.84,$1.62,$2.24,68.35%
4834,Green Leaf Lettuce,2013-01-20,$0.95,$2.16,$1.82,$1.64,$2.27,107.63%
4835,Iceberg Lettuce,2013-01-20,$0.99,$1.58,$1.77,$1.44,$2.37,80.81%
4836,Potatoes,2013-01-13,$0.90,$6.14,$3.65,$3.59,$3.99,382.50%
4837,Red Leaf Lettuce,2013-01-13,$1.11,$2.01,$1.63,$1.57,$2.35,70.27%
4838,Romaine Lettuce,2013-01-13,$1.31,$2.20,$1.98,$1.57,$2.89,64.89%
4839,Broccoli Bunches,2013-01-13,$2.06,$2.16,$2.19,$1.49,$2.74,4.13%
4840,Strawberries,2013-01-13,$1.50,$2.88,$2.50,$2.99,$3.37,95.67%
4841,Broccoli Crowns,2013-01-13,$1.50,$1.89,$1.60,$2.02,$2.17,28.00%
4842,Carrots,2013-01-13,$0.27,$0.89,$0.89,$0.94,$1.32,274.07%
4843,Cauliflower,2013-01-13,$2.21,$2.70,$3.46,$3.48,$3.37,47.17%
4844,Celery,2013-01-13,$0.97,$1.53,$1.71,$1.77,$2.32,88.92%
4845,Green Leaf Lettuce,2013-01-13,$1.10,$1.91,$1.48,$1.57,$2.17,62.05%
4846,Iceberg Lettuce,2013-01-13,$0.93,$1.37,$1.42,$1.37,$1.82,60.75%
4847,Oranges,2013-01-13,$0.26,$1.26,$1.38,$1.07,$2.05,453.85%
4848,Red Leaf Lettuce,2013-01-06,$0.90,$2.02,$1.68,$1.37,$1.90,93.61%
4849,Romaine Lettuce,2013-01-06,$1.02,$2.07,$1.98,$1.37,$2.58,96.08%
4850,Broccoli Bunches,2013-01-06,$1.49,$2.40,$2.19,$1.19,$2.49,38.76%
4851,Strawberries,2013-01-06,$1.75,$2.96,$2.57,$3.00,$3.62,73.57%
4852,Broccoli Crowns,2013-01-06,$1.23,$1.41,$1.69,$1.52,$1.87,31.91%
4853,Carrots,2013-01-06,$0.27,$0.89,$0.94,$0.92,$1.37,281.48%
4854,Cauliflower,2013-01-06,$1.56,$2.90,$3.38,$2.78,$3.37,99.20%
4855,Celery,2013-01-06,$0.67,$1.84,$1.74,$1.69,$2.12,175.75%
4856,Green Leaf Lettuce,2013-01-06,$0.90,$1.74,$1.48,$1.37,$1.76,76.39%
4857,Iceberg Lettuce,2013-01-06,$0.82,$1.32,$1.37,$1.17,$1.62,67.07%
4858,Oranges,2013-01-06,$0.32,$1.26,$1.25,$1.07,$1.93,330.47%
4859,Potatoes,2013-01-06,$0.90,$4.49,$4.03,$3.54,$0.00,235.00%
4860,Strawberries,2012-12-30,$2.13,$3.21,$3.44,$3.62,$3.74,64.44%
4861,Iceberg Lettuce,2012-12-30,$0.39,$1.37,$1.22,$1.17,$1.74,252.56%
4862,Oranges,2012-12-30,$0.34,$1.33,$1.33,$1.07,$2.05,325.00%
