,productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
100,Cauliflower,2019-03-31,$0.99,$3.41,$3.36,$3.93,$3.15,249.75%
101,Carrots,2019-03-31,$0.30,$0.99,$0.96,$0.99,$1.12,238.33%
102,Broccoli Crowns,2019-03-31,$0.65,$1.82,$1.82,$2.07,$1.89,192.31%
103,Broccoli Bunches,2019-03-31,$0.73,$1.94,$2.07,$1.49,$1.89,153.08%
104,Avocados,2019-03-31,$1.19,$0.95,$0.96,$1.25,$1.49,-2.31%
105,Asparagus,2019-03-31,$2.34,$2.45,$2.13,$3.49,$2.74,15.49%
106,Strawberries,2019-03-24,$1.81,$2.82,$3.06,$3.12,$3.48,72.38%
107,Romaine Lettuce,2019-03-24,$0.34,$1.99,$2.12,$1.69,$,326.47%
108,Red Leaf Lettuce,2019-03-24,$0.35,$1.79,$1.85,$1.99,$2.09,451.43%
109,Potatoes,2019-03-24,$1.70,$3.66,$4.97,$3.99,$5.44,165.59%
110,Oranges,2019-03-24,$0.34,$1.58,$1.49,$1.34,$1.75,352.94%
111,Iceberg Lettuce,2019-03-24,$0.56,$1.49,$1.61,$1.79,$2.24,218.30%
112,Green Leaf Lettuce,2019-03-24,$0.34,$2.29,$1.93,$1.99,$1.92,497.79%
113,Celery,2019-03-24,$2.73,$1.75,$2.39,$2.47,$2.24,-18.96%
114,Cauliflower,2019-03-24,$0.99,$3.41,$3.68,$4.08,$3.61,273.23%
115,Carrots,2019-03-24,$0.30,$0.99,$0.95,$0.99,$1.12,237.50%
116,Broccoli Crowns,2019-03-24,$0.89,$1.85,$1.97,$2.14,$1.96,122.47%
117,Avocados,2019-03-24,$1.06,$0.92,$1.38,$1.31,$1.37,17.45%
118,Strawberries,2019-03-17,$1.88,$2.79,$3.07,$2.32,$3.49,55.19%
119,Romaine Lettuce,2019-03-17,$0.43,$2.09,$2.12,$1.69,$2.50,388.37%
120,Red Leaf Lettuce,2019-03-17,$0.60,$2.59,$1.73,$1.99,$2.06,248.75%
121,Potatoes,2019-03-17,$1.70,$4.97,$4.97,$3.99,$5.97,192.65%
122,Oranges,2019-03-17,$0.42,$1.45,$1.53,$0.99,$1.62,232.74%
123,Iceberg Lettuce,2019-03-17,$0.92,$1.51,$1.56,$1.77,$2.24,92.39%
124,Green Leaf Lettuce,2019-03-17,$0.38,$2.59,$1.78,$1.99,$1.98,448.68%
125,Celery,2019-03-17,$2.70,$1.57,$2.01,$2.24,$2.24,-25.37%
126,Cauliflower,2019-03-17,$1.98,$3.27,$2.81,$3.93,$3.61,71.97%
127,Carrots,2019-03-17,$0.30,$0.99,$0.96,$0.99,$1.12,238.33%
128,Broccoli Crowns,2019-03-17,$0.85,$2.29,$2.27,$2.07,$1.96,152.65%
129,Broccoli Bunches,2019-03-17,$0.97,$1.94,$2.15,$1.49,$1.89,92.53%
130,Avocados,2019-03-17,$0.64,$0.94,$1.31,$1.24,$1.31,87.50%
131,Strawberries,2019-03-10,$1.88,$2.66,$2.99,$2.75,$2.94,50.80%
132,Romaine Lettuce,2019-03-10,$0.49,$2.49,$2.28,$1.52,$2.36,341.33%
133,Red Leaf Lettuce,2019-03-10,$0.48,$2.59,$1.88,$1.74,$2.09,332.29%
134,Potatoes,2019-03-10,$1.70,$4.72,$4.47,$3.99,$6.22,185.29%
135,Oranges,2019-03-10,$0.42,$1.58,$1.68,$1.34,$1.62,270.24%
136,Iceberg Lettuce,2019-03-10,$0.75,$1.31,$1.56,$1.67,$2.36,130.00%
137,Green Leaf Lettuce,2019-03-10,$0.48,$2.32,$1.93,$1.74,$1.98,315.10%
138,Celery,2019-03-10,$2.22,$1.75,$1.94,$2.14,$2.49,-6.31%
139,Cauliflower,2019-03-10,$1.50,$3.27,$3.61,$4.08,$3.48,140.67%
140,Carrots,2019-03-10,$0.30,$1.25,$0.95,$0.99,$1.05,253.33%
141,Broccoli Crowns,2019-03-10,$0.69,$2.29,$1.80,$2.19,$1.87,195.29%
142,Avocados,2019-03-10,$0.55,$0.92,$1.13,$1.24,$1.37,111.82%
143,Strawberries,2019-03-03,$1.88,$2.46,$2.31,$2.99,$3.06,43.88%
144,Romaine Lettuce,2019-03-03,$0.70,$1.89,$2.20,$1.52,$2.17,177.86%
145,Red Leaf Lettuce,2019-03-03,$0.64,$2.32,$1.85,$1.74,$1.95,207.03%
146,Potatoes,2019-03-03,$1.70,$3.97,$4.47,$3.99,$5.97,170.59%
147,Oranges,2019-03-03,$0.42,$1.58,$1.72,$1.52,$1.67,286.31%
148,Iceberg Lettuce,2019-03-03,$1.03,$1.46,$1.56,$1.52,$2.24,64.56%
149,Green Leaf Lettuce,2019-03-03,$0.65,$2.32,$1.78,$1.74,$1.95,199.62%
150,Celery,2019-03-03,$1.78,$1.52,$2.11,$1.99,$2.24,10.39%
151,Cauliflower,2019-03-03,$2.45,$3.27,$3.71,$4.28,$3.48,50.41%
152,Carrots,2019-03-03,$0.30,$1.14,$0.96,$0.99,$1.12,250.83%
153,Broccoli Crowns,2019-03-03,$0.96,$1.85,$1.97,$2.29,$1.87,107.81%
154,Broccoli Bunches,2019-03-03,$1.07,$1.94,$2.15,$1.19,$1.89,67.52%
155,Avocados,2019-03-03,$0.52,$0.82,$1.31,$1.37,$1.31,131.25%
156,Strawberries,2019-02-24,$1.75,$2.66,$1.88,$2.99,$2.99,50.29%
157,Romaine Lettuce,2019-02-24,$0.79,$1.89,$2.04,$1.52,$2.17,141.14%
158,Red Leaf Lettuce,2019-02-24,$0.82,$2.32,$1.97,$1.74,$1.95,143.29%
159,Potatoes,2019-02-24,$1.70,$4.72,$4.47,$3.99,$5.47,174.26%
160,Oranges,2019-02-24,$0.42,$1.54,$1.53,$1.34,$1.74,266.07%
161,Iceberg Lettuce,2019-02-24,$1.34,$1.51,$1.44,$1.52,$1.76,16.23%
162,Green Leaf Lettuce,2019-02-24,$0.82,$2.32,$1.93,$1.74,$1.87,139.63%
163,Celery,2019-02-24,$1.70,$1.72,$2.09,$1.99,$2.24,18.24%
164,Cauliflower,2019-02-24,$3.38,$2.87,$3.71,$3.78,$3.48,2.37%
165,Carrots,2019-02-24,$0.30,$0.92,$0.85,$0.99,$1.05,217.50%
166,Broccoli Crowns,2019-02-24,$1.08,$1.92,$1.97,$1.99,$1.96,81.48%
167,Broccoli Bunches,2019-02-24,$1.17,$1.78,$1.70,$1.49,$1.89,46.58%
168,Avocados,2019-02-24,$0.52,$0.92,$1.31,$1.31,$1.34,134.62%
169,Strawberries,2019-02-17,$1.63,$3.12,$3.65,$4.12,$3.48,120.40%
170,Romaine Lettuce,2019-02-17,$0.60,$1.89,$2.20,$1.52,$2.02,217.92%
171,Red Leaf Lettuce,2019-02-17,$0.68,$2.32,$1.98,$1.74,$2.00,195.59%
172,Potatoes,2019-02-17,$1.70,$4.72,$4.47,$3.99,$5.47,174.26%
173,Oranges,2019-02-17,$0.41,$1.54,$1.19,$1.34,$1.74,254.27%
174,Iceberg Lettuce,2019-02-17,$0.88,$1.51,$1.31,$1.52,$1.51,66.19%
175,Green Leaf Lettuce,2019-02-17,$0.65,$2.32,$1.93,$1.74,$1.98,206.54%
176,Celery,2019-02-17,$1.71,$1.72,$1.82,$1.99,$2.19,12.87%
177,Cauliflower,2019-02-17,$3.04,$2.87,$3.09,$3.78,$2.86,3.62%
178,Carrots,2019-02-17,$0.30,$0.92,$0.92,$0.99,$1.05,223.33%
179,Broccoli Crowns,2019-02-17,$0.85,$1.92,$1.97,$1.99,$1.96,130.59%
180,Broccoli Bunches,2019-02-17,$0.98,$1.78,$2.15,$1.49,$1.89,86.48%
181,Avocados,2019-02-17,$0.52,$0.96,$1.36,$0.83,$1.34,115.87%
